"price","change","match_qtty","side","time","total_vol"
3240,0,2000,"bu","09:37:16",2000
3240,0,1000,"bu","09:44:27",3000
3240,0,900,"bu","09:48:42",3900
3240,0,600,"bu","09:52:33",4500
3240,0,100,"bu","09:54:22",4600
3240,0,2000,"sd","09:59:35",6600
3220,-20,200,"sd","09:59:48",6800
3220,-20,4000,"bu","10:02:06",10800
3230,-10,1000,"bu","10:05:35",11800
3230,-10,2000,"bu","10:07:51",13800
3240,0,24600,"bu","10:08:55",38400
3250,10,500,"bu","10:10:28",38900
3240,0,200,"sd","10:10:29",39100
3240,0,9200,"bu","10:11:18",48300
3240,0,700,"sd","10:13:00",49000
3260,20,200,"bu","10:13:49",49200
3270,30,200,"sd","10:13:57",49400
3340,100,28000,"sd","10:14:08",77400
3340,100,10000,"bu","10:14:23",87400
3240,0,100,"sd","10:15:13",87500
3240,0,7900,"bu","10:15:53",95400
3320,80,5200,"bu","10:16:05",100600
3250,10,5000,"bu","10:38:52",105600
3290,50,12000,"sd","10:57:16",117600
3290,50,200,"bu","11:12:46",117800
3270,30,500,"sd","11:25:41",118300
3270,30,1000,"bu","11:28:14",119300
3270,30,1200,"sd","11:29:45",120500
3270,30,300,"bu","13:01:11",120800
3280,40,600,"sd","13:05:57",121400
3250,10,1000,"bu","13:06:23",122400
3280,40,400,"bu","13:08:43",122800
3240,0,200,"sd","13:23:07",123000
3240,0,4000,"sd","13:26:12",127000
3240,0,500,"sd","13:27:05",127500
3230,-10,5000,"bu","13:28:39",132500
3240,0,2000,"bu","13:31:57",134500
3240,0,100,"bu","13:33:41",134600
3240,0,5000,"bu","13:36:45",139600
3230,-10,7000,"bu","13:40:19",146600
3230,-10,1000,"sd","13:40:34",147600
3230,-10,1400,"sd","13:41:48",149000
3220,-20,1400,"bu","13:42:20",150400
3220,-20,600,"sd","13:42:59",151000
3220,-20,2000,"bu","13:46:18",153000
3220,-20,200,"sd","13:51:19",153200
3210,-30,8000,"sd","13:52:01",161200
3220,-20,100,"bu","13:53:10",161300
3220,-20,1000,"sd","13:55:20",162300
3220,-20,1700,"bu","13:56:13",164000
3230,-10,5100,"sd","13:57:42",169100
3230,-10,1900,"bu","13:57:53",171000
3230,-10,100,"bu","13:58:28",171100
3230,-10,700,"bu","14:00:28",171800
3240,0,100,"sd","14:05:51",171900
3230,-10,3400,"sd","14:16:33",175300
3230,-10,2000,"bu","14:22:08",177300
3230,-10,600,"bu","14:22:13",177900
3240,0,700,"sd","14:25:06",178600
3230,-10,8000,"sd","14:45:12",186600
