"price","change","match_qtty","side","time","total_vol"
25250,-400,80800,"bu","09:15:04",80800
25250,-400,1000,"bu","09:15:26",81800
25250,-400,700,"bu","09:15:36",82500
25250,-400,2000,"bu","09:15:39",84500
25250,-400,100,"sd","09:15:44",84600
25300,-350,2600,"bu","09:15:50",87200
25300,-350,1200,"sd","09:15:56",88400
25250,-400,400,"sd","09:16:18",88800
25300,-350,200,"bu","09:16:31",89000
25250,-400,1900,"sd","09:16:38",90900
25250,-400,4000,"sd","09:16:46",94900
25350,-300,34200,"sd","09:16:48",129100
25450,-200,29800,"bu","09:17:15",158900
25400,-250,100,"sd","09:17:21",159000
25400,-250,500,"bu","09:17:52",159500
25350,-300,100,"sd","09:18:05",159600
25250,-400,1000,"sd","09:18:15",160600
25300,-350,1500,"bu","09:19:52",162100
25250,-400,1200,"sd","09:19:56",163300
25300,-350,5400,"bu","09:20:22",168700
25300,-350,1000,"bu","09:20:36",169700
25300,-350,2000,"bu","09:21:35",171700
25300,-350,2500,"sd","09:21:50",174200
25350,-300,1200,"bu","09:21:59",175400
25300,-350,3200,"bu","09:22:49",178600
25250,-400,2100,"bu","09:23:27",180700
25300,-350,500,"bu","09:23:33",181200
25250,-400,1200,"sd","09:23:33",182400
25300,-350,1000,"bu","09:23:46",183400
25250,-400,2600,"bu","09:23:54",186000
25300,-350,100,"sd","09:24:00",186100
25300,-350,1500,"bu","09:24:27",187600
25200,-450,20000,"sd","09:24:30",207600
25300,-350,5000,"sd","09:24:40",212600
25300,-350,200,"sd","09:25:21",212800
25300,-350,1000,"sd","09:25:22",213800
25300,-350,2500,"bu","09:25:30",216300
25350,-300,12200,"sd","09:26:01",228500
25400,-250,3000,"bu","09:27:05",231500
25400,-250,3000,"bu","09:27:27",234500
25400,-250,800,"bu","09:27:34",235300
25400,-250,8600,"bu","09:27:36",243900
25400,-250,6400,"sd","09:28:08",250300
25400,-250,2000,"sd","09:28:30",252300
25400,-250,1800,"bu","09:29:39",254100
25400,-250,1500,"sd","09:29:53",255600
25400,-250,500,"sd","09:30:02",256100
25400,-250,1700,"bu","09:30:08",257800
25400,-250,17800,"sd","09:30:21",275600
25400,-250,2000,"sd","09:30:25",277600
25400,-250,200,"bu","09:30:34",277800
25350,-300,1300,"sd","09:31:36",279100
25350,-300,8000,"bu","09:31:46",287100
25350,-300,1500,"bu","09:31:55",288600
25300,-350,200,"sd","09:31:59",288800
25300,-350,1200,"bu","09:32:26",290000
25350,-300,1500,"sd","09:32:30",291500
25300,-350,6000,"sd","09:32:31",297500
25300,-350,200,"sd","09:32:35",297700
25300,-350,300,"sd","09:32:37",298000
25300,-350,6900,"bu","09:32:49",304900
25250,-400,500,"bu","09:32:58",305400
25250,-400,700,"sd","09:33:10",306100
25250,-400,800,"bu","09:33:22",306900
25250,-400,100,"sd","09:33:41",307000
25250,-400,600,"sd","09:33:48",307600
25250,-400,1200,"bu","09:34:23",308800
25250,-400,4000,"sd","09:34:34",312800
25250,-400,100,"bu","09:35:14",312900
25300,-350,9100,"sd","09:35:15",322000
25300,-350,600,"bu","09:35:31",322600
25250,-400,1500,"sd","09:35:32",324100
25250,-400,600,"sd","09:35:53",324700
25250,-400,2500,"bu","09:36:14",327200
25250,-400,3000,"sd","09:36:32",330200
25300,-350,9800,"sd","09:36:48",340000
25350,-300,1200,"sd","09:36:55",341200
25300,-350,1100,"sd","09:37:03",342300
25300,-350,100,"bu","09:37:16",342400
25300,-350,1300,"sd","09:37:37",343700
25350,-300,10000,"bu","09:37:42",353700
25350,-300,600,"bu","09:37:52",354300
25350,-300,500,"bu","09:37:55",354800
25300,-350,2000,"sd","09:38:06",356800
25300,-350,3000,"sd","09:39:06",359800
25300,-350,1000,"bu","09:39:22",360800
25350,-300,800,"bu","09:39:22",361600
25350,-300,200,"sd","09:39:37",361800
25300,-350,1400,"bu","09:39:46",363200
25300,-350,300,"sd","09:40:55",363500
25300,-350,2000,"bu","09:41:16",365500
25350,-300,1200,"bu","09:41:24",366700
25300,-350,900,"sd","09:41:25",367600
25400,-250,21900,"bu","09:41:42",389500
25400,-250,1000,"bu","09:41:43",390500
25400,-250,7100,"bu","09:42:02",397600
25350,-300,2000,"sd","09:42:09",399600
25450,-200,30000,"bu","09:42:17",429600
25400,-250,1000,"sd","09:42:23",430600
25400,-250,1500,"sd","09:43:09",432100
25400,-250,3900,"sd","09:43:20",436000
25500,-150,50000,"sd","09:43:33",486000
25500,-150,7900,"bu","09:43:54",493900
25500,-150,500,"bu","09:44:15",494400
25500,-150,19000,"sd","09:45:01",513400
25500,-150,500,"bu","09:45:11",513900
25500,-150,1400,"bu","09:45:41",515300
25450,-200,1200,"sd","09:45:47",516500
25500,-150,10200,"sd","09:45:56",526700
25500,-150,5000,"bu","09:46:15",531700
25500,-150,900,"bu","09:46:58",532600
25450,-200,1200,"sd","09:47:32",533800
25500,-150,1000,"bu","09:48:26",534800
25450,-200,1500,"bu","09:48:46",536300
25500,-150,11000,"bu","09:48:52",547300
25500,-150,200,"sd","09:49:01",547500
25500,-150,1900,"bu","09:49:02",549400
25550,-100,1800,"bu","09:50:39",551200
25500,-150,9100,"bu","09:51:14",560300
25500,-150,1000,"bu","09:51:18",561300
25500,-150,2400,"bu","09:51:20",563700
25500,-150,700,"bu","09:51:30",564400
25500,-150,1800,"bu","09:51:37",566200
25500,-150,200,"bu","09:51:44",566400
25500,-150,100,"bu","09:52:19",566500
25500,-150,1500,"sd","09:52:45",568000
25500,-150,1000,"bu","09:53:12",569000
25500,-150,200,"bu","09:53:38",569200
25500,-150,2000,"bu","09:54:03",571200
25500,-150,8500,"sd","09:54:14",579700
25500,-150,200,"sd","09:54:51",579900
25500,-150,11000,"sd","09:56:07",590900
25500,-150,400,"sd","09:56:51",591300
25500,-150,1000,"bu","09:57:52",592300
25500,-150,300,"sd","09:58:48",592600
25500,-150,500,"bu","09:58:50",593100
25500,-150,600,"sd","09:59:09",593700
25500,-150,200,"sd","09:59:17",593900
25500,-150,1000,"bu","09:59:37",594900
25500,-150,600,"bu","10:00:26",595500
25500,-150,2600,"bu","10:00:34",598100
25500,-150,1500,"sd","10:01:01",599600
25550,-100,800,"bu","10:01:53",600400
25500,-150,500,"sd","10:03:18",600900
25500,-150,100,"sd","10:03:20",601000
25500,-150,4700,"bu","10:03:26",605700
25500,-150,600,"sd","10:04:11",606300
25500,-150,1000,"sd","10:05:33",607300
25500,-150,500,"sd","10:07:34",607800
25500,-150,1000,"sd","10:08:09",608800
25500,-150,1200,"bu","10:09:14",610000
25450,-200,2800,"bu","10:11:35",612800
25500,-150,1000,"sd","10:12:36",613800
25500,-150,10000,"bu","10:12:59",623800
25500,-150,4700,"bu","10:13:07",628500
25550,-100,1200,"sd","10:14:48",629700
25500,-150,1000,"bu","10:15:30",630700
25500,-150,800,"sd","10:15:38",631500
25550,-100,25100,"sd","10:16:45",656600
25550,-100,1200,"sd","10:17:06",657800
25550,-100,700,"bu","10:17:43",658500
25550,-100,8700,"bu","10:17:47",667200
25500,-150,1000,"bu","10:17:54",668200
25550,-100,5000,"sd","10:18:02",673200
25550,-100,1200,"sd","10:18:03",674400
25550,-100,5000,"bu","10:18:43",679400
25500,-150,1400,"sd","10:18:53",680800
25500,-150,5000,"bu","10:18:59",685800
25500,-150,22500,"sd","10:19:00",708300
25550,-100,1500,"bu","10:19:10",709800
25500,-150,3900,"bu","10:19:16",713700
25500,-150,5000,"bu","10:19:23",718700
25500,-150,600,"bu","10:19:28",719300
25450,-200,3400,"sd","10:19:31",722700
25500,-150,5000,"bu","10:19:33",727700
25500,-150,2400,"sd","10:19:38",730100
25500,-150,1400,"sd","10:19:39",731500
25500,-150,3200,"bu","10:19:42",734700
25500,-150,2800,"sd","10:19:46",737500
25500,-150,2000,"bu","10:19:57",739500
25550,-100,5400,"sd","10:20:14",744900
25550,-100,1000,"sd","10:20:19",745900
25550,-100,300,"sd","10:20:21",746200
25550,-100,1500,"sd","10:20:22",747700
25500,-150,100,"sd","10:20:25",747800
25500,-150,1200,"sd","10:20:39",749000
25600,-50,15000,"sd","10:20:41",764000
25500,-150,500,"bu","10:20:47",764500
25600,-50,10000,"bu","10:21:02",774500
25600,-50,25000,"sd","10:21:30",799500
25550,-100,3100,"bu","10:21:32",802600
25600,-50,9200,"sd","10:21:40",811800
25600,-50,10000,"bu","10:21:46",821800
25650,0,2600,"sd","10:21:52",824400
25600,-50,1200,"bu","10:22:08",825600
25650,0,2000,"bu","10:22:14",827600
25600,-50,16700,"sd","10:22:17",844300
25550,-100,2000,"sd","10:22:25",846300
25600,-50,3000,"bu","10:22:35",849300
25600,-50,13200,"sd","10:22:41",862500
25550,-100,7800,"sd","10:22:42",870300
25650,0,3000,"bu","10:22:48",873300
25600,-50,100,"bu","10:23:11",873400
25600,-50,800,"bu","10:24:20",874200
25600,-50,100,"sd","10:25:12",874300
25550,-100,2300,"bu","10:26:43",876600
25550,-100,11000,"bu","10:26:49",887600
25550,-100,1600,"bu","10:26:57",889200
25550,-100,200,"bu","10:26:59",889400
25550,-100,1000,"sd","10:27:14",890400
25500,-150,1100,"sd","10:27:23",891500
25550,-100,100,"sd","10:27:38",891600
25550,-100,2000,"sd","10:28:55",893600
25550,-100,1000,"sd","10:28:57",894600
25500,-150,1200,"sd","10:29:00",895800
25500,-150,900,"bu","10:29:11",896700
25500,-150,10000,"bu","10:29:28",906700
25500,-150,2500,"bu","10:29:42",909200
25500,-150,300,"sd","10:29:44",909500
25500,-150,8000,"sd","10:29:49",917500
25550,-100,1000,"sd","10:29:51",918500
25500,-150,8800,"bu","10:29:56",927300
25500,-150,600,"sd","10:29:59",927900
25500,-150,500,"bu","10:30:27",928400
25500,-150,1000,"sd","10:31:12",929400
25450,-200,900,"bu","10:31:17",930300
25500,-150,1000,"sd","10:32:40",931300
25450,-200,1800,"bu","10:33:35",933100
25500,-150,2000,"sd","10:34:04",935100
25500,-150,500,"bu","10:36:39",935600
25500,-150,1000,"bu","10:36:43",936600
25500,-150,5000,"sd","10:38:37",941600
25500,-150,14600,"bu","10:38:48",956200
25550,-100,5000,"bu","10:39:02",961200
25550,-100,6600,"sd","10:39:12",967800
25550,-100,1900,"bu","10:39:35",969700
25600,-50,4500,"bu","10:39:36",974200
25600,-50,8100,"bu","10:39:39",982300
25600,-50,1000,"bu","10:39:44",983300
25650,0,2500,"bu","10:39:47",985800
25600,-50,8000,"sd","10:40:38",993800
25600,-50,2900,"bu","10:40:47",996700
25600,-50,1500,"bu","10:40:52",998200
25550,-100,2900,"bu","10:40:54",1001100
25600,-50,500,"bu","10:40:58",1001600
25550,-100,3000,"bu","10:41:00",1004600
25600,-50,9300,"bu","10:41:06",1013900
