"price","change","match_qtty","side","time","total_vol"
2700,0,1000,"bu","09:00:14",1000
2700,0,10000,"bu","09:19:00",11000
2700,0,1000,"sd","09:31:04",12000
2700,0,1000,"bu","09:31:19",13000
2700,0,2000,"sd","09:44:36",15000
2700,0,2000,"sd","09:56:19",17000
2600,-100,30000,"sd","09:59:48",47000
2600,-100,15000,"bu","10:33:48",62000
2600,-100,3000,"sd","10:51:04",65000
2600,-100,8000,"bu","10:58:12",73000
2600,-100,10000,"bu","13:07:40",83000
2700,0,1000,"bu","13:29:27",84000
2700,0,29000,"sd","13:41:43",113000
2700,0,19000,"bu","13:42:56",132000
2700,0,1000,"bu","13:47:24",133000
2700,0,5000,"sd","13:57:27",138000
2600,-100,10000,"bu","14:00:50",148000
2700,0,1000,"sd","14:07:17",149000
2600,-100,100000,"sd","14:22:01",249000
2700,0,10000,"sd","14:22:14",259000
2700,0,10000,"bu","14:22:32",269000
2700,0,10000,"sd","14:22:55",279000
2600,-100,250000,"bu","14:25:15",529000
2700,0,1000,"bu","14:29:54",530000
