"price","change","match_qtty","side","time","total_vol"
63700,200,1100,"bu","09:15:03",1100
63600,100,4000,"bu","09:19:05",5100
63500,0,2500,"sd","09:19:43",7600
63500,0,3000,"sd","09:19:58",10600
63600,100,4500,"bu","09:20:30",15100
63600,100,28200,"sd","09:24:14",43300
63400,-100,5000,"sd","09:24:33",48300
63400,-100,500,"bu","09:24:52",48800
63400,-100,3500,"sd","09:24:52",52300
63400,-100,4000,"sd","09:25:04",56300
63300,-200,1500,"bu","09:26:25",57800
63400,-100,1900,"bu","09:26:38",59700
63400,-100,2000,"bu","09:27:22",61700
63400,-100,2500,"bu","09:27:28",64200
63400,-100,1900,"bu","09:27:38",66100
63400,-100,4000,"bu","09:28:05",70100
63400,-100,7500,"sd","09:29:10",77600
63300,-200,500,"bu","09:31:20",78100
63300,-200,3100,"bu","09:31:29",81200
63300,-200,100,"sd","09:31:43",81300
63300,-200,8600,"sd","09:32:22",89900
63300,-200,1000,"sd","09:32:27",90900
63300,-200,1200,"bu","09:33:39",92100
63300,-200,3100,"bu","09:33:45",95200
63300,-200,400,"sd","09:33:55",95600
63400,-100,4400,"sd","09:34:03",100000
63300,-200,2400,"sd","09:36:11",102400
63300,-200,1500,"bu","09:36:29",103900
63300,-200,2700,"sd","09:36:35",106600
63300,-200,300,"bu","09:36:51",106900
63300,-200,100,"sd","09:39:17",107000
63300,-200,900,"sd","09:39:28",107900
63300,-200,2900,"sd","09:39:35",110800
63300,-200,400,"bu","09:41:24",111200
63300,-200,4400,"bu","09:41:31",115600
63300,-200,100,"sd","09:41:41",115700
63300,-200,3200,"bu","09:41:47",118900
63300,-200,300,"sd","09:43:06",119200
63300,-200,4100,"bu","09:43:14",123300
63300,-200,500,"sd","09:43:39",123800
63300,-200,2400,"bu","09:43:47",126200
63300,-200,2300,"sd","09:45:28",128500
63400,-100,4100,"sd","09:45:51",132600
63300,-200,2000,"sd","09:48:23",134600
63300,-200,1300,"sd","09:48:32",135900
63300,-200,2200,"bu","09:48:40",138100
63300,-200,1100,"bu","09:48:49",139200
63300,-200,1800,"sd","09:50:48",141000
63300,-200,2500,"bu","09:51:07",143500
63400,-100,2500,"bu","09:51:13",146000
63300,-200,1000,"bu","09:53:25",147000
63300,-200,2000,"sd","09:53:37",149000
63300,-200,2000,"bu","09:53:44",151000
63300,-200,200,"sd","09:53:53",151200
63300,-200,300,"bu","09:55:20",151500
63300,-200,5000,"bu","09:55:41",156500
63300,-200,400,"bu","09:55:49",156900
63300,-200,1100,"bu","09:56:51",158000
63300,-200,2400,"bu","09:56:59",160400
63300,-200,1500,"sd","09:57:06",161900
63300,-200,800,"bu","09:58:45",162700
63300,-200,2000,"sd","09:58:55",164700
63300,-200,1400,"sd","09:59:02",166100
63300,-200,4600,"bu","10:00:59",170700
63300,-200,300,"bu","10:03:58",171000
63300,-200,1700,"bu","10:04:27",172700
63300,-200,3000,"bu","10:04:40",175700
63400,-100,1400,"sd","10:04:51",177100
63300,-200,3000,"bu","10:07:45",180100
63300,-200,5000,"bu","10:08:08",185100
63400,-100,6000,"bu","10:09:29",191100
63300,-200,1300,"bu","10:11:50",192400
63300,-200,2600,"sd","10:11:57",195000
63300,-200,2200,"bu","10:13:27",197200
63300,-200,3000,"bu","10:13:35",200200
63300,-200,1600,"bu","10:14:01",201800
63300,-200,1200,"sd","10:14:11",203000
63300,-200,2900,"sd","10:14:18",205900
63300,-200,1700,"bu","10:16:26",207600
63400,-100,4500,"bu","10:16:42",212100
63300,-200,5000,"sd","10:23:13",217100
63300,-200,500,"bu","10:23:22",217600
63300,-200,3300,"bu","10:23:46",220900
63300,-200,5000,"bu","10:24:12",225900
63300,-200,6000,"bu","10:27:12",231900
63300,-200,300,"bu","10:27:20",232200
63300,-200,800,"bu","10:27:44",233000
63300,-200,1200,"bu","10:27:51",234200
63300,-200,5000,"bu","10:28:02",239200
63300,-200,200,"sd","10:28:10",239400
63300,-200,400,"bu","10:30:26",239800
63300,-200,1500,"sd","10:30:36",241300
63300,-200,300,"bu","10:30:41",241600
63300,-200,4200,"sd","10:30:49",245800
63300,-200,200,"sd","10:32:22",246000
63300,-200,300,"bu","10:32:31",246300
63300,-200,5000,"sd","10:32:48",251300
63400,-100,10100,"sd","10:35:19",261400
63400,-100,5500,"sd","10:35:53",266900
63400,-100,5800,"sd","10:36:19",272700
63400,-100,6000,"sd","10:37:32",278700
63400,-100,3000,"sd","10:38:01",281700
63400,-100,3500,"sd","10:38:23",285200
63400,-100,4000,"bu","10:38:49",289200
63400,-100,2000,"sd","10:41:14",291200
63400,-100,4000,"bu","10:41:37",295200
63400,-100,4400,"bu","10:42:04",299600
63400,-100,4500,"bu","10:47:22",304100
63400,-100,3000,"bu","10:47:48",307100
63400,-100,3500,"sd","10:48:08",310600
63400,-100,6000,"sd","10:50:40",316600
63400,-100,5900,"bu","10:51:11",322500
63400,-100,3000,"sd","10:55:28",325500
63400,-100,3300,"bu","10:55:54",328800
63400,-100,6500,"bu","10:58:03",335300
63400,-100,5500,"sd","10:59:00",340800
63500,0,2800,"sd","10:59:19",343600
63400,-100,11000,"bu","11:06:53",354600
63400,-100,2000,"sd","11:08:10",356600
63400,-100,3000,"bu","11:08:19",359600
63400,-100,5000,"sd","11:08:55",364600
63400,-100,4000,"bu","11:12:12",368600
63500,0,6900,"sd","11:12:53",375500
63400,-100,5000,"sd","11:17:04",380500
63400,-100,3000,"sd","11:21:36",383500
63400,-100,2700,"bu","11:21:42",386200
63400,-100,6000,"bu","11:22:06",392200
63400,-100,4500,"sd","11:22:31",396700
63500,0,4500,"bu","11:22:39",401200
63400,-100,8300,"bu","13:00:55",409500
63400,-100,5000,"sd","13:01:19",414500
63400,-100,4800,"bu","13:01:34",419300
63400,-100,9900,"sd","13:02:48",429200
63500,0,4600,"sd","13:03:13",433800
63400,-100,6800,"bu","13:08:24",440600
63400,-100,4000,"bu","13:08:52",444600
63400,-100,4000,"bu","13:09:00",448600
63500,0,7000,"bu","13:11:53",455600
63300,-200,200,"bu","13:13:57",455800
63400,-100,2000,"sd","13:15:08",457800
63400,-100,3500,"bu","13:15:16",461300
63300,-200,2400,"sd","13:15:39",463700
63400,-100,1500,"bu","13:15:50",465200
