"price","change","match_qtty","side","time","total_vol"
17100,200,1000,"sd","09:04:44",1000
17100,200,16000,"bu","09:05:46",17000
17200,300,19000,"sd","09:06:38",36000
17300,400,2000,"sd","09:07:07",38000
17300,400,1000,"bu","09:07:54",39000
17200,300,10000,"sd","09:09:07",49000
17200,300,10000,"sd","09:09:21",59000
17200,300,1000,"bu","09:09:25",60000
17200,300,3000,"sd","09:09:37",63000
17200,300,26000,"sd","09:11:11",89000
17300,400,4000,"bu","09:11:53",93000
17300,400,10000,"sd","09:12:15",103000
17200,300,10000,"bu","09:13:20",113000
17200,300,100000,"bu","09:16:17",213000
17200,300,1000,"sd","09:16:22",214000
17200,300,10000,"sd","09:16:29",224000
17200,300,14000,"sd","09:16:31",238000
17100,200,1000,"bu","09:17:43",239000
17100,200,86000,"bu","09:17:56",325000
17000,100,54000,"sd","09:18:39",379000
17000,100,15000,"sd","09:19:22",394000
17000,100,20000,"bu","09:19:24",414000
17000,100,1000,"sd","09:19:33",415000
17000,100,10000,"bu","09:20:58",425000
17000,100,30000,"sd","09:21:03",455000
17100,200,63000,"bu","09:21:28",518000
17100,200,10000,"bu","09:23:24",528000
17100,200,1000,"sd","09:23:43",529000
17100,200,35000,"bu","09:24:03",564000
17000,100,50000,"sd","09:25:21",614000
17000,100,7000,"bu","09:25:57",621000
17100,200,30000,"bu","09:29:23",651000
17100,200,20000,"sd","09:32:26",671000
17100,200,30000,"bu","09:32:54",701000
17100,200,24000,"sd","09:33:29",725000
17000,100,89000,"sd","09:37:50",814000
17000,100,10000,"sd","09:38:06",824000
17000,100,2000,"sd","09:38:13",826000
17000,100,23000,"bu","09:38:54",849000
17000,100,1000,"sd","09:42:21",850000
17000,100,15000,"bu","09:43:35",865000
17000,100,75000,"bu","09:43:53",940000
17000,100,5000,"bu","09:45:02",945000
17000,100,22000,"sd","09:45:04",967000
17100,200,2000,"bu","09:45:49",969000
17000,100,28000,"sd","09:46:21",997000
17000,100,10000,"bu","09:47:50",1007000
17000,100,5000,"bu","09:48:03",1012000
17000,100,10000,"bu","09:49:01",1022000
17000,100,21000,"sd","09:49:06",1043000
17000,100,16000,"bu","09:50:35",1059000
17000,100,6000,"sd","09:51:28",1065000
17000,100,244000,"sd","09:53:43",1309000
17000,100,50000,"sd","09:54:05",1359000
17000,100,1000,"bu","09:56:29",1360000
17000,100,2000,"sd","09:57:05",1362000
16900,0,172000,"bu","09:57:53",1534000
16900,0,50000,"bu","09:58:24",1584000
16900,0,2000,"sd","09:58:36",1586000
16900,0,10000,"bu","09:58:53",1596000
16900,0,110000,"bu","09:59:53",1706000
16900,0,1000,"bu","10:00:04",1707000
16900,0,10000,"sd","10:00:12",1717000
16900,0,3000,"sd","10:00:33",1720000
16900,0,4000,"sd","10:00:37",1724000
16900,0,11000,"sd","10:01:24",1735000
16900,0,50000,"bu","10:04:52",1785000
16900,0,27000,"bu","10:04:54",1812000
16900,0,30000,"sd","10:05:35",1842000
16900,0,50000,"sd","10:06:00",1892000
16900,0,20000,"sd","10:07:56",1912000
16900,0,2000,"bu","10:08:16",1914000
17000,100,4000,"bu","10:08:55",1918000
16900,0,10000,"bu","10:09:47",1928000
16900,0,10000,"sd","10:10:26",1938000
16900,0,5000,"sd","10:10:46",1943000
16900,0,20000,"bu","10:10:57",1963000
16900,0,50000,"bu","10:11:21",2013000
16900,0,44000,"bu","10:11:33",2057000
16900,0,1000,"sd","10:12:25",2058000
16900,0,1000,"sd","10:13:43",2059000
16800,-100,3000,"bu","10:14:03",2062000
16900,0,10000,"sd","10:14:55",2072000
16900,0,77000,"sd","10:15:52",2149000
16900,0,23000,"sd","10:17:41",2172000
16900,0,1000,"bu","10:17:45",2173000
16900,0,2000,"sd","10:18:43",2175000
16900,0,1000,"bu","10:19:33",2176000
16900,0,4000,"sd","10:20:18",2180000
16900,0,10000,"sd","10:21:19",2190000
16900,0,1000,"sd","10:22:01",2191000
16900,0,20000,"sd","10:22:17",2211000
16900,0,1000,"sd","10:22:44",2212000
16900,0,1000,"bu","10:22:52",2213000
16900,0,14000,"bu","10:23:47",2227000
16900,0,1000,"bu","10:23:53",2228000
16900,0,4000,"sd","10:24:43",2232000
16800,-100,10000,"bu","10:24:51",2242000
16800,-100,13000,"sd","10:25:22",2255000
16800,-100,1000,"bu","10:25:54",2256000
16900,0,3000,"sd","10:28:14",2259000
16900,0,5000,"sd","10:35:06",2264000
16900,0,2000,"sd","10:35:41",2266000
16900,0,85000,"bu","10:36:03",2351000
16900,0,37000,"bu","10:39:17",2388000
17000,100,2000,"bu","10:40:45",2390000
17000,100,66000,"sd","10:42:28",2456000
17000,100,1000,"bu","10:43:25",2457000
17000,100,1000,"sd","10:45:27",2458000
16900,0,17000,"bu","10:46:14",2475000
16900,0,50000,"bu","10:48:47",2525000
16900,0,100000,"sd","10:49:19",2625000
17000,100,3000,"bu","10:49:58",2628000
17000,100,50000,"sd","10:50:09",2678000
17000,100,40000,"sd","10:50:43",2718000
17000,100,6000,"bu","10:50:47",2724000
17000,100,50000,"bu","10:50:50",2774000
17000,100,1000,"bu","10:51:10",2775000
17000,100,24000,"sd","10:51:20",2799000
17000,100,10000,"sd","10:56:32",2809000
17000,100,17000,"bu","10:59:20",2826000
17000,100,3000,"sd","11:00:15",2829000
16900,0,5000,"sd","11:02:24",2834000
16900,0,12000,"sd","11:05:10",2846000
16900,0,25000,"bu","11:05:21",2871000
16900,0,10000,"bu","11:05:29",2881000
16900,0,30000,"bu","11:06:06",2911000
16900,0,10000,"sd","11:06:44",2921000
17000,100,30000,"bu","11:12:10",2951000
16900,0,10000,"bu","11:15:44",2961000
16900,0,20000,"sd","11:15:52",2981000
16900,0,10000,"bu","11:16:13",2991000
16900,0,8000,"bu","11:17:25",2999000
16900,0,100000,"sd","11:19:36",3099000
16900,0,20000,"sd","11:19:37",3119000
16900,0,30000,"sd","11:19:54",3149000
16900,0,10000,"bu","11:25:17",3159000
16900,0,1000,"sd","11:25:40",3160000
16900,0,20000,"sd","11:25:42",3180000
16900,0,10000,"bu","11:27:46",3190000
16900,0,47000,"bu","11:29:24",3237000
16900,0,3000,"bu","13:00:07",3240000
