"price","change","match_qtty","side","time","total_vol"
13350,0,14300,"bu","09:15:06",14300
13350,0,5200,"bu","09:15:56",19500
13350,0,2200,"sd","09:15:56",21700
13350,0,2600,"sd","09:16:02",24300
13350,0,200,"sd","09:17:01",24500
13350,0,100,"sd","09:17:01",24600
13300,-50,1000,"bu","09:18:19",25600
13350,0,100,"bu","09:20:46",25700
13350,0,2200,"sd","09:22:10",27900
13350,0,600,"bu","09:22:13",28500
13350,0,100,"sd","09:22:18",28600
13350,0,5100,"bu","09:22:59",33700
13350,0,1500,"sd","09:23:02",35200
13350,0,300,"bu","09:23:08",35500
13350,0,10000,"bu","09:25:48",45500
13350,0,1200,"bu","09:26:43",46700
13350,0,300,"bu","09:26:48",47000
13350,0,2000,"bu","09:27:00",49000
13350,0,5000,"bu","09:27:01",54000
13350,0,1500,"bu","09:27:02",55500
13350,0,3000,"bu","09:27:55",58500
13350,0,900,"bu","09:27:58",59400
13350,0,200,"bu","09:28:02",59600
13350,0,5900,"bu","09:28:05",65500
13400,50,100,"bu","09:28:12",65600
13400,50,4900,"bu","09:28:12",70500
13400,50,200,"sd","09:28:13",70700
13350,0,10000,"bu","09:28:37",80700
13350,0,4200,"sd","09:29:09",84900
13350,0,1200,"bu","09:29:13",86100
13350,0,300,"bu","09:29:18",86400
13350,0,4300,"sd","09:29:40",90700
13400,50,3600,"sd","09:30:19",94300
13400,50,2400,"sd","09:30:36",96700
13400,50,600,"sd","09:30:38",97300
13400,50,100,"sd","09:30:40",97400
13400,50,200,"bu","09:30:43",97600
13400,50,300,"sd","09:32:37",97900
13400,50,500,"sd","09:33:34",98400
13400,50,100,"sd","09:33:38",98500
13350,0,3600,"sd","09:33:43",102100
13350,0,200,"bu","09:33:48",102300
13350,0,5000,"sd","09:33:52",107300
13350,0,1200,"bu","09:33:53",108500
13350,0,600,"sd","09:34:47",109100
13350,0,100,"bu","09:34:48",109200
13350,0,1000,"bu","09:35:34",110200
13350,0,300,"sd","09:35:38",110500
13350,0,100,"bu","09:38:20",110600
13300,-50,16800,"bu","09:41:22",127400
13300,-50,100,"bu","09:42:35",127500
13350,0,200,"bu","09:42:36",127700
13300,-50,16600,"bu","09:45:45",144300
13300,-50,3000,"bu","09:45:56",147300
13300,-50,2000,"sd","09:46:04",149300
13300,-50,1400,"sd","09:46:18",150700
13300,-50,400,"bu","09:46:23",151100
13300,-50,100,"bu","09:46:28",151200
13250,-100,2000,"sd","09:47:43",153200
13250,-100,9900,"sd","09:47:51",163100
13250,-100,100,"bu","09:47:53",163200
13250,-100,3800,"bu","09:48:32",167000
13250,-100,1100,"sd","09:48:54",168100
13250,-100,300,"sd","09:48:58",168400
13250,-100,200,"sd","09:49:26",168600
13200,-150,2000,"sd","09:49:37",170600
13250,-100,1200,"sd","09:49:40",171800
13250,-100,9600,"sd","09:49:50",181400
13250,-100,400,"sd","09:49:53",181800
13250,-100,300,"sd","09:50:35",182100
13300,-50,1000,"sd","09:51:04",183100
13300,-50,300,"bu","09:51:08",183400
13300,-50,10000,"sd","09:51:24",193400
13300,-50,2000,"bu","09:51:28",195400
13300,-50,1600,"sd","09:51:35",197000
13300,-50,400,"bu","09:51:38",197400
13300,-50,100,"bu","09:51:44",197500
13300,-50,200,"bu","09:52:39",197700
13300,-50,500,"bu","09:53:33",198200
13300,-50,100,"bu","09:53:38",198300
13250,-100,15200,"bu","09:57:13",213500
13250,-100,4500,"bu","09:57:38",218000
13250,-100,1300,"sd","09:57:43",219300
13250,-100,300,"sd","09:57:48",219600
13250,-100,100,"bu","09:57:57",219700
13250,-100,2000,"sd","09:58:04",221700
13200,-150,1700,"sd","09:59:06",223400
13250,-100,8000,"sd","10:00:23",231400
13250,-100,2000,"sd","10:02:03",233400
13250,-100,1200,"bu","10:02:30",234600
13250,-100,300,"bu","10:02:40",234900
13250,-100,500,"bu","10:03:16",235400
13250,-100,100,"bu","10:03:33",235500
13200,-150,50100,"sd","10:06:12",285600
13250,-100,1000,"sd","10:07:58",286600
13250,-100,300,"sd","10:07:58",286900
13250,-100,6600,"bu","10:09:58",293500
13250,-100,5400,"bu","10:10:26",298900
13250,-100,1600,"bu","10:10:28",300500
13250,-100,400,"sd","10:10:33",300900
13250,-100,100,"bu","10:10:38",301000
13200,-150,500,"sd","10:12:29",301500
13200,-150,1500,"sd","10:12:54",303000
13250,-100,15000,"sd","10:13:32",318000
13200,-150,400,"sd","10:13:33",318400
13250,-100,1400,"bu","10:13:34",319800
13250,-100,2100,"bu","10:14:13",321900
13250,-100,2100,"bu","10:14:15",324000
13250,-100,700,"sd","10:14:23",324700
13250,-100,4100,"bu","10:15:28",328800
13250,-100,100,"bu","10:15:33",328900
13250,-100,11100,"bu","10:17:00",340000
13250,-100,3300,"sd","10:17:04",343300
13250,-100,600,"sd","10:17:08",343900
13250,-100,400,"sd","10:17:32",344300
13250,-100,3600,"sd","10:17:50",347900
13250,-100,1400,"bu","10:18:08",349300
13250,-100,400,"sd","10:18:09",349700
13250,-100,100,"bu","10:18:14",349800
13250,-100,10000,"bu","10:20:05",359800
13250,-100,3000,"bu","10:20:08",362800
13250,-100,900,"sd","10:20:13",363700
13250,-100,100,"sd","10:20:17",363800
13250,-100,300,"sd","10:20:18",364100
