"price","change","match_qtty","side","time","total_vol"
29650,400,2100,"sd","09:15:02",2100
29600,350,400,"sd","09:15:18",2500
29600,350,1600,"bu","09:16:03",4100
29600,350,100,"sd","09:16:05",4200
29600,350,1000,"bu","09:16:17",5200
29650,400,300,"bu","09:16:25",5500
29650,400,4000,"sd","09:17:14",9500
29650,400,300,"sd","09:17:19",9800
29650,400,100,"bu","09:17:24",9900
29650,400,200,"sd","09:17:33",10100
29650,400,500,"bu","09:17:39",10600
29650,400,500,"sd","09:18:03",11100
29700,450,100,"bu","09:18:11",11200
29650,400,200,"sd","09:18:30",11400
29600,350,500,"sd","09:18:38",11900
29650,400,100,"sd","09:18:40",12000
29600,350,2000,"bu","09:19:45",14000
29600,350,500,"sd","09:20:19",14500
29600,350,3500,"sd","09:20:37",18000
29600,350,500,"sd","09:20:46",18500
29550,300,1000,"sd","09:21:45",19500
29550,300,200,"sd","09:21:55",19700
29550,300,400,"sd","09:21:55",20100
29550,300,100,"sd","09:21:58",20200
29600,350,2000,"bu","09:22:10",22200
29600,350,1000,"bu","09:22:51",23200
29600,350,8200,"sd","09:26:40",31400
29650,400,100,"sd","09:26:55",31500
29600,350,2100,"sd","09:28:03",33600
29600,350,100,"sd","09:28:14",33700
29600,350,11800,"bu","09:28:16",45500
29600,350,200,"sd","09:28:18",45700
29600,350,500,"sd","09:28:40",46200
29600,350,900,"bu","09:28:44",47100
29600,350,100,"bu","09:28:53",47200
29600,350,600,"bu","09:29:33",47800
29600,350,800,"bu","09:29:45",48600
29550,300,500,"bu","09:30:29",49100
29550,300,700,"sd","09:30:51",49800
29500,250,300,"sd","09:31:46",50100
29500,250,200,"sd","09:32:16",50300
29500,250,100,"bu","09:33:31",50400
29500,250,3000,"sd","09:34:54",53400
29350,100,6000,"bu","09:37:28",59400
29450,200,1000,"sd","09:40:23",60400
29400,150,500,"sd","09:40:27",60900
29450,200,200,"sd","09:40:40",61100
29500,250,300,"sd","09:41:56",61400
29450,200,2000,"bu","09:42:03",63400
29450,200,1000,"sd","09:43:37",64400
