"price","change","match_qtty","side","time","total_vol"
25000,250,1800,"bu","09:15:11",1800
25000,250,2000,"sd","09:16:11",3800
25000,250,1000,"bu","09:17:00",4800
25000,250,1500,"sd","09:18:04",6300
25000,250,400,"sd","09:18:29",6700
25000,250,600,"bu","09:18:30",7300
25000,250,100,"bu","09:18:41",7400
25000,250,500,"sd","09:18:58",7900
24950,200,800,"bu","09:19:18",8700
24950,200,300,"sd","09:19:38",9000
24950,200,200,"bu","09:19:56",9200
24900,150,2000,"sd","09:20:31",11200
24900,150,200,"sd","09:21:11",11400
24850,100,300,"sd","09:24:15",11700
24850,100,200,"sd","09:25:13",11900
24850,100,700,"bu","09:28:21",12600
24850,100,500,"sd","09:29:47",13100
24850,100,200,"sd","09:30:03",13300
24850,100,300,"sd","09:31:04",13600
24850,100,100,"sd","09:31:26",13700
24800,50,2000,"bu","09:31:52",15700
24800,50,1600,"sd","09:31:58",17300
24800,50,200,"bu","09:31:58",17500
24800,50,1000,"bu","09:32:07",18500
24800,50,100,"sd","09:32:07",18600
24800,50,700,"bu","09:35:22",19300
24800,50,1000,"sd","09:37:07",20300
24850,100,1500,"bu","09:37:33",21800
24800,50,1000,"sd","09:39:31",22800
24800,50,100,"bu","09:40:24",22900
24800,50,700,"bu","09:40:40",23600
24800,50,100,"sd","09:40:46",23700
24800,50,200,"bu","09:41:12",23900
24800,50,900,"bu","09:41:42",24800
24900,150,10000,"sd","09:41:53",34800
24800,50,100,"bu","09:41:54",34900
24750,0,5300,"bu","09:42:27",40200
24900,150,200,"sd","09:48:48",40400
24900,150,500,"bu","09:50:01",40900
24900,150,500,"sd","09:50:04",41400
24900,150,1200,"sd","09:51:05",42600
24850,100,2300,"sd","09:51:10",44900
24800,50,5000,"bu","09:51:28",49900
24800,50,100,"bu","09:51:41",50000
24850,100,800,"bu","09:59:04",50800
24850,100,3900,"sd","09:59:54",54700
24900,150,2200,"sd","10:02:03",56900
24950,200,7200,"bu","10:02:53",64100
25000,250,5000,"sd","10:03:09",69100
25000,250,1300,"bu","10:03:31",70400
25000,250,1500,"sd","10:04:25",71900
25000,250,800,"bu","10:07:23",72700
24950,200,500,"bu","10:08:40",73200
24950,200,2000,"sd","10:11:07",75200
24900,150,100,"bu","10:11:56",75300
24900,150,200,"sd","10:15:31",75500
24950,200,1500,"bu","10:17:17",77000
24900,150,5000,"bu","10:17:54",82000
24900,150,800,"bu","10:18:13",82800
24850,100,1200,"bu","10:18:34",84000
24850,100,500,"sd","10:21:13",84500
24850,100,200,"sd","10:22:14",84700
24850,100,300,"bu","10:22:38",85000
24900,150,100,"sd","10:23:31",85100
24900,150,1000,"sd","10:29:29",86100
24850,100,100,"sd","10:30:11",86200
24900,150,5000,"bu","10:32:26",91200
24900,150,10000,"sd","10:33:57",101200
24900,150,400,"sd","10:35:32",101600
24900,150,100,"bu","10:36:52",101700
24800,50,5000,"bu","10:38:35",106700
24800,50,100,"bu","10:39:11",106800
24800,50,300,"bu","10:39:57",107100
24800,50,1000,"sd","10:40:01",108100
24800,50,500,"sd","10:40:27",108600
24750,0,15000,"bu","10:41:59",123600
24750,0,1300,"sd","10:42:57",124900
24750,0,500,"bu","10:43:38",125400
24900,150,1100,"sd","10:44:02",126500
24900,150,900,"bu","10:44:39",127400
24900,150,1000,"sd","10:48:24",128400
24800,50,1000,"bu","10:49:09",129400
25000,250,85800,"bu","10:49:13",215200
24950,200,1100,"sd","10:58:24",216300
24900,150,600,"sd","11:02:42",216900
24900,150,100,"bu","11:02:50",217000
25000,250,3000,"bu","11:09:03",220000
25000,250,1000,"sd","11:09:25",221000
25000,250,300,"bu","11:11:32",221300
25000,250,1000,"sd","11:11:59",222300
25050,300,100,"sd","11:14:00",222400
25050,300,800,"bu","11:14:55",223200
25050,300,100,"sd","11:15:22",223300
25050,300,3300,"bu","11:16:06",226600
25050,300,100,"bu","11:16:29",226700
25100,350,1200,"sd","11:22:55",227900
25100,350,100,"bu","11:25:00",228000
25150,400,400,"sd","11:25:08",228400
25100,350,100,"sd","11:27:20",228500
25050,300,1000,"bu","11:29:38",229500
25200,450,100,"bu","11:29:51",229600
25100,350,1000,"sd","13:00:29",230600
25150,400,100,"sd","13:00:34",230700
25200,450,1300,"sd","13:00:47",232000
25250,500,2000,"sd","13:00:48",234000
25250,500,900,"bu","13:00:50",234900
25250,500,3800,"bu","13:00:52",238700
25100,350,1000,"sd","13:01:12",239700
25200,450,2800,"sd","13:03:14",242500
25200,450,200,"sd","13:03:44",242700
25050,300,100,"bu","13:09:09",242800
25050,300,3400,"sd","13:09:44",246200
25050,300,100,"sd","13:12:21",246300
25050,300,3600,"sd","13:14:51",249900
25050,300,100,"sd","13:16:40",250000
25050,300,1000,"sd","13:20:00",251000
25050,300,3000,"sd","13:22:01",254000
25100,350,200,"sd","13:22:06",254200
25050,300,100,"sd","13:23:15",254300
25000,250,7400,"sd","13:24:01",261700
25000,250,1000,"sd","13:24:08",262700
25000,250,100,"sd","13:24:24",262800
25000,250,1200,"bu","13:26:43",264000
25000,250,100,"bu","13:26:58",264100
25000,250,3400,"sd","13:33:18",267500
25000,250,700,"sd","13:33:57",268200
25000,250,1400,"bu","13:35:30",269600
24950,200,3800,"sd","13:35:42",273400
24950,200,600,"bu","13:39:48",274000
25100,350,500,"bu","13:42:02",274500
25150,400,3200,"sd","13:42:26",277700
25200,450,4600,"bu","13:43:24",282300
25250,500,3300,"sd","13:45:06",285600
25250,500,100,"bu","13:45:19",285700
25250,500,1000,"sd","13:45:20",286700
25300,550,1500,"sd","13:45:29",288200
25250,500,500,"sd","13:46:02",288700
25250,500,100,"sd","13:46:27",288800
25250,500,1500,"bu","13:47:39",290300
25200,450,400,"sd","13:48:00",290700
25200,450,300,"bu","13:48:35",291000
25200,450,6400,"sd","13:50:48",297400
25200,450,2100,"sd","13:51:41",299500
25200,450,1500,"bu","13:51:50",301000
25050,300,500,"bu","13:55:55",301500
25150,400,500,"sd","13:56:33",302000
25100,350,500,"bu","13:57:27",302500
25050,300,300,"sd","13:57:59",302800
25050,300,300,"sd","13:59:29",303100
25050,300,200,"sd","13:59:37",303300
25000,250,100,"bu","13:59:43",303400
25000,250,500,"bu","14:00:13",303900
25100,350,4000,"sd","14:01:59",307900
25150,400,1200,"bu","14:03:08",309100
25200,450,10400,"sd","14:05:57",319500
25200,450,2000,"sd","14:06:11",321500
25250,500,600,"bu","14:06:20",322100
25250,500,900,"sd","14:06:22",323000
25250,500,400,"bu","14:06:39",323400
25250,500,2000,"sd","14:06:47",325400
25250,500,100,"bu","14:07:19",325500
25250,500,1000,"sd","14:07:26",326500
25300,550,5000,"bu","14:07:29",331500
25300,550,1000,"bu","14:08:07",332500
25300,550,3800,"sd","14:09:35",336300
25300,550,700,"sd","14:09:42",337000
25300,550,300,"sd","14:09:59",337300
25300,550,4500,"bu","14:10:24",341800
25250,500,1400,"sd","14:11:07",343200
25250,500,1700,"bu","14:12:24",344900
25250,500,1900,"sd","14:14:17",346800
25250,500,100,"bu","14:14:33",346900
25250,500,500,"sd","14:14:55",347400
25250,500,200,"sd","14:15:08",347600
25250,500,700,"bu","14:15:12",348300
25250,500,500,"sd","14:15:34",348800
25000,250,10800,"sd","14:15:52",359600
25000,250,5000,"bu","14:16:06",364600
25200,450,700,"sd","14:20:35",365300
25200,450,200,"sd","14:20:54",365500
25200,450,1000,"sd","14:21:14",366500
25200,450,800,"bu","14:22:35",367300
25200,450,100,"sd","14:22:57",367400
25200,450,1000,"bu","14:23:18",368400
25200,450,100,"bu","14:23:22",368500
25100,350,5400,"bu","14:25:05",373900
25200,450,200,"sd","14:26:45",374100
25200,450,2000,"bu","14:26:53",376100
25200,450,100,"sd","14:26:59",376200
25100,350,2000,"sd","14:27:07",378200
25150,400,700,"bu","14:28:09",378900
25200,450,300,"bu","14:28:46",379200
25150,400,1000,"sd","14:28:50",380200
25150,400,100,"sd","14:29:04",380300
25200,450,900,"bu","14:29:10",381200
25200,450,400,"sd","14:29:26",381600
25200,450,800,"sd","14:29:45",382400
25200,450,2700,"sd","14:29:47",385100
25250,500,12000,"bu","14:45:13",397100
