"price","change","match_qtty","side","time","total_vol"
7500,0,300,"bu","09:15:03",300
7450,-50,1000,"bu","09:15:17",1300
7400,-100,4000,"sd","09:15:38",5300
7390,-110,5500,"bu","09:16:04",10800
7390,-110,200,"bu","09:16:19",11000
7400,-100,3500,"bu","09:16:23",14500
7400,-100,1500,"bu","09:17:01",16000
7390,-110,100,"bu","09:17:34",16100
7390,-110,4400,"sd","09:18:30",20500
7390,-110,3500,"sd","09:18:48",24000
7400,-100,100,"sd","09:18:56",24100
7400,-100,3400,"bu","09:19:08",27500
7440,-60,100,"sd","09:19:37",27600
7400,-100,500,"bu","09:21:36",28100
7400,-100,3000,"bu","09:21:36",31100
7400,-100,100,"sd","09:21:58",31200
7400,-100,1000,"sd","09:22:44",32200
7400,-100,400,"sd","09:23:51",32600
7440,-60,2000,"bu","09:24:02",34600
7450,-50,2000,"sd","09:24:48",36600
7450,-50,3100,"bu","09:24:59",39700
7450,-50,1900,"bu","09:25:29",41600
7450,-50,500,"bu","09:28:49",42100
7410,-90,2000,"bu","09:29:17",44100
7450,-50,4300,"bu","09:30:10",48400
7490,-10,2000,"sd","09:30:23",50400
7490,-10,500,"sd","09:30:41",50900
7500,0,4200,"bu","09:31:28",55100
7450,-50,200,"bu","09:31:28",55300
7490,-10,100,"sd","09:33:52",55400
7490,-10,3100,"sd","09:36:35",58500
7490,-10,1500,"sd","09:36:45",60000
7500,0,3200,"sd","09:36:51",63200
7500,0,700,"sd","09:36:52",63900
7490,-10,500,"sd","09:36:54",64400
7540,40,500,"sd","09:37:03",64900
7500,0,3200,"bu","09:39:27",68100
7500,0,100,"bu","09:39:59",68200
7470,-30,3000,"sd","09:41:31",71200
7500,0,100,"sd","09:41:35",71300
7500,0,1300,"sd","09:42:03",72600
7510,10,100,"sd","09:42:07",72700
7500,0,200,"sd","09:45:19",72900
7500,0,1200,"sd","09:47:36",74100
7500,0,100,"bu","09:50:49",74200
7500,0,1200,"bu","09:54:01",75400
7460,-40,5200,"bu","09:54:51",80600
7500,0,200,"sd","09:54:52",80800
7500,0,100,"sd","09:55:17",80900
7490,-10,500,"bu","09:57:38",81400
7500,0,1200,"bu","09:59:12",82600
7500,0,1000,"sd","10:00:05",83600
7500,0,500,"bu","10:00:19",84100
7500,0,2500,"bu","10:00:29",86600
7500,0,4600,"sd","10:00:49",91200
7510,10,100,"sd","10:00:59",91300
7510,10,200,"sd","10:02:46",91500
7500,0,100,"sd","10:03:23",91600
7530,30,3000,"sd","10:03:53",94600
7530,30,1000,"sd","10:04:03",95600
7540,40,2300,"sd","10:04:31",97900
7530,30,500,"bu","10:04:40",98400
7540,40,1000,"sd","10:05:12",99400
7540,40,200,"bu","10:05:52",99600
7540,40,100,"bu","10:06:14",99700
7550,50,5000,"sd","10:06:52",104700
7550,50,2600,"sd","10:06:58",107300
7550,50,1000,"sd","10:07:06",108300
7580,80,500,"bu","10:07:07",108800
7550,50,400,"sd","10:07:22",109200
7510,10,500,"sd","10:11:30",109700
7500,0,3600,"sd","10:13:36",113300
7500,0,100,"bu","10:15:58",113400
7500,0,3400,"sd","10:24:14",116800
7500,0,100,"sd","10:25:45",116900
7500,0,3300,"sd","10:30:36",120200
7540,40,1000,"bu","10:30:49",121200
7500,0,1300,"bu","10:32:21",122500
7500,0,100,"sd","10:38:28",122600
7500,0,200,"sd","10:47:05",122800
7500,0,1400,"bu","10:49:02",124200
7530,30,100,"bu","10:49:13",124300
7480,-20,1400,"bu","10:56:06",125700
7500,0,100,"sd","10:56:34",125800
7450,-50,10000,"sd","11:00:45",135800
7500,0,100,"bu","11:00:59",135900
7500,0,200,"sd","11:12:10",136100
7500,0,100,"bu","11:14:14",136200
7450,-50,1000,"sd","11:22:47",137200
7450,-50,2500,"sd","11:24:32",139700
7450,-50,200,"sd","11:27:48",139900
7450,-50,2000,"bu","11:28:08",141900
7450,-50,300,"bu","11:28:14",142200
7500,0,100,"bu","11:28:19",142300
7450,-50,300,"sd","13:01:18",142600
7430,-70,2000,"bu","13:02:31",144600
7400,-100,10000,"sd","13:03:41",154600
7450,-50,100,"bu","13:04:13",154700
7450,-50,500,"bu","13:04:37",155200
7450,-50,200,"sd","13:05:04",155400
7450,-50,500,"sd","13:06:19",155900
7450,-50,2400,"bu","13:08:03",158300
7500,0,100,"bu","13:08:06",158400
7450,-50,1200,"sd","13:17:14",159600
7450,-50,1100,"bu","13:19:35",160700
7450,-50,1500,"bu","13:20:13",162200
7450,-50,200,"sd","13:23:19",162400
7420,-80,500,"sd","13:24:29",162900
7420,-80,700,"bu","13:26:21",163600
7420,-80,500,"bu","13:29:05",164100
7420,-80,700,"bu","13:29:31",164800
7420,-80,100,"bu","13:30:13",164900
7420,-80,1000,"sd","13:30:20",165900
7420,-80,100,"sd","13:31:00",166000
7410,-90,500,"sd","13:31:04",166500
7450,-50,1500,"sd","13:31:32",168000
7450,-50,1000,"sd","13:33:12",169000
7450,-50,900,"sd","13:33:22",169900
7500,0,100,"bu","13:33:27",170000
7500,0,500,"bu","13:33:33",170500
7500,0,100,"sd","13:40:20",170600
7500,0,1100,"sd","13:42:21",171700
7500,0,100,"sd","13:42:56",171800
7500,0,200,"bu","13:43:24",172000
7500,0,5500,"bu","13:43:50",177500
7520,20,2100,"sd","13:44:32",179600
7520,20,100,"sd","13:45:42",179700
7530,30,3000,"bu","13:46:10",182700
7530,30,500,"bu","13:46:25",183200
7530,30,1200,"sd","13:46:38",184400
7530,30,1000,"bu","13:46:49",185400
7530,30,5000,"sd","13:46:55",190400
7530,30,1700,"bu","13:47:06",192100
7550,50,200,"bu","13:47:12",192300
7530,30,100,"bu","13:47:24",192400
7530,30,200,"bu","13:47:27",192600
7550,50,5000,"bu","13:48:08",197600
7550,50,15400,"bu","13:48:15",213000
7550,50,1200,"sd","13:48:41",214200
7550,50,600,"sd","13:48:47",214800
7550,50,2900,"bu","13:49:27",217700
7550,50,100,"bu","13:49:42",217800
7520,20,600,"sd","14:02:12",218400
7520,20,100,"sd","14:03:58",218500
7510,10,5000,"bu","14:04:04",223500
7530,30,100,"sd","14:04:11",223600
7520,20,1000,"sd","14:06:20",224600
7520,20,2000,"sd","14:06:31",226600
7520,20,100,"sd","14:06:40",226700
7520,20,2900,"bu","14:06:58",229600
7550,50,1600,"bu","14:07:05",231200
7550,50,2900,"sd","14:07:47",234100
7550,50,100,"bu","14:09:16",234200
7550,50,700,"sd","14:12:44",234900
7550,50,200,"bu","14:13:03",235100
7520,20,1100,"bu","14:15:01",236200
7500,0,5000,"sd","14:15:47",241200
7520,20,100,"bu","14:17:46",241300
7500,0,1800,"sd","14:18:42",243100
7520,20,100,"sd","14:19:07",243200
7520,20,500,"sd","14:20:23",243700
7520,20,2400,"bu","14:20:44",246100
7550,50,1000,"bu","14:20:48",247100
7550,50,200,"sd","14:21:30",247300
7550,50,1000,"sd","14:21:37",248300
7550,50,100,"sd","14:21:48",248400
7520,20,1200,"bu","14:23:47",249600
7550,50,2000,"sd","14:25:18",251600
7550,50,200,"sd","14:25:54",251800
7550,50,2300,"bu","14:26:35",254100
7550,50,6100,"bu","14:26:45",260200
7560,60,100,"bu","14:26:47",260300
7550,50,900,"sd","14:26:53",261200
7560,60,400,"sd","14:27:01",261600
7560,60,1000,"sd","14:27:18",262600
7510,10,500,"sd","14:28:18",263100
7510,10,10000,"bu","14:29:12",273100
7560,60,300,"bu","14:29:18",273400
7560,60,6900,"sd","14:29:43",280300
7570,70,5200,"sd","14:29:47",285500
7580,80,100,"bu","14:29:54",285600
7570,70,800,"sd","14:29:56",286400
7580,80,36400,"bu","14:45:06",322800
