"price","change","match_qtty","side","time","total_vol"
9500,0,1000,"bu","09:00:14",1000
9500,0,1000,"sd","09:00:18",2000
9600,100,1000,"sd","09:04:15",3000
9600,100,3000,"sd","09:05:23",6000
9600,100,10000,"bu","09:07:57",16000
9600,100,7000,"sd","09:09:14",23000
9600,100,15000,"sd","09:09:19",38000
9600,100,30000,"sd","09:09:57",68000
9600,100,100000,"bu","09:10:06",168000
9500,0,7000,"bu","09:10:27",175000
9500,0,1000,"sd","09:15:36",176000
9600,100,10000,"bu","09:15:58",186000
9600,100,30000,"sd","09:17:01",216000
9600,100,2000,"bu","09:17:04",218000
9600,100,3000,"bu","09:17:22",221000
9500,0,30000,"sd","09:23:45",251000
9600,100,15000,"sd","09:27:39",266000
9500,0,3000,"bu","09:53:06",269000
9500,0,32000,"bu","09:54:49",301000
9500,0,5000,"bu","09:55:27",306000
9500,0,1000,"sd","10:01:38",307000
9500,0,10000,"sd","10:03:24",317000
9500,0,20000,"bu","10:06:58",337000
9500,0,30000,"bu","10:07:10",367000
9500,0,5000,"bu","10:07:24",372000
9500,0,102000,"sd","10:09:04",474000
9500,0,7000,"bu","10:10:13",481000
9400,-100,40000,"sd","10:13:04",521000
9400,-100,1000,"bu","10:21:48",522000
9400,-100,5000,"bu","10:25:54",527000
9400,-100,5000,"sd","10:28:44",532000
9500,0,200000,"sd","10:37:25",732000
9500,0,1000,"sd","10:38:45",733000
9500,0,1000,"bu","10:40:09",734000
9500,0,4000,"bu","10:40:15",738000
9400,-100,8000,"sd","10:56:22",746000
9400,-100,100000,"sd","11:03:51",846000
9400,-100,110000,"bu","11:06:19",956000
9500,0,100000,"sd","11:11:45",1056000
9500,0,10000,"sd","11:12:52",1066000
9500,0,155000,"sd","11:19:26",1221000
9400,-100,1000,"sd","13:01:31",1222000
9500,0,20000,"sd","13:06:29",1242000
9500,0,10000,"bu","13:06:43",1252000
9500,0,10000,"bu","13:06:50",1262000
9400,-100,17000,"sd","13:08:52",1279000
9400,-100,2000,"sd","13:16:08",1281000
9400,-100,4000,"bu","13:18:41",1285000
9400,-100,2000,"sd","13:21:13",1287000
9400,-100,52000,"sd","13:23:21",1339000
9400,-100,5000,"bu","13:35:47",1344000
9500,0,25000,"bu","13:36:02",1369000
9500,0,5000,"sd","13:37:53",1374000
9400,-100,100000,"sd","13:40:26",1474000
9400,-100,1000,"bu","13:42:36",1475000
9400,-100,8000,"sd","13:43:44",1483000
9400,-100,100000,"bu","13:49:57",1583000
9400,-100,25000,"sd","13:51:52",1608000
9400,-100,70000,"sd","13:53:17",1678000
9400,-100,5000,"sd","13:53:57",1683000
9400,-100,1000,"sd","14:01:51",1684000
9400,-100,10000,"bu","14:04:33",1694000
9400,-100,30000,"sd","14:06:58",1724000
9400,-100,42000,"bu","14:10:52",1766000
9400,-100,15000,"bu","14:23:10",1781000
9400,-100,1000,"bu","14:23:51",1782000
9400,-100,3000,"bu","14:25:00",1785000
9400,-100,1000,"sd","14:25:30",1786000
9400,-100,1000,"bu","14:25:54",1787000
9400,-100,9000,"sd","14:26:15",1796000
9400,-100,20000,"sd","14:45:14",1816000
