"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1382",7400,56000,741300,"14:45:00",7770,"sd",-370,-4.8,"D","LeTable"
"hose:1382",7600,5000,685300,"14:29:54",7770,"bu",-170,-2.2,"D","LeTable"
"hose:1382",7600,200,680300,"14:29:54",7770,"bu",-170,-2.2,"D","LeTable"
"hose:1382",7600,2400,680100,"14:29:54",7770,"bu",-170,-2.2,"D","LeTable"
"hose:1382",7590,5000,677700,"14:29:54",7770,"bu",-180,-2.3,"D","LeTable"
"hose:1382",7590,5500,672700,"14:29:54",7770,"bu",-180,-2.3,"D","LeTable"
"hose:1382",7540,1200,667200,"14:29:21",7770,"sd",-230,-3,"D","LeTable"
"hose:1382",7550,1200,666000,"14:29:21",7770,"sd",-220,-2.8,"D","LeTable"
"hose:1382",7550,1900,664800,"14:29:21",7770,"sd",-220,-2.8,"D","LeTable"
"hose:1382",7560,100,662900,"14:29:21",7770,"sd",-210,-2.7,"D","LeTable"
"hose:1382",7580,300,662800,"14:29:21",7770,"sd",-190,-2.4,"D","LeTable"
"hose:1382",7580,1700,662500,"14:29:20",7770,"sd",-190,-2.4,"D","LeTable"
"hose:1382",7590,100,660800,"14:27:21",7770,"bu",-180,-2.3,"D","LeTable"
"hose:1382",7590,400,660700,"14:26:54",7770,"bu",-180,-2.3,"D","LeTable"
"hose:1382",7590,400,660300,"14:26:15",7770,"sd",-180,-2.3,"D","LeTable"
"hose:1382",7600,100,659900,"14:25:29",7770,"bu",-170,-2.2,"D","LeTable"
"hose:1382",7600,1000,659800,"14:24:41",7770,"bu",-170,-2.2,"D","LeTable"
"hose:1382",7590,9600,658800,"14:24:31",7770,"bu",-180,-2.3,"D","LeTable"
"hose:1382",7580,100,649200,"14:24:11",7770,"bu",-190,-2.4,"D","LeTable"
"hose:1382",7580,2000,649100,"14:24:11",7770,"bu",-190,-2.4,"D","LeTable"
"hose:1382",7590,400,647100,"14:24:11",7770,"bu",-180,-2.3,"D","LeTable"
"hose:1382",7550,2000,646700,"14:23:53",7770,"sd",-220,-2.8,"D","LeTable"
"hose:1382",7550,100,644700,"14:23:53",7770,"sd",-220,-2.8,"D","LeTable"
"hose:1382",7550,200,644600,"14:23:43",7770,"bu",-220,-2.8,"D","LeTable"
"hose:1382",7540,100,644400,"14:23:08",7770,"sd",-230,-3,"D","LeTable"
"hose:1382",7540,200,644300,"14:23:02",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,500,644100,"14:23:02",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,200,643600,"14:22:46",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,1400,643400,"14:22:20",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,1000,642000,"14:22:03",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,2400,641000,"14:21:42",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,600,638600,"14:21:42",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,500,638000,"14:20:52",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7520,2000,637500,"14:20:35",7770,"sd",-250,-3.2,"D","LeTable"
"hose:1382",7540,1000,635500,"14:19:36",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7540,3900,634500,"14:18:36",7770,"bu",-230,-3,"D","LeTable"
"hose:1382",7530,100,630600,"14:18:36",7770,"bu",-240,-3.1,"D","LeTable"
"hose:1382",7530,2000,630500,"14:18:28",7770,"bu",-240,-3.1,"D","LeTable"
"hose:1382",7520,4000,628500,"14:17:57",7770,"bu",-250,-3.2,"D","LeTable"
"hose:1382",7520,1000,624500,"14:17:26",7770,"bu",-250,-3.2,"D","LeTable"
"hose:1382",7500,100,623500,"14:16:39",7770,"bu",-270,-3.5,"D","LeTable"
"hose:1382",7500,5000,623400,"14:16:39",7770,"bu",-270,-3.5,"D","LeTable"
"hose:1382",7500,300,618400,"14:16:39",7770,"bu",-270,-3.5,"D","LeTable"
"hose:1382",7500,200,618100,"14:16:39",7770,"bu",-270,-3.5,"D","LeTable"
"hose:1382",7490,1000,617900,"14:15:55",7770,"bu",-280,-3.6,"D","LeTable"
"hose:1382",7500,400,616900,"14:15:13",7770,"bu",-270,-3.5,"D","LeTable"
"hose:1382",7500,4400,616500,"14:14:54",7770,"bu",-270,-3.5,"D","LeTable"
"hose:1382",7490,600,612100,"14:14:54",7770,"bu",-280,-3.6,"D","LeTable"
"hose:1382",7490,4800,611500,"14:14:41",7770,"bu",-280,-3.6,"D","LeTable"
"hose:1382",7470,200,606700,"14:14:41",7770,"bu",-300,-3.9,"D","LeTable"
"hose:1382",7450,1800,606500,"14:12:25",7770,"bu",-320,-4.1,"D","LeTable"
"hose:1382",7450,2000,604700,"14:11:23",7770,"bu",-320,-4.1,"D","LeTable"
"hose:1382",7450,2000,602700,"14:11:05",7770,"sd",-320,-4.1,"D","LeTable"
"hose:1382",7450,1000,600700,"14:11:05",7770,"sd",-320,-4.1,"D","LeTable"
"hose:1382",7450,700,599700,"14:11:05",7770,"sd",-320,-4.1,"D","LeTable"
"hose:1382",7450,1700,599000,"14:10:41",7770,"sd",-320,-4.1,"D","LeTable"
"hose:1382",7460,300,597300,"14:10:41",7770,"sd",-310,-4,"D","LeTable"
"hose:1382",7470,300,597000,"14:09:58",7770,"bu",-300,-3.9,"D","LeTable"
"hose:1382",7470,1200,596700,"14:09:50",7770,"bu",-300,-3.9,"D","LeTable"
