"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3857",16300,147500,2230400,"14:45:03",17200,"unknown",-900,-5.2,"D","LeTable"
"hose:3857",16550,3000,2082900,"14:29:50",17200,"bu",-650,-3.8,"D","LeTable"
"hose:3857",16450,700,2079900,"14:29:48",17200,"sd",-750,-4.4,"D","LeTable"
"hose:3857",16450,200,2079200,"14:29:48",17200,"sd",-750,-4.4,"D","LeTable"
"hose:3857",16500,300,2079000,"14:29:48",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,13800,2078700,"14:29:48",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,1200,2064900,"14:29:43",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,300,2063700,"14:29:43",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,700,2063400,"14:29:30",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,100,2062700,"14:29:30",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,500,2062600,"14:29:30",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,400,2062100,"14:29:30",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16550,500,2061700,"14:29:29",17200,"bu",-650,-3.8,"D","LeTable"
"hose:3857",16500,8700,2061200,"14:29:24",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,100,2052500,"14:29:24",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,300,2052400,"14:29:24",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,900,2052100,"14:29:24",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,200,2051200,"14:29:23",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,700,2051000,"14:29:23",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16500,1100,2050300,"14:29:23",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16550,500,2049200,"14:29:18",17200,"bu",-650,-3.8,"D","LeTable"
"hose:3857",16500,3000,2048700,"14:29:15",17200,"sd",-700,-4.1,"D","LeTable"
"hose:3857",16550,500,2045700,"14:29:07",17200,"bu",-650,-3.8,"D","LeTable"
"hose:3857",16550,100,2045200,"14:29:05",17200,"sd",-650,-3.8,"D","LeTable"
"hose:3857",16550,100,2045100,"14:29:05",17200,"sd",-650,-3.8,"D","LeTable"
"hose:3857",16600,200,2045000,"14:29:01",17200,"bu",-600,-3.5,"D","LeTable"
"hose:3857",16600,300,2044800,"14:29:01",17200,"bu",-600,-3.5,"D","LeTable"
"hose:3857",16600,1800,2044500,"14:28:30",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,700,2042700,"14:28:30",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,2000,2042000,"14:28:30",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,15200,2040000,"14:28:29",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,1100,2024800,"14:28:24",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,2500,2023700,"14:28:24",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,500,2021200,"14:28:17",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,10700,2020700,"14:28:11",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,1900,2010000,"14:28:11",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,1100,2008100,"14:27:50",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,1000,2007000,"14:27:50",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,100,2006000,"14:27:50",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16600,4300,2005900,"14:27:50",17200,"sd",-600,-3.5,"D","LeTable"
"hose:3857",16650,500,2001600,"14:27:50",17200,"sd",-550,-3.2,"D","LeTable"
"hose:3857",16700,5000,2001100,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16700,200,1996100,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16700,2000,1995900,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16700,3000,1993900,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16700,4000,1990900,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16700,800,1986900,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16700,900,1986100,"14:27:44",17200,"sd",-500,-2.9,"D","LeTable"
"hose:3857",16750,700,1985200,"14:27:28",17200,"bu",-450,-2.6,"D","LeTable"
"hose:3857",16750,500,1984500,"14:27:28",17200,"bu",-450,-2.6,"D","LeTable"
"hose:3857",16750,800,1984000,"14:27:28",17200,"bu",-450,-2.6,"D","LeTable"
"hose:3857",16750,1300,1983200,"14:27:13",17200,"bu",-450,-2.6,"D","LeTable"
"hose:3857",16750,700,1981900,"14:27:13",17200,"bu",-450,-2.6,"D","LeTable"
"hose:3857",16750,1100,1981200,"14:26:53",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16750,500,1980100,"14:26:49",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16750,100,1979600,"14:26:45",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16800,1000,1979500,"14:26:44",17200,"bu",-400,-2.3,"D","LeTable"
"hose:3857",16750,300,1978500,"14:26:38",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16750,2700,1978200,"14:26:38",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16750,300,1975500,"14:26:37",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16750,900,1975200,"14:26:37",17200,"sd",-450,-2.6,"D","LeTable"
"hose:3857",16800,100,1974300,"14:26:37",17200,"bu",-400,-2.3,"D","LeTable"
"hose:3857",16750,100,1974200,"14:26:28",17200,"bu",-450,-2.6,"D","LeTable"
"hose:3857",16750,4000,1974100,"14:26:28",17200,"bu",-450,-2.6,"D","LeTable"
