"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:2195",22200,1046700,17533500,"14:45:02",22200,"unknown",0,0,"R","LeTable"
"hose:2195",22450,500,16486800,"14:29:58",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,2000,16486300,"14:29:58",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,1800,16484300,"14:29:58",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,1600,16482500,"14:29:58",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,2000,16480900,"14:29:56",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,100,16478900,"14:29:55",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,1000,16478800,"14:29:52",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,200,16477800,"14:29:52",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,500,16477600,"14:29:52",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,300,16477100,"14:29:52",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,300,16476800,"14:29:51",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,2000,16476500,"14:29:51",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,500,16474500,"14:29:45",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,1500,16474000,"14:29:42",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,200,16472500,"14:29:41",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,3500,16472300,"14:29:41",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,1500,16468800,"14:29:39",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,200,16467300,"14:29:39",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,300,16467100,"14:29:39",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22400,100,16466800,"14:29:36",22200,"sd",200,0.9,"U","LeTable"
"hose:2195",22400,1000,16466700,"14:29:36",22200,"sd",200,0.9,"U","LeTable"
"hose:2195",22400,300,16465700,"14:29:36",22200,"sd",200,0.9,"U","LeTable"
"hose:2195",22400,600,16465400,"14:29:36",22200,"sd",200,0.9,"U","LeTable"
"hose:2195",22450,2700,16464800,"14:29:35",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,400,16462100,"14:29:34",22200,"sd",250,1.1,"U","LeTable"
"hose:2195",22450,1400,16461700,"14:29:33",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,2000,16460300,"14:29:33",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,2500,16458300,"14:29:33",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,900,16455800,"14:29:31",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,1000,16454900,"14:29:31",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22400,100,16453900,"14:29:30",22200,"sd",200,0.9,"U","LeTable"
"hose:2195",22450,1000,16453800,"14:29:30",22200,"bu",250,1.1,"U","LeTable"
"hose:2195",22450,2000,16452800,"14:29:28",22200,"bu",250,1.1,"U","LeTable"
