"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3850",16000,82700,793700,"14:45:05",15800,"unknown",200,1.3,"U","LeTable"
"hose:3850",15750,100,711000,"14:30:01",15800,"bu",-50,-0.3,"D","LeTable"
"hose:3850",15750,1000,710900,"14:30:01",15800,"bu",-50,-0.3,"D","LeTable"
"hose:3850",15750,1000,709900,"14:30:01",15800,"bu",-50,-0.3,"D","LeTable"
"hose:3850",15700,1700,708900,"14:29:50",15800,"bu",-100,-0.6,"D","LeTable"
"hose:3850",15700,3300,707200,"14:29:46",15800,"bu",-100,-0.6,"D","LeTable"
"hose:3850",15700,1000,703900,"14:29:46",15800,"bu",-100,-0.6,"D","LeTable"
"hose:3850",15700,100,702900,"14:29:46",15800,"bu",-100,-0.6,"D","LeTable"
"hose:3850",15700,200,702800,"14:29:46",15800,"bu",-100,-0.6,"D","LeTable"
"hose:3850",15650,400,702600,"14:29:46",15800,"bu",-150,-0.9,"D","LeTable"
"hose:3850",15600,500,702200,"14:29:45",15800,"sd",-200,-1.3,"D","LeTable"
"hose:3850",15650,300,701700,"14:29:44",15800,"bu",-150,-0.9,"D","LeTable"
"hose:3850",15650,300,701400,"14:29:36",15800,"bu",-150,-0.9,"D","LeTable"
"hose:3850",15600,500,701100,"14:29:32",15800,"sd",-200,-1.3,"D","LeTable"
"hose:3850",15650,100,700600,"14:29:27",15800,"bu",-150,-0.9,"D","LeTable"
"hose:3850",15600,500,700500,"14:29:19",15800,"bu",-200,-1.3,"D","LeTable"
"hose:3850",15600,100,700000,"14:29:18",15800,"bu",-200,-1.3,"D","LeTable"
"hose:3850",15600,100,699900,"14:29:18",15800,"bu",-200,-1.3,"D","LeTable"
"hose:3850",15500,1500,699800,"14:29:03",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,1600,698300,"14:29:02",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,1400,696700,"14:29:02",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,3000,695300,"14:29:01",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,1000,692300,"14:28:55",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,100,691300,"14:28:55",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15450,500,691200,"14:28:40",15800,"sd",-350,-2.2,"D","LeTable"
"hose:3850",15500,100,690700,"14:28:38",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,3000,690600,"14:28:36",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,1400,687600,"14:28:25",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15500,3500,686200,"14:28:25",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15450,5100,682700,"14:28:25",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,1000,677600,"14:28:18",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15400,500,676600,"14:28:18",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15450,500,676100,"14:28:00",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,600,675600,"14:27:59",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,500,675000,"14:27:46",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,1200,674500,"14:27:44",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,3000,673300,"14:27:42",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,1000,670300,"14:27:29",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,200,669300,"14:27:18",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,500,669100,"14:27:12",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15450,500,668600,"14:27:12",15800,"bu",-350,-2.2,"D","LeTable"
"hose:3850",15400,100,668100,"14:26:56",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,200,668000,"14:26:45",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,100,667800,"14:26:36",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,100,667700,"14:26:29",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15500,200,667600,"14:23:51",15800,"bu",-300,-1.9,"D","LeTable"
"hose:3850",15400,400,667400,"14:23:51",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,300,667000,"14:23:51",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15350,1100,666700,"14:23:51",15800,"bu",-450,-2.8,"D","LeTable"
"hose:3850",15300,600,665600,"14:22:23",15800,"sd",-500,-3.2,"D","LeTable"
"hose:3850",15300,400,665000,"14:21:28",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15300,100,664600,"14:21:09",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15300,900,664500,"14:21:08",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15300,500,663600,"14:21:06",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15300,1000,663100,"14:21:06",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15300,100,662100,"14:20:34",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15350,100,662000,"14:20:21",15800,"bu",-450,-2.8,"D","LeTable"
"hose:3850",15350,100,661900,"14:20:20",15800,"bu",-450,-2.8,"D","LeTable"
"hose:3850",15400,700,661800,"14:19:48",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,300,661100,"14:19:48",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,2000,660800,"14:19:37",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15400,2700,658800,"14:18:54",15800,"bu",-400,-2.5,"D","LeTable"
"hose:3850",15300,6800,656100,"14:18:54",15800,"bu",-500,-3.2,"D","LeTable"
"hose:3850",15250,1000,649300,"14:18:54",15800,"bu",-550,-3.5,"D","LeTable"
"hose:3850",15200,1000,648300,"14:18:54",15800,"bu",-600,-3.8,"D","LeTable"
"hose:3850",15200,4500,647300,"14:18:54",15800,"bu",-600,-3.8,"D","LeTable"
"hose:3850",15200,300,642800,"14:18:54",15800,"bu",-600,-3.8,"D","LeTable"
"hose:3850",15200,3500,642500,"14:18:54",15800,"bu",-600,-3.8,"D","LeTable"
"hose:3850",15150,200,639000,"14:18:54",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,900,638800,"14:18:46",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,100,637900,"14:18:46",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,400,637800,"14:18:45",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,1000,637400,"14:18:44",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,900,636400,"14:18:44",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,2700,635500,"14:18:44",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,100,632800,"14:18:43",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,200,632700,"14:18:35",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15150,1300,632500,"14:18:30",15800,"bu",-650,-4.1,"D","LeTable"
"hose:3850",15100,2200,631200,"14:18:16",15800,"sd",-700,-4.4,"D","LeTable"
"hose:3850",15100,100,629000,"14:18:13",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,200,628900,"14:18:12",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,400,628700,"14:18:08",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,5000,628300,"14:18:04",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,500,623300,"14:18:03",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,500,622800,"14:17:57",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15000,1700,622300,"14:17:35",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,3100,620600,"14:17:35",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15050,200,617500,"14:17:21",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15050,400,617300,"14:17:13",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15050,400,616900,"14:17:04",15800,"bu",-750,-4.7,"D","LeTable"
"hose:3850",15000,100,616500,"14:17:04",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15050,500,616400,"14:16:56",15800,"bu",-750,-4.7,"D","LeTable"
"hose:3850",15050,100,615900,"14:16:27",15800,"bu",-750,-4.7,"D","LeTable"
"hose:3850",15050,100,615800,"14:16:19",15800,"bu",-750,-4.7,"D","LeTable"
"hose:3850",15050,200,615700,"14:16:19",15800,"bu",-750,-4.7,"D","LeTable"
"hose:3850",15100,1300,615500,"14:16:11",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,200,614200,"14:16:11",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15050,800,614000,"14:15:45",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15000,100,613200,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,2000,613100,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,100,611100,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,5000,611000,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1000,606000,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1000,605000,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,300,604000,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1000,603700,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,10000,602700,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1000,592700,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,2000,591700,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,300,589700,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1000,589400,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1500,588400,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,100,586900,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,1000,586800,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,3000,585800,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15000,5000,582800,"14:15:43",15800,"sd",-800,-5.1,"D","LeTable"
"hose:3850",15050,100,577800,"14:15:43",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15050,500,577700,"14:15:43",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15050,2000,577200,"14:15:36",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15100,100,575200,"14:15:33",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,700,575100,"14:15:32",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,900,574400,"14:15:32",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,1000,573500,"14:15:23",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,500,572500,"14:15:17",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15100,500,572000,"14:15:16",15800,"bu",-700,-4.4,"D","LeTable"
"hose:3850",15050,3000,571500,"14:15:03",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15050,500,568500,"14:15:03",15800,"sd",-750,-4.7,"D","LeTable"
"hose:3850",15050,500,568000,"14:15:03",15800,"sd",-750,-4.7,"D","LeTable"
