"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3847",106300,23600,874800,"14:45:05",105000,"unknown",1300,1.2,"U","LeTable"
"hose:3847",106800,500,851200,"14:26:44",105000,"bu",1800,1.7,"U","LeTable"
"hose:3847",106800,600,850700,"14:26:36",105000,"bu",1800,1.7,"U","LeTable"
"hose:3847",106700,300,850100,"14:26:36",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106800,1500,849800,"14:26:23",105000,"bu",1800,1.7,"U","LeTable"
"hose:3847",106800,700,848300,"14:26:20",105000,"bu",1800,1.7,"U","LeTable"
"hose:3847",106800,100,847600,"14:26:20",105000,"bu",1800,1.7,"U","LeTable"
"hose:3847",106700,100,847500,"14:26:07",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,400,847400,"14:26:07",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,700,847000,"14:26:07",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106500,300,846300,"14:26:07",105000,"bu",1500,1.4,"U","LeTable"
"hose:3847",106700,400,846000,"14:26:02",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,200,845600,"14:26:02",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106600,400,845400,"14:26:02",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,1100,845000,"14:25:56",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,100,843900,"14:25:56",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,300,843800,"14:25:56",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,1000,843500,"14:25:50",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,200,842500,"14:25:40",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,700,842300,"14:25:40",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,800,841600,"14:25:32",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106600,200,840800,"14:25:32",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106700,400,840600,"14:20:44",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,200,840200,"14:20:44",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,200,840000,"14:20:44",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,100,839800,"14:20:44",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,400,839700,"14:20:36",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,400,839300,"14:20:25",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,1000,838900,"14:20:14",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106700,100,837900,"14:19:56",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106600,200,837800,"14:19:56",105000,"bu",1600,1.5,"U","LeTable"
"hose:3847",106500,600,837600,"14:19:56",105000,"bu",1500,1.4,"U","LeTable"
"hose:3847",106700,1500,837000,"14:18:21",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",105900,200,835500,"14:18:09",105000,"unknown",900,0.9,"U","LeTable"
"hose:3847",106700,200,835300,"14:18:09",105000,"bu",1700,1.6,"U","LeTable"
"hose:3847",106000,600,835100,"14:18:09",105000,"bu",1000,1,"U","LeTable"
"hose:3847",106000,1500,834500,"14:18:08",105000,"bu",1000,1,"U","LeTable"
"hose:3847",106000,900,833000,"14:18:07",105000,"bu",1000,1,"U","LeTable"
"hose:3847",106000,100,832100,"14:17:58",105000,"bu",1000,1,"U","LeTable"
"hose:3847",105900,900,832000,"14:17:58",105000,"bu",900,0.9,"U","LeTable"
"hose:3847",105900,1300,831100,"14:17:55",105000,"bu",900,0.9,"U","LeTable"
"hose:3847",105800,200,829800,"14:17:55",105000,"bu",800,0.8,"U","LeTable"
"hose:3847",105900,1000,829600,"14:17:47",105000,"bu",900,0.9,"U","LeTable"
"hose:3847",104300,100,828600,"14:17:40",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104800,900,828500,"14:17:40",105000,"sd",-200,-0.2,"D","LeTable"
"hose:3847",105900,400,827600,"14:17:35",105000,"bu",900,0.9,"U","LeTable"
"hose:3847",105900,100,827200,"14:17:35",105000,"bu",900,0.9,"U","LeTable"
"hose:3847",105900,100,827100,"14:17:35",105000,"bu",900,0.9,"U","LeTable"
"hose:3847",105100,100,827000,"14:17:35",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105100,400,826900,"14:17:21",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",104800,300,826500,"14:17:21",105000,"bu",-200,-0.2,"D","LeTable"
"hose:3847",105100,200,826200,"14:17:16",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",104900,800,826000,"14:17:16",105000,"bu",-100,-0.1,"D","LeTable"
"hose:3847",104300,1000,825200,"14:17:06",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104900,700,824200,"14:17:02",105000,"bu",-100,-0.1,"D","LeTable"
"hose:3847",104800,200,823500,"14:16:35",105000,"bu",-200,-0.2,"D","LeTable"
"hose:3847",104300,300,823300,"14:15:43",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104300,600,823000,"14:15:07",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104300,200,822400,"14:15:04",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104300,500,822200,"14:14:41",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104400,500,821700,"14:14:41",105000,"sd",-600,-0.6,"D","LeTable"
"hose:3847",104300,1500,821200,"14:14:31",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104400,300,819700,"14:14:30",105000,"sd",-600,-0.6,"D","LeTable"
"hose:3847",104400,800,819400,"14:14:30",105000,"sd",-600,-0.6,"D","LeTable"
"hose:3847",104300,200,818600,"14:14:30",105000,"sd",-700,-0.7,"D","LeTable"
"hose:3847",104400,700,818400,"14:14:30",105000,"sd",-600,-0.6,"D","LeTable"
"hose:3847",104400,700,817700,"14:14:28",105000,"sd",-600,-0.6,"D","LeTable"
"hose:3847",104500,100,817000,"14:14:28",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",104400,500,816900,"14:14:18",105000,"sd",-600,-0.6,"D","LeTable"
"hose:3847",104500,100,816400,"14:14:18",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",104500,100,816300,"14:14:18",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",104500,100,816200,"14:14:18",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",104500,200,816100,"14:14:18",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",105000,3000,815900,"14:14:09",105000,"unknown",0,0,"R","LeTable"
"hose:3847",104500,200,812900,"14:14:05",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",104500,100,812700,"14:14:05",105000,"sd",-500,-0.5,"D","LeTable"
"hose:3847",105000,600,812600,"14:14:05",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,400,812000,"14:13:56",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,400,811600,"14:13:56",105000,"sd",0,0,"R","LeTable"
"hose:3847",105100,100,811200,"14:13:56",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105000,1500,811100,"14:13:49",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,1100,809600,"14:13:45",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,100,808500,"14:13:32",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,700,808400,"14:13:32",105000,"sd",0,0,"R","LeTable"
"hose:3847",105100,2200,807700,"14:13:30",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105100,800,805500,"14:13:30",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105000,800,804700,"14:13:20",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,100,803900,"14:13:20",105000,"sd",0,0,"R","LeTable"
"hose:3847",105000,100,803800,"14:13:20",105000,"sd",0,0,"R","LeTable"
"hose:3847",105100,100,803700,"14:12:53",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,600,803600,"14:12:53",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,2400,803000,"14:12:41",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,600,800600,"14:12:41",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,400,800000,"14:12:37",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105100,4600,799600,"14:12:29",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105100,400,795000,"14:12:29",105000,"bu",100,0.1,"U","LeTable"
"hose:3847",105000,1100,794600,"14:12:21",105000,"sd",0,0,"R","LeTable"
"hose:3847",105100,400,793500,"14:12:21",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,100,793100,"14:12:19",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,100,793000,"14:12:19",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,800,792900,"14:12:19",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,1200,792100,"14:12:10",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,300,790900,"14:12:10",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105100,700,790600,"14:12:07",105000,"sd",100,0.1,"U","LeTable"
"hose:3847",105200,200,789900,"14:12:07",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,1500,789700,"14:11:58",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,1000,788200,"14:11:57",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,200,787200,"14:11:52",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,100,787000,"14:11:52",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,100,786900,"14:11:52",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,200,786800,"14:11:52",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",105200,100,786600,"14:11:52",105000,"sd",200,0.2,"U","LeTable"
"hose:3847",106000,1900,786500,"14:11:46",105000,"bu",1000,1,"U","LeTable"
"hose:3847",106000,4100,784600,"14:11:46",105000,"bu",1000,1,"U","LeTable"
