"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:80461",4800,200,42600,"14:59:51",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,100,42400,"14:58:43",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,3000,42300,"14:57:38",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,500,39300,"13:43:20",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1100,38800,"13:43:11",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1400,37700,"13:39:00",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,800,36300,"13:35:24",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,600,35500,"13:31:51",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1400,34900,"13:31:41",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,500,33500,"13:29:56",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,700,33000,"13:29:43",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,400,32300,"13:28:23",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,800,31900,"13:28:10",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1300,31100,"13:25:21",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1600,29800,"13:21:23",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,500,28200,"13:17:49",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1700,27700,"13:17:35",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,5000,26000,"13:06:51",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1100,21000,"10:43:41",4800,"unknown",0,0,"R","LeTable"
"upcom:80461",4800,1200,19900,"10:38:17",4800,"sd",0,0,"R","LeTable"
"upcom:80461",4800,400,18700,"10:30:57",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,800,18300,"10:30:47",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,900,17500,"10:19:05",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1100,16600,"10:17:44",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,500,15500,"10:10:37",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1300,15000,"10:10:20",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,400,13700,"09:59:15",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,600,13300,"09:58:57",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1500,12700,"09:58:45",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1000,11200,"09:57:51",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,900,10200,"09:54:24",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,800,9300,"09:50:52",4800,"sd",0,0,"R","LeTable"
"upcom:80461",4800,400,8500,"09:50:38",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1100,8100,"09:50:24",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,700,7000,"09:50:16",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,100,6300,"09:49:56",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1000,6200,"09:31:59",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,700,5200,"09:31:44",4800,"sd",0,0,"R","LeTable"
"upcom:80461",4800,100,4500,"09:31:36",4800,"sd",0,0,"R","LeTable"
"upcom:80461",4800,1400,4400,"09:31:23",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,600,3000,"09:21:17",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1300,2400,"09:15:27",4800,"bu",0,0,"R","LeTable"
"upcom:80461",4800,1100,1100,"09:15:01",4800,"bu",0,0,"R","LeTable"
