"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1896",30000,2900,43500,"14:45:01",30000,"sd",0,0,"R","LeTable"
"hose:1896",30200,100,40600,"14:29:47",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30000,300,40500,"14:27:12",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,40200,"14:27:12",30000,"sd",0,0,"R","LeTable"
"hose:1896",30050,100,39700,"14:27:12",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30050,500,39600,"14:26:05",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30050,500,39100,"14:26:05",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30050,300,38600,"14:25:53",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30050,500,38300,"14:21:12",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30000,300,37800,"14:16:47",30000,"bu",0,0,"R","LeTable"
"hose:1896",30000,300,37500,"14:16:22",30000,"bu",0,0,"R","LeTable"
"hose:1896",30000,100,37200,"14:16:03",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,1500,37100,"14:16:03",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,1000,35600,"14:16:03",30000,"sd",0,0,"R","LeTable"
"hose:1896",30050,100,34600,"14:16:03",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30050,5000,34500,"14:16:03",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30050,1000,29500,"14:16:03",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30250,100,28500,"14:10:30",30000,"sd",250,0.8,"U","LeTable"
"hose:1896",30250,100,28400,"14:09:54",30000,"bu",250,0.8,"U","LeTable"
"hose:1896",30250,300,28300,"14:09:54",30000,"bu",250,0.8,"U","LeTable"
"hose:1896",30200,1000,28000,"14:06:57",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30200,500,27000,"14:03:29",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30200,100,26500,"14:03:29",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30200,1000,26400,"14:03:29",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30200,600,25400,"14:03:29",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30150,500,24800,"14:03:29",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30100,900,24300,"14:03:29",30000,"bu",100,0.3,"U","LeTable"
"hose:1896",30100,100,23400,"14:01:05",30000,"bu",100,0.3,"U","LeTable"
"hose:1896",30100,100,23300,"13:44:49",30000,"bu",100,0.3,"U","LeTable"
"hose:1896",30000,200,23200,"13:42:08",30000,"sd",0,0,"R","LeTable"
"hose:1896",30100,500,23000,"13:42:03",30000,"bu",100,0.3,"U","LeTable"
"hose:1896",30000,900,22500,"13:41:54",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,21600,"13:41:54",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,21100,"13:41:54",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,100,20600,"13:41:54",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,200,20500,"13:35:04",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,20300,"13:28:43",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,19800,"13:26:09",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,200,19300,"13:25:50",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,300,19100,"13:24:25",30000,"sd",0,0,"R","LeTable"
"hose:1896",30100,500,18800,"13:21:44",30000,"bu",100,0.3,"U","LeTable"
"hose:1896",30000,100,18300,"13:15:09",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,1000,18200,"13:15:07",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,17200,"13:07:00",30000,"sd",0,0,"R","LeTable"
"hose:1896",30050,100,16700,"13:07:00",30000,"sd",50,0.2,"U","LeTable"
"hose:1896",30000,500,16600,"11:01:50",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,100,16100,"10:49:19",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,500,16000,"10:46:58",30000,"bu",0,0,"R","LeTable"
"hose:1896",30000,800,15500,"10:46:58",30000,"bu",0,0,"R","LeTable"
"hose:1896",30000,200,14700,"10:42:20",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,800,14500,"10:41:27",30000,"sd",0,0,"R","LeTable"
"hose:1896",30000,200,13700,"10:41:27",30000,"sd",0,0,"R","LeTable"
"hose:1896",30200,400,13500,"10:16:13",30000,"sd",200,0.7,"U","LeTable"
"hose:1896",30200,100,13100,"10:15:34",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30200,1000,13000,"10:15:34",30000,"bu",200,0.7,"U","LeTable"
"hose:1896",30150,500,12000,"10:14:36",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,100,11500,"10:09:21",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,100,11400,"10:07:46",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,500,11300,"10:07:46",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,100,10800,"10:07:46",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,400,10700,"10:07:46",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30100,100,10300,"10:06:56",30000,"bu",100,0.3,"U","LeTable"
"hose:1896",30000,100,10200,"10:01:14",30000,"bu",0,0,"R","LeTable"
"hose:1896",29900,1800,10100,"09:46:10",30000,"sd",-100,-0.3,"D","LeTable"
"hose:1896",29900,200,8300,"09:46:10",30000,"sd",-100,-0.3,"D","LeTable"
"hose:1896",29900,2600,8100,"09:46:10",30000,"sd",-100,-0.3,"D","LeTable"
"hose:1896",29900,100,5500,"09:46:10",30000,"sd",-100,-0.3,"D","LeTable"
"hose:1896",29950,1800,5400,"09:46:09",30000,"bu",-50,-0.2,"D","LeTable"
"hose:1896",29950,200,3600,"09:46:00",30000,"sd",-50,-0.2,"D","LeTable"
"hose:1896",29950,500,3400,"09:46:00",30000,"sd",-50,-0.2,"D","LeTable"
"hose:1896",30150,100,2900,"09:38:38",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,500,2800,"09:38:11",30000,"sd",150,0.5,"U","LeTable"
"hose:1896",30150,100,2300,"09:37:08",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,100,2200,"09:37:08",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,500,2100,"09:37:08",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",30150,100,1600,"09:20:50",30000,"bu",150,0.5,"U","LeTable"
"hose:1896",29800,100,1500,"09:17:30",30000,"bu",-200,-0.7,"D","LeTable"
"hose:1896",29800,100,1400,"09:15:50",30000,"sd",-200,-0.7,"D","LeTable"
"hose:1896",30000,1300,1300,"09:15:01",30000,"unknown",0,0,"R","LeTable"
