"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3813",42550,206700,2051700,"14:45:00",42400,"unknown",150,0.4,"U","LeTable"
"hose:3813",42600,1000,1845000,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1844000,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1843500,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1843400,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1843300,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1843200,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,1000,1843000,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1842000,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,2000,1841800,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1839800,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1839700,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1839200,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1839100,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,2000,1839000,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1837000,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1836800,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1836300,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,300,1835800,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1835500,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1835400,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1835300,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1835200,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1835100,"14:29:52",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1835000,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1834800,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1834300,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1834200,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,1000,1834100,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1833100,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1832600,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,300,1832500,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1832200,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,800,1832100,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1831300,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1831100,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,4400,1831000,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1826600,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,200,1826400,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1826200,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1825700,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,100,1825600,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42600,500,1825500,"14:29:43",42400,"bu",200,0.5,"U","LeTable"
"hose:3813",42500,400,1825000,"14:29:42",42400,"sd",100,0.2,"U","LeTable"
"hose:3813",42550,600,1824600,"14:29:42",42400,"sd",150,0.4,"U","LeTable"
"hose:3813",42550,100,1824000,"14:29:38",42400,"sd",150,0.4,"U","LeTable"
"hose:3813",42550,500,1823900,"14:29:37",42400,"sd",150,0.4,"U","LeTable"
"hose:3813",42550,500,1823400,"14:29:36",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,6200,1822900,"14:29:36",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1000,1816700,"14:29:36",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1815700,"14:29:36",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1000,1815600,"14:29:36",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42500,6800,1814600,"14:29:30",42400,"bu",100,0.2,"U","LeTable"
"hose:3813",42450,100,1807800,"14:29:23",42400,"sd",50,0.1,"U","LeTable"
"hose:3813",42550,300,1807700,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1000,1807400,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,200,1806400,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1000,1806200,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1805200,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,200,1805100,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1804900,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1804800,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,200,1804700,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,800,1804500,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1803700,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,900,1803600,"14:29:22",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1802700,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1000,1802600,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1801600,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1801500,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,2000,1801400,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1799400,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,500,1799300,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1300,1798800,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1700,1797500,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,300,1795800,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1795500,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1795400,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1795300,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1795200,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,500,1795100,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1794600,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,300,1794500,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,1000,1794200,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,300,1793200,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
"hose:3813",42550,100,1792900,"14:29:00",42400,"bu",150,0.4,"U","LeTable"
