"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3821",13000,100,30500,"14:17:44",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,900,30400,"14:12:30",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,400,29500,"14:06:18",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,4200,29100,"13:55:52",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,200,24900,"13:47:54",12800,"sd",200,1.6,"U","LeTable"
"hose:3821",13000,600,24700,"13:47:54",12800,"sd",200,1.6,"U","LeTable"
"hose:3821",13000,900,24100,"13:38:57",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,23200,"13:38:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,1600,23100,"13:38:27",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13200,200,21500,"13:38:03",12800,"bu",400,3.1,"U","LeTable"
"hose:3821",13200,3800,21300,"13:38:03",12800,"bu",400,3.1,"U","LeTable"
"hose:3821",13200,500,17500,"13:38:03",12800,"bu",400,3.1,"U","LeTable"
"hose:3821",13200,100,17000,"13:38:03",12800,"bu",400,3.1,"U","LeTable"
"hose:3821",13200,100,16900,"13:38:03",12800,"bu",400,3.1,"U","LeTable"
"hose:3821",13100,1300,16800,"13:38:03",12800,"bu",300,2.3,"U","LeTable"
"hose:3821",13000,100,15500,"13:37:37",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,15400,"13:36:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,200,15300,"13:36:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,1900,15100,"13:36:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,13200,"13:30:15",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,300,13100,"11:23:50",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,2700,12800,"11:18:06",12800,"sd",200,1.6,"U","LeTable"
"hose:3821",13000,100,10100,"11:12:53",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,200,10000,"11:12:53",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,5000,9800,"11:12:53",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,4800,"11:12:53",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,1700,4700,"11:12:53",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,200,3000,"11:12:53",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,2800,"10:10:59",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,2700,"10:10:59",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,900,2600,"09:52:29",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,1700,"09:49:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,700,1600,"09:49:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",13000,100,900,"09:49:48",12800,"bu",200,1.6,"U","LeTable"
"hose:3821",12900,100,800,"09:46:05",12800,"sd",100,0.8,"U","LeTable"
"hose:3821",12900,100,700,"09:45:53",12800,"sd",100,0.8,"U","LeTable"
"hose:3821",12900,100,600,"09:45:38",12800,"sd",100,0.8,"U","LeTable"
"hose:3821",12900,200,500,"09:42:08",12800,"sd",100,0.8,"U","LeTable"
"hose:3821",12900,100,300,"09:41:49",12800,"sd",100,0.8,"U","LeTable"
"hose:3821",12900,200,200,"09:25:35",12800,"bu",100,0.8,"U","LeTable"
