"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:73539",600,100,545800,"14:44:32",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,600,545700,"14:32:51",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,39500,545100,"14:28:39",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,6000,505600,"14:21:14",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,3200,499600,"14:12:04",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,1000,496400,"14:10:44",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,100,495400,"14:06:04",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,100,495300,"14:02:13",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,100,495200,"13:55:14",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,2000,495100,"13:45:06",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,300,493100,"13:38:52",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,1000,492800,"13:38:42",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,1200,491800,"13:33:20",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,300,490600,"13:16:12",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,2700,490300,"13:11:16",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,600,487600,"13:10:20",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,4500,487000,"13:05:20",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,2100,482500,"13:00:08",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,800,480400,"13:00:02",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,100,479600,"11:26:49",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,4000,479500,"11:25:38",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,100,475500,"11:23:19",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,100,475400,"11:11:53",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,100,475300,"11:10:27",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,4000,475200,"11:03:07",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,100,471200,"10:44:42",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,20000,471100,"10:43:58",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,9000,451100,"10:43:05",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,100,442100,"10:40:30",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,100000,442000,"10:34:14",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,100,342000,"10:27:31",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,3000,341900,"10:26:36",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,600,338900,"10:04:59",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,2000,338300,"10:03:56",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,100,336300,"10:02:30",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,200,336200,"09:55:20",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,100,336000,"09:54:18",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,1000,335900,"09:52:30",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,1700,334900,"09:51:40",500,"sd",0,0,"R","LeTable"
"upcom:73539",500,500,333200,"09:50:58",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,1800,332700,"09:48:11",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,5000,330900,"09:47:52",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,1000,325900,"09:47:42",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,10000,324900,"09:47:22",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,100,314900,"09:39:28",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,300,314800,"09:37:17",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,5000,314500,"09:37:05",500,"sd",0,0,"R","LeTable"
"upcom:73539",600,2000,309500,"09:34:03",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,2000,307500,"09:21:56",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,2000,305500,"09:21:47",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,2000,303500,"09:20:28",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,2000,301500,"09:20:05",500,"bu",100,20,"C","LeTable"
"upcom:73539",600,100,299500,"09:18:43",500,"bu",100,20,"C","LeTable"
"upcom:73539",500,1800,299400,"09:18:31",500,"bu",0,0,"R","LeTable"
"upcom:73539",500,10000,297600,"09:17:59",500,"bu",0,0,"R","LeTable"
"upcom:73539",500,600,287600,"09:17:40",500,"bu",0,0,"R","LeTable"
