"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"upcom:79521",1300,100,131000,"14:57:59",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,4300,130900,"14:57:00",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2700,126600,"14:56:00",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2300,123900,"14:55:38",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1200,300,121600,"14:55:30",1400,"sd",-200,-14.3,"F","LeTable"
"upcom:79521",1300,2000,121300,"14:53:54",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,700,119300,"14:52:32",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1400,1000,118600,"14:51:35",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1300,200,117600,"14:50:02",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,200,117400,"14:38:41",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,700,117200,"14:36:46",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,4300,116500,"14:36:12",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,1700,112200,"14:34:35",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,110500,"14:30:12",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,300,110400,"14:26:18",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2900,110100,"14:25:03",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,32100,107200,"14:22:16",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,500,75100,"14:08:49",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2400,74600,"14:07:48",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2100,72200,"14:06:42",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2900,70100,"14:05:40",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2100,67200,"14:03:17",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1400,100,65100,"13:51:48",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1300,7900,65000,"13:44:26",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2700,57100,"13:43:07",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1300,600,54400,"13:34:57",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,53800,"13:34:17",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,1900,53700,"13:33:41",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1400,100,51800,"13:22:40",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1300,4700,51700,"13:21:43",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,6300,47000,"13:19:45",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2000,40700,"13:18:04",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2000,38700,"13:17:13",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,600,36700,"13:15:00",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,5000,36100,"13:14:35",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1400,1000,31100,"13:12:10",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,2000,30100,"13:11:32",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,100,28100,"13:02:24",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1300,900,28000,"13:00:02",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1300,2000,27100,"11:21:31",1400,"unknown",-100,-7.1,"D","LeTable"
"upcom:79521",1300,4600,25100,"11:16:36",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1300,5000,20500,"11:12:49",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1300,1200,15500,"10:59:16",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,14300,"10:59:02",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,700,14200,"10:58:29",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,13500,"10:57:32",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,1000,13400,"10:57:16",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,400,12400,"10:57:02",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,12000,"10:56:43",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,11900,"10:55:47",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,100,11800,"10:55:13",1400,"bu",-100,-7.1,"D","LeTable"
"upcom:79521",1300,6200,11700,"10:54:32",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1300,1000,5500,"10:54:24",1400,"sd",-100,-7.1,"D","LeTable"
"upcom:79521",1400,200,4500,"10:10:38",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,200,4300,"09:42:04",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,1000,4100,"09:26:58",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,500,3100,"09:25:19",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,300,2600,"09:18:15",1400,"bu",0,0,"R","LeTable"
"upcom:79521",1400,2300,2300,"09:13:08",1400,"bu",0,0,"R","LeTable"
