"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1145",25150,9200,187100,"14:45:02",24600,"unknown",550,2.2,"U","LeTable"
"hose:1145",25150,300,177900,"14:29:13",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25150,700,177600,"14:29:13",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25150,500,176900,"14:29:01",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25200,1000,176400,"14:27:28",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,1700,175400,"14:27:00",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,500,173700,"14:27:00",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,500,173200,"14:27:00",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,1300,172700,"14:27:00",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25150,100,171400,"14:26:49",24600,"sd",550,2.2,"U","LeTable"
"hose:1145",25150,200,171300,"14:26:47",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25150,100,171100,"14:26:47",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25150,100,171000,"14:26:47",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25150,100,170900,"14:25:27",24600,"bu",550,2.2,"U","LeTable"
"hose:1145",25050,300,170800,"14:25:20",24600,"bu",450,1.8,"U","LeTable"
"hose:1145",25050,1200,170500,"14:25:20",24600,"bu",450,1.8,"U","LeTable"
"hose:1145",25050,100,169300,"14:25:15",24600,"bu",450,1.8,"U","LeTable"
"hose:1145",25050,200,169200,"14:24:58",24600,"unknown",450,1.8,"U","LeTable"
"hose:1145",25050,1000,169000,"14:24:58",24600,"sd",450,1.8,"U","LeTable"
"hose:1145",25050,300,168000,"14:24:58",24600,"sd",450,1.8,"U","LeTable"
"hose:1145",25050,200,167700,"14:24:58",24600,"sd",450,1.8,"U","LeTable"
"hose:1145",25050,100,167500,"14:24:34",24600,"sd",450,1.8,"U","LeTable"
"hose:1145",25200,500,167400,"14:23:21",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,100,166900,"14:22:21",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,500,166800,"14:21:55",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,100,166300,"14:21:36",24600,"sd",600,2.4,"U","LeTable"
"hose:1145",25200,2500,166200,"14:21:36",24600,"sd",600,2.4,"U","LeTable"
"hose:1145",25200,1000,163700,"14:21:27",24600,"sd",600,2.4,"U","LeTable"
"hose:1145",25200,100,162700,"14:20:34",24600,"sd",600,2.4,"U","LeTable"
"hose:1145",25200,400,162600,"14:20:03",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,200,162200,"14:20:03",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,3800,162000,"14:20:03",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25050,700,158200,"14:19:52",24600,"sd",450,1.8,"U","LeTable"
"hose:1145",25050,300,157500,"14:19:52",24600,"sd",450,1.8,"U","LeTable"
"hose:1145",25200,1200,157200,"14:19:20",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,1000,156000,"14:19:20",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,500,155000,"14:19:20",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,800,154500,"14:19:20",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,1000,153700,"14:19:20",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25200,500,152700,"14:19:20",24600,"bu",600,2.4,"U","LeTable"
"hose:1145",25100,200,152200,"14:19:07",24600,"bu",500,2,"U","LeTable"
"hose:1145",25050,400,152000,"14:17:56",24600,"bu",450,1.8,"U","LeTable"
"hose:1145",25050,200,151600,"14:16:47",24600,"bu",450,1.8,"U","LeTable"
"hose:1145",25050,100,151400,"14:16:47",24600,"bu",450,1.8,"U","LeTable"
"hose:1145",25000,200,151300,"14:16:29",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,400,151100,"14:16:29",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,300,150700,"14:16:29",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,500,150400,"14:16:29",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,1200,149900,"14:16:29",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",24950,700,148700,"14:16:29",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,1000,148000,"14:16:29",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,1500,147000,"14:16:29",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,200,145500,"14:16:08",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,500,145300,"14:15:54",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24900,200,144800,"14:14:52",24600,"bu",300,1.2,"U","LeTable"
"hose:1145",24950,100,144600,"14:11:53",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24800,100,144500,"14:11:27",24600,"sd",200,0.8,"U","LeTable"
"hose:1145",24950,900,144400,"14:10:50",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24900,100,143500,"14:10:50",24600,"bu",300,1.2,"U","LeTable"
"hose:1145",24950,500,143400,"14:10:00",24600,"sd",350,1.4,"U","LeTable"
"hose:1145",24950,1800,142900,"14:10:00",24600,"sd",350,1.4,"U","LeTable"
"hose:1145",25000,1800,141100,"14:08:28",24600,"sd",400,1.6,"U","LeTable"
"hose:1145",25000,200,139300,"14:08:28",24600,"sd",400,1.6,"U","LeTable"
"hose:1145",25000,100,139100,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,1000,139000,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,1000,138000,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,200,137000,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,400,136800,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,100,136400,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,3200,136300,"14:08:00",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,1800,133100,"14:07:57",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,200,131300,"14:07:57",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,100,131100,"14:07:57",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",25000,100,131000,"14:07:37",24600,"bu",400,1.6,"U","LeTable"
"hose:1145",24950,200,130900,"14:06:42",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,5000,130700,"14:06:42",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,100,125700,"14:05:12",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,200,125600,"14:05:12",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,200,125400,"14:05:12",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,100,125200,"14:05:12",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24950,1400,125100,"14:05:12",24600,"bu",350,1.4,"U","LeTable"
"hose:1145",24900,100,123700,"14:05:10",24600,"bu",300,1.2,"U","LeTable"
"hose:1145",24900,2000,123600,"14:05:10",24600,"bu",300,1.2,"U","LeTable"
"hose:1145",24900,800,121600,"14:05:10",24600,"bu",300,1.2,"U","LeTable"
"hose:1145",24800,500,120800,"14:05:09",24600,"bu",200,0.8,"U","LeTable"
