"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:3483",41300,47100,560800,"14:45:01",41200,"unknown",100,0.2,"U","LeTable"
"hose:3483",41250,600,513700,"14:29:43",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41200,400,513100,"14:29:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41250,4800,512700,"14:29:05",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41200,200,507900,"14:29:05",41200,"bu",0,0,"R","LeTable"
"hose:3483",41250,5000,507700,"14:28:49",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,3000,502700,"14:28:15",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,6100,499700,"14:28:07",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,1500,493600,"14:28:07",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,100,492100,"14:28:07",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,200,492000,"14:28:07",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,100,491800,"14:28:07",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41250,2000,491700,"14:28:07",41200,"bu",50,0.1,"U","LeTable"
"hose:3483",41200,400,489700,"14:28:02",41200,"sd",0,0,"R","LeTable"
"hose:3483",41200,100,489300,"14:27:55",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,100,489200,"14:27:55",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,6400,489100,"14:27:55",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,3000,482700,"14:27:37",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,2000,479700,"14:27:00",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,30000,477700,"14:26:50",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,8600,447700,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,500,439100,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,1700,438600,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,500,436900,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,500,436400,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,2000,435900,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,500,433900,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,100,433400,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,2500,433300,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,200,430800,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,200,430600,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,200,430400,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41200,100,430200,"14:26:43",41200,"bu",0,0,"R","LeTable"
"hose:3483",41150,500,430100,"14:26:43",41200,"unknown",-50,-0.1,"D","LeTable"
"hose:3483",41150,500,429600,"14:26:43",41200,"unknown",-50,-0.1,"D","LeTable"
"hose:3483",41150,100,429100,"14:26:43",41200,"unknown",-50,-0.1,"D","LeTable"
"hose:3483",41150,500,429000,"14:26:43",41200,"unknown",-50,-0.1,"D","LeTable"
"hose:3483",41150,700,428500,"14:26:43",41200,"bu",-50,-0.1,"D","LeTable"
"hose:3483",41100,100,427800,"14:26:43",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,2000,427700,"14:26:43",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,4000,425700,"14:26:43",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,4000,421700,"14:26:43",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",40800,100,417700,"14:26:32",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,900,417600,"14:26:32",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",41100,1000,416700,"14:25:13",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,3000,415700,"14:24:59",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,3000,412700,"14:24:31",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,2000,409700,"14:23:12",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,2700,407700,"14:23:03",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41050,300,405000,"14:23:03",41200,"unknown",-150,-0.4,"D","LeTable"
"hose:3483",41100,4000,404700,"14:22:24",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,2000,400700,"14:22:17",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,5000,398700,"14:22:08",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",40800,1100,393700,"14:21:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,200,392600,"14:21:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,500,392400,"14:21:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,200,391900,"14:21:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,100,391700,"14:21:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,800,391600,"14:21:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40850,100,390800,"14:21:47",41200,"sd",-350,-0.8,"D","LeTable"
"hose:3483",41100,23300,390700,"14:21:06",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,3300,367400,"14:21:06",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,400,364100,"14:21:05",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,300,363700,"14:21:05",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,2000,363400,"14:21:05",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41100,700,361400,"14:21:05",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",40800,4200,360700,"14:19:13",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,800,356500,"14:19:13",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",41100,100,355700,"14:19:01",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",40800,4200,355600,"14:18:48",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,100,351400,"14:18:48",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,200,351300,"14:18:48",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,400,351100,"14:18:48",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,100,350700,"14:18:47",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",41100,100,350600,"14:14:54",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41050,200,350500,"14:14:54",41200,"bu",-150,-0.4,"D","LeTable"
"hose:3483",41000,400,350300,"14:14:54",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,100,349900,"14:14:41",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,100,349800,"14:12:20",41200,"sd",-200,-0.5,"D","LeTable"
"hose:3483",41000,700,349700,"14:10:04",41200,"sd",-200,-0.5,"D","LeTable"
"hose:3483",41100,500,349000,"14:08:45",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41000,300,348500,"14:08:43",41200,"sd",-200,-0.5,"D","LeTable"
"hose:3483",41100,1000,348200,"14:08:35",41200,"bu",-100,-0.2,"D","LeTable"
"hose:3483",41000,2000,347200,"14:07:45",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,3000,345200,"14:07:29",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,1000,342200,"14:07:17",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,2000,341200,"14:07:03",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,3000,339200,"14:06:28",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,5000,336200,"14:05:45",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,3000,331200,"14:05:00",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,1000,328200,"14:04:51",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,1000,327200,"14:04:51",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,2000,326200,"14:04:45",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,2000,324200,"14:04:07",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",41000,5000,322200,"14:03:39",41200,"bu",-200,-0.5,"D","LeTable"
"hose:3483",40950,100,317200,"14:03:17",41200,"bu",-250,-0.6,"D","LeTable"
"hose:3483",40950,1900,317100,"14:03:17",41200,"bu",-250,-0.6,"D","LeTable"
"hose:3483",40950,1000,315200,"14:02:13",41200,"bu",-250,-0.6,"D","LeTable"
"hose:3483",40800,700,314200,"14:02:00",41200,"bu",-400,-1,"D","LeTable"
"hose:3483",40800,800,313500,"14:01:37",41200,"bu",-400,-1,"D","LeTable"
"hose:3483",40800,500,312700,"14:00:53",41200,"bu",-400,-1,"D","LeTable"
"hose:3483",40800,100,312200,"14:00:11",41200,"bu",-400,-1,"D","LeTable"
"hose:3483",40800,400,312100,"13:59:33",41200,"bu",-400,-1,"D","LeTable"
"hose:3483",40800,1000,311700,"13:59:28",41200,"bu",-400,-1,"D","LeTable"
"hose:3483",40800,2000,310700,"13:59:03",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,200,308700,"13:59:03",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40800,100,308500,"13:59:03",41200,"sd",-400,-1,"D","LeTable"
"hose:3483",40850,100,308400,"13:59:03",41200,"sd",-350,-0.8,"D","LeTable"
