"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:2908",28200,989400,19614700,"14:45:01",27500,"unknown",700,2.5,"U","LeTable"
"hose:2908",28200,1700,18625300,"14:29:55",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,200,18623600,"14:29:50",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,2000,18623400,"14:29:46",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,2000,18621400,"14:29:46",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,5100,18619400,"14:29:42",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28200,2000,18614300,"14:29:42",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,1000,18612300,"14:29:36",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28200,7000,18611300,"14:29:36",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,3000,18604300,"14:29:36",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,2000,18601300,"14:29:30",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,500,18599300,"14:29:30",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,300,18598800,"14:29:24",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,500,18598500,"14:29:24",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28200,1200,18598000,"14:29:24",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,2400,18596800,"14:29:23",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,600,18594400,"14:29:23",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28200,300,18593800,"14:29:22",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,200,18593500,"14:29:16",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28200,500,18593300,"14:29:10",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,1000,18592800,"14:29:04",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18591800,"14:29:00",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1800,18591600,"14:29:00",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18589800,"14:28:59",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,100,18589600,"14:28:59",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1700,18589500,"14:28:59",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,300,18587800,"14:28:57",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18587500,"14:28:57",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18587000,"14:28:57",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18586800,"14:28:57",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18586600,"14:28:57",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,700,18585600,"14:28:57",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18584900,"14:28:53",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18584700,"14:28:52",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,700,18584500,"14:28:44",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18583800,"14:28:40",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18583600,"14:28:39",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18583100,"14:28:38",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18582100,"14:28:34",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18581600,"14:28:31",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,900,18580600,"14:28:31",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,2600,18579700,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18577100,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1500,18576100,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,5000,18574600,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,5000,18569600,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18564600,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18563600,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,6500,18562600,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18556100,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,100,18555600,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18555500,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18554500,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18554300,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,100,18553800,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18553700,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,10000,18552700,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,400,18542700,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,2500,18542300,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,8500,18539800,"14:28:29",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28200,200,18531300,"14:28:26",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,1000,18531100,"14:28:15",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18530100,"14:28:08",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18529600,"14:28:08",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,500,18528600,"14:28:08",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,100,18528100,"14:27:59",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,800,18528000,"14:27:59",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18527200,"14:27:59",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28200,500,18527000,"14:27:56",27500,"bu",700,2.5,"U","LeTable"
"hose:2908",28150,2600,18526500,"14:27:54",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18523900,"14:27:53",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,200,18522900,"14:27:52",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18522700,"14:27:49",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,1000,18521700,"14:27:47",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,3100,18520700,"14:27:46",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,100,18517600,"14:27:37",27500,"sd",650,2.4,"U","LeTable"
"hose:2908",28150,100,18517500,"14:27:37",27500,"sd",650,2.4,"U","LeTable"
