"stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType","__typename"
"hose:1892",12000,49600,663700,"14:45:01",11850,"unknown",150,1.3,"U","LeTable"
"hose:1892",11950,500,614100,"14:29:24",11850,"bu",100,0.8,"U","LeTable"
"hose:1892",11950,5000,613600,"14:29:24",11850,"bu",100,0.8,"U","LeTable"
"hose:1892",11950,2000,608600,"14:29:24",11850,"bu",100,0.8,"U","LeTable"
"hose:1892",11950,200,606600,"14:29:24",11850,"bu",100,0.8,"U","LeTable"
"hose:1892",11950,300,606400,"14:29:24",11850,"bu",100,0.8,"U","LeTable"
"hose:1892",11950,2000,606100,"14:29:24",11850,"bu",100,0.8,"U","LeTable"
"hose:1892",11900,1000,604100,"14:29:08",11850,"sd",50,0.4,"U","LeTable"
"hose:1892",11900,1500,603100,"14:28:43",11850,"sd",50,0.4,"U","LeTable"
"hose:1892",11900,3500,601600,"14:28:43",11850,"sd",50,0.4,"U","LeTable"
"hose:1892",11900,1000,598100,"14:27:41",11850,"sd",50,0.4,"U","LeTable"
"hose:1892",11900,5500,597100,"14:27:27",11850,"sd",50,0.4,"U","LeTable"
"hose:1892",11900,500,591600,"14:27:27",11850,"sd",50,0.4,"U","LeTable"
"hose:1892",11900,500,591100,"14:26:45",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,1100,590600,"14:26:32",11850,"unknown",50,0.4,"U","LeTable"
"hose:1892",11900,100,589500,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,400,589400,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,400,589000,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,500,588600,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,1000,588100,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,100,587100,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,1400,587000,"14:26:32",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11850,200,585600,"14:26:13",11850,"sd",0,0,"R","LeTable"
"hose:1892",11850,300,585400,"14:26:13",11850,"sd",0,0,"R","LeTable"
"hose:1892",11850,9700,585100,"14:25:35",11850,"sd",0,0,"R","LeTable"
"hose:1892",11850,300,575400,"14:25:35",11850,"sd",0,0,"R","LeTable"
"hose:1892",11850,1000,575100,"14:21:19",11850,"sd",0,0,"R","LeTable"
"hose:1892",11900,1000,574100,"14:20:08",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,2200,573100,"14:20:05",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,400,570900,"14:19:43",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,100,570500,"14:19:43",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,300,570400,"14:19:43",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,100,570100,"14:19:43",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,500,570000,"14:19:42",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,2000,569500,"14:19:42",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,1000,567500,"14:19:42",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,500,566500,"14:19:42",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,100,566000,"14:19:42",11850,"bu",50,0.4,"U","LeTable"
"hose:1892",11900,300,565900,"14:19:42",11850,"bu",50,0.4,"U","LeTable"
