"price","change","match_qtty","side","time","total_vol"
10.9,0,100,"","14:45:37",13600
10.7,-0.2,100,"","14:23:17",13500
10.7,-0.2,100,"sd","14:21:40",13400
10.7,-0.2,700,"","14:20:02",13300
10.7,-0.2,3500,"","14:16:21",12600
10.8,-0.1,100,"","14:08:44",9100
10.8,-0.1,1000,"sd","13:54:36",9000
10.8,-0.1,2000,"sd","13:43:36",8000
10.8,-0.1,2100,"sd","11:21:00",6000
10.9,0,1900,"sd","11:18:49",3900
10.8,-0.1,2000,"","09:41:59",2000
10.3,0.2,4000,"sd","10:15:36",9500
10.5,0.4,500,"","10:01:10",5500
10.6,0.5,1400,"sd","09:24:51",5000
10.6,0.5,2000,"sd","09:23:03",3600
10.6,0.5,100,"sd","09:22:37",1600
10.6,0.5,1500,"bu","09:21:55",1500
