"price","change","match_qtty","side","time","total_vol"
11.85,-0.25,12300,"","14:45:13",36500
11.85,-0.25,2000,"bu","14:27:20",24200
11.8,-0.3,2000,"sd","14:25:57",22200
11.8,-0.3,500,"sd","14:21:59",20200
11.75,-0.35,200,"sd","14:15:22",19700
11.75,-0.35,200,"sd","14:09:05",19500
11.75,-0.35,300,"bu","14:06:12",19300
11.75,-0.35,400,"sd","14:05:08",19000
11.7,-0.4,800,"sd","13:55:55",18600
11.7,-0.4,1100,"bu","13:52:42",17800
11.7,-0.4,3100,"sd","13:52:01",16700
11.7,-0.4,100,"sd","13:46:11",13600
11.7,-0.4,1000,"sd","13:42:18",13500
11.7,-0.4,100,"sd","13:34:29",12500
11.9,-0.2,200,"bu","13:15:29",12400
11.8,-0.3,400,"sd","13:08:41",12200
11.8,-0.3,3200,"bu","13:08:32",11800
11.8,-0.3,3000,"sd","13:03:07",8600
11.9,-0.2,200,"sd","13:00:14",5600
11.9,-0.2,2200,"sd","13:00:12",5400
11.95,-0.15,1200,"bu","13:00:12",3200
11.95,-0.15,100,"bu","10:56:28",2000
11.95,-0.15,200,"sd","10:27:48",1900
12,-0.1,500,"bu","10:20:52",1700
12,-0.1,1000,"bu","10:11:18",1200
12,-0.1,200,"","09:15:02",200
