"price","change","match_qtty","side","time","total_vol"
23.1,-0.45,653800,"","14:45:14",13081400
23.25,-0.3,500,"bu","14:29:53",12427600
23.2,-0.35,600,"sd","14:29:53",12427100
23.25,-0.3,3900,"sd","14:29:52",12426500
23.25,-0.3,2000,"sd","14:29:50",12422600
23.3,-0.25,5000,"bu","14:29:48",12420600
23.25,-0.3,500,"sd","14:29:46",12415600
23.25,-0.3,400,"sd","14:29:45",12415100
23.3,-0.25,400,"bu","14:29:44",12414700
23.3,-0.25,2000,"bu","14:29:35",12414300
23.2,-0.35,10100,"sd","14:29:34",12412300
23.25,-0.3,14900,"sd","14:29:34",12402200
23.25,-0.3,2000,"sd","14:29:33",12387300
23.25,-0.3,200,"sd","14:29:33",12385300
23.3,-0.25,10000,"bu","14:29:25",12385100
23.25,-0.3,3300,"bu","14:29:24",12375100
23.2,-0.35,3000,"sd","14:29:21",12371800
23.25,-0.3,1100,"bu","14:29:20",12368800
23.2,-0.35,1000,"sd","14:29:17",12367700
23.25,-0.3,300,"sd","14:29:16",12366700
23.3,-0.25,500,"bu","14:29:16",12366400
23.2,-0.35,6300,"sd","14:29:15",12365900
23.25,-0.3,21300,"sd","14:29:15",12359600
23.3,-0.25,2500,"bu","14:29:13",12338300
23.3,-0.25,500,"bu","14:29:09",12335800
23.3,-0.25,500,"bu","14:29:08",12335300
23.3,-0.25,1000,"bu","14:29:06",12334800
23.25,-0.3,500,"sd","14:29:06",12333800
23.3,-0.25,1000,"bu","14:29:00",12333300
23.3,-0.25,1000,"bu","14:28:59",12332300
23.3,-0.25,300,"bu","14:28:59",12331300
23.3,-0.25,25400,"sd","14:28:58",12331000
23.35,-0.2,500,"sd","14:28:58",12305600
23.35,-0.2,800,"sd","14:28:58",12305100
23.35,-0.2,1000,"sd","14:28:53",12304300
23.35,-0.2,200,"sd","14:28:52",12303300
23.3,-0.25,1800,"sd","14:28:50",12303100
23.3,-0.25,1000,"sd","14:28:46",12301300
23.3,-0.25,2500,"sd","14:28:45",12300300
23.3,-0.25,1000,"sd","14:28:44",12297800
23.3,-0.25,5500,"sd","14:28:38",12296800
23.35,-0.2,5000,"sd","14:28:38",12291300
23.35,-0.2,700,"sd","14:28:36",12286300
23.35,-0.2,500,"sd","14:28:29",12285600
23.35,-0.2,8900,"sd","14:28:25",12285100
23.35,-0.2,200,"sd","14:28:23",12276200
23.4,-0.15,10200,"sd","14:28:18",12276000
23.45,-0.1,6700,"sd","14:28:15",12265800
23.45,-0.1,3500,"sd","14:28:11",12259100
23.5,-0.05,1000,"bu","14:28:08",12255600
23.45,-0.1,5000,"sd","14:28:06",12254600
23.5,-0.05,500,"bu","14:28:05",12249600
23.5,-0.05,300,"bu","14:28:04",12249100
23.45,-0.1,1800,"sd","14:28:04",12248800
23.5,-0.05,3600,"sd","14:28:04",12247000
23.5,-0.05,300,"sd","14:28:02",12243400
23.5,-0.05,1000,"sd","14:28:00",12243100
23.5,-0.05,3000,"sd","14:27:57",12242100
23.5,-0.05,2000,"sd","14:27:56",12239100
23.55,0,300,"bu","14:27:54",12237100
23.5,-0.05,2000,"sd","14:27:52",12234800
23.5,-0.05,300,"sd","14:27:50",12232800
23.5,-0.05,600,"sd","14:27:49",12232500
23.55,0,200,"bu","14:27:49",12231900
23.5,-0.05,100,"sd","14:27:49",12231700
23.55,0,1000,"bu","14:27:45",12231600
23.55,0,20000,"bu","14:27:42",12230600
23.55,0,1500,"sd","14:27:40",12210600
23.55,0,1000,"sd","14:27:39",12209100
23.55,0,12000,"sd","14:27:38",12208100
23.55,0,2500,"sd","14:27:37",12196100
23.55,0,5000,"sd","14:27:36",12193600
23.55,0,1000,"sd","14:27:36",12188600
23.55,0,500,"sd","14:27:31",12187600
23.6,0.05,100,"bu","14:27:28",12187100
