"price","change","match_qtty","side","time","total_vol"
5.74,0.23,49500,"","14:45:13",1833900
5.71,0.2,3900,"bu","14:29:43",1784400
5.71,0.2,1500,"sd","14:29:06",1780500
5.71,0.2,800,"bu","14:28:55",1779000
5.71,0.2,800,"bu","14:28:49",1778200
5.71,0.2,1000,"bu","14:28:35",1777400
5.71,0.2,2000,"bu","14:28:19",1776400
5.71,0.2,1000,"bu","14:27:38",1774400
5.71,0.2,100,"bu","14:27:32",1773400
5.71,0.2,1000,"bu","14:27:26",1773300
5.71,0.2,7000,"bu","14:27:25",1772300
5.71,0.2,500,"bu","14:26:49",1765300
5.71,0.2,1300,"bu","14:25:45",1764800
5.71,0.2,5000,"bu","14:25:40",1763500
5.71,0.2,2000,"bu","14:25:30",1758500
5.71,0.2,300,"bu","14:25:00",1756500
5.71,0.2,5000,"bu","14:24:39",1756200
5.71,0.2,2100,"sd","14:23:40",1751200
5.71,0.2,2900,"bu","14:23:33",1749100
5.71,0.2,10000,"bu","14:23:29",1746200
5.71,0.2,300,"bu","14:23:05",1736200
5.71,0.2,500,"bu","14:19:00",1735900
5.71,0.2,1800,"bu","14:18:38",1735400
5.71,0.2,100,"bu","14:18:27",1733600
5.71,0.2,10200,"sd","14:18:21",1733500
5.71,0.2,1100,"bu","14:17:47",1723300
5.71,0.2,1200,"bu","14:17:27",1722200
5.71,0.2,6700,"bu","14:16:54",1721000
5.71,0.2,1000,"bu","14:16:44",1714300
5.71,0.2,1000,"sd","14:16:37",1713300
5.71,0.2,3300,"bu","14:15:24",1712300
5.71,0.2,2500,"bu","14:15:18",1709000
5.71,0.2,1000,"bu","14:14:56",1706500
5.71,0.2,2500,"bu","14:14:15",1705500
5.71,0.2,300,"bu","14:13:28",1703000
5.71,0.2,1400,"sd","14:13:27",1702700
5.71,0.2,8600,"bu","14:13:13",1701300
5.71,0.2,100,"bu","14:11:10",1692700
5.71,0.2,3500,"sd","14:08:47",1692600
5.76,0.25,100,"bu","14:05:35",1689100
5.75,0.24,200,"bu","14:05:35",1689000
5.75,0.24,300,"bu","14:04:16",1688800
5.74,0.23,1400,"bu","14:04:16",1688500
5.73,0.22,300,"bu","14:04:16",1687100
5.7,0.19,3200,"sd","14:02:52",1686800
5.7,0.19,1000,"sd","14:01:15",1683600
5.71,0.2,5000,"bu","13:57:27",1682600
5.71,0.2,200,"bu","13:54:59",1677600
5.71,0.2,800,"bu","13:54:41",1677400
5.71,0.2,200,"bu","13:54:28",1676600
5.71,0.2,100,"bu","13:54:08",1676400
5.71,0.2,200,"bu","13:53:35",1676300
5.71,0.2,6400,"sd","13:53:31",1676100
5.71,0.2,3600,"bu","13:53:03",1669700
5.71,0.2,3300,"bu","13:52:52",1666100
5.71,0.2,3400,"bu","13:52:29",1662800
5.71,0.2,2200,"sd","13:51:50",1659400
5.73,0.22,100,"bu","13:51:34",1657200
5.72,0.21,200,"bu","13:51:34",1657100
5.7,0.19,10000,"sd","13:51:26",1656900
5.71,0.2,2100,"bu","13:51:10",1646900
5.71,0.2,1000,"bu","13:50:42",1644800
5.71,0.2,2000,"bu","13:50:16",1643800
5.71,0.2,1000,"bu","13:50:11",1641800
5.71,0.2,200,"bu","13:49:54",1640800
5.71,0.2,100,"bu","13:49:29",1640600
5.71,0.2,2600,"bu","13:49:24",1640500
5.71,0.2,10000,"bu","13:49:21",1637900
5.71,0.2,500,"bu","13:48:54",1627900
5.71,0.2,1400,"bu","13:48:12",1627400
5.71,0.2,500,"bu","13:47:49",1626000
5.71,0.2,1100,"sd","13:47:14",1625500
5.72,0.21,100,"sd","13:47:14",1624400
5.72,0.21,1000,"sd","13:47:14",1624300
5.73,0.22,1400,"sd","13:46:52",1623300
5.73,0.22,200,"sd","13:46:51",1621900
5.74,0.23,300,"sd","13:46:29",1619300
5.74,0.23,500,"sd","13:46:20",1619000
5.75,0.24,1500,"bu","13:46:15",1618500
5.75,0.24,500,"bu","13:46:08",1617000
5.75,0.24,2000,"sd","13:45:52",1616500
5.76,0.25,31200,"sd","13:45:26",1614500
5.76,0.25,10000,"sd","13:45:23",1583300
5.77,0.26,1100,"sd","13:45:15",1573300
5.77,0.26,1500,"sd","13:45:00",1572200
5.78,0.27,500,"bu","13:44:57",1570700
5.78,0.27,200,"bu","13:44:54",1570200
5.77,0.26,700,"sd","13:44:54",1570000
5.78,0.27,100,"bu","13:44:41",1569300
5.78,0.27,4500,"sd","13:44:25",1569200
5.79,0.28,116000,"sd","13:44:14",1564700
5.8,0.29,1400,"bu","13:43:28",1448700
5.8,0.29,2700,"bu","13:42:37",1447300
5.8,0.29,2200,"bu","13:42:10",1444600
5.8,0.29,100,"bu","13:41:22",1442400
5.8,0.29,600,"bu","13:41:21",1442300
5.8,0.29,900,"sd","13:41:19",1441700
5.8,0.29,7700,"bu","13:41:11",1440800
5.8,0.29,900,"bu","13:41:10",1433100
5.81,0.3,1400,"sd","13:40:07",1432200
5.81,0.3,21000,"bu","13:40:06",1430800
5.8,0.29,7600,"bu","13:40:06",1409800
5.8,0.29,300,"bu","13:39:50",1402200
5.8,0.29,1000,"bu","13:39:41",1401900
5.8,0.29,500,"bu","13:39:37",1400900
5.8,0.29,800,"bu","13:39:36",1400400
5.8,0.29,1700,"bu","13:39:33",1399600
5.8,0.29,200,"bu","13:39:28",1397900
5.8,0.29,3000,"bu","13:39:25",1397700
5.8,0.29,800,"bu","13:39:20",1394700
5.79,0.28,10000,"sd","13:39:20",1393900
5.8,0.29,1100,"bu","13:39:17",1383900
5.79,0.28,100,"sd","13:39:13",1382800
5.8,0.29,500,"bu","13:39:13",1382700
5.8,0.29,500,"bu","13:39:02",1382200
5.8,0.29,1100,"bu","13:38:59",1381700
5.79,0.28,20000,"sd","13:38:59",1380600
5.8,0.29,600,"bu","13:38:54",1360600
5.79,0.28,100,"sd","13:38:49",1360000
5.8,0.29,3000,"bu","13:38:39",1359900
5.8,0.29,1000,"bu","13:38:13",1356900
5.8,0.29,700,"bu","13:38:08",1355900
5.8,0.29,2000,"bu","13:38:00",1355200
5.8,0.29,1000,"bu","13:37:59",1353200
5.8,0.29,200,"bu","13:37:52",1352200
5.8,0.29,12500,"sd","13:37:40",1352000
5.8,0.29,88600,"bu","13:37:30",1339500
5.8,0.29,5000,"bu","13:37:28",1250900
5.8,0.29,12000,"bu","13:37:25",1245900
5.8,0.29,2200,"bu","13:37:24",1233900
5.8,0.29,1500,"bu","13:37:21",1231700
5.8,0.29,5000,"bu","13:37:17",1230200
5.8,0.29,600,"bu","13:37:13",1225200
5.8,0.29,2000,"bu","13:36:57",1224600
5.79,0.28,100,"sd","13:36:52",1222600
5.79,0.28,30000,"sd","13:36:20",1222500
5.8,0.29,100,"bu","13:36:20",1192500
5.79,0.28,100,"sd","13:36:09",1192400
5.79,0.28,20000,"sd","13:36:07",1192300
5.79,0.28,4600,"bu","13:36:05",1172300
5.79,0.28,200,"bu","13:36:04",1167700
5.79,0.28,300,"bu","13:35:51",1167500
5.78,0.27,900,"sd","13:35:49",1167200
5.79,0.28,1700,"bu","13:35:45",1166300
5.79,0.28,1100,"bu","13:35:44",1164600
5.79,0.28,700,"bu","13:35:39",1163500
5.79,0.28,800,"bu","13:35:35",1162800
5.79,0.28,3000,"bu","13:35:30",1162000
5.79,0.28,600,"bu","13:35:26",1159000
5.79,0.28,3900,"bu","13:35:24",1158400
5.79,0.28,100,"bu","13:35:22",1154500
5.78,0.27,100,"sd","13:35:14",1154400
5.79,0.28,200,"bu","13:34:52",1154300
5.79,0.28,800,"bu","13:34:49",1154100
5.79,0.28,5000,"bu","13:34:48",1153300
5.79,0.28,500,"bu","13:34:46",1148300
5.79,0.28,300,"bu","13:34:42",1147800
5.79,0.28,1100,"bu","13:34:38",1147500
5.78,0.27,400,"sd","13:34:13",1146400
5.79,0.28,3000,"bu","13:34:11",1146000
5.79,0.28,500,"bu","13:33:55",1143000
5.79,0.28,900,"bu","13:33:47",1142500
5.79,0.28,500,"bu","13:33:34",1141600
5.79,0.28,400,"bu","13:32:53",1141100
5.79,0.28,500,"bu","13:32:53",1140700
5.78,0.27,100,"sd","13:32:53",1140200
5.79,0.28,1200,"bu","13:32:46",1140100
5.79,0.28,300,"bu","13:32:39",1138900
5.78,0.27,100,"bu","13:31:59",1138600
5.78,0.27,1300,"bu","13:31:48",1138500
5.78,0.27,2000,"bu","13:31:44",1137200
5.78,0.27,4000,"bu","13:31:32",1135200
5.78,0.27,800,"sd","13:30:45",1131200
5.78,0.27,200,"sd","13:30:43",1130400
5.78,0.27,7200,"bu","13:30:23",1130200
5.78,0.27,5000,"bu","13:30:15",1123000
5.78,0.27,100,"bu","13:30:03",1118000
5.78,0.27,5800,"bu","13:29:57",1117900
5.77,0.26,7500,"bu","13:29:54",1112100
5.77,0.26,900,"bu","13:29:51",1104600
5.76,0.25,1100,"sd","13:29:28",1103700
5.76,0.25,1000,"sd","13:29:10",1102600
5.76,0.25,3900,"sd","13:29:07",1101600
5.76,0.25,5000,"sd","13:28:49",1097700
5.75,0.24,4800,"sd","13:28:22",1092700
5.76,0.25,200,"sd","13:28:22",1087900
5.77,0.26,4000,"bu","13:28:21",1087700
5.76,0.25,9800,"bu","13:28:17",1083700
5.75,0.24,100,"sd","13:28:13",1073900
5.75,0.24,100,"sd","13:28:11",1073800
5.75,0.24,12400,"bu","13:28:09",1073700
5.75,0.24,7000,"bu","13:28:01",1061300
5.75,0.24,400,"bu","13:27:48",1054300
5.75,0.24,2800,"bu","13:27:34",1053900
5.75,0.24,600,"bu","13:27:32",1051100
5.75,0.24,800,"bu","13:26:50",1050500
5.75,0.24,800,"bu","13:26:48",1049700
5.75,0.24,300,"bu","13:26:42",1048900
5.75,0.24,2400,"bu","13:26:38",1048600
5.75,0.24,900,"bu","13:26:28",1046200
5.75,0.24,1100,"bu","13:26:24",1045300
5.75,0.24,800,"bu","13:26:19",1044200
5.75,0.24,600,"bu","13:26:14",1043400
5.74,0.23,3000,"bu","13:25:48",1042800
5.74,0.23,500,"bu","13:25:20",1039800
5.74,0.23,5000,"bu","13:25:05",1039300
5.73,0.22,100,"sd","13:24:38",1034300
5.74,0.23,700,"bu","13:23:48",1034200
5.74,0.23,1300,"bu","13:23:45",1033500
5.74,0.23,300,"bu","13:23:42",1031800
5.74,0.23,600,"bu","13:23:39",1031500
5.74,0.23,1000,"bu","13:23:37",1030900
5.74,0.23,1200,"bu","13:23:32",1029900
5.74,0.23,8300,"bu","13:23:06",1028700
5.74,0.23,2200,"bu","13:23:03",1020400
5.74,0.23,2200,"bu","13:22:58",1018200
5.74,0.23,300,"bu","13:22:49",1016000
5.73,0.22,2900,"bu","13:22:35",1015700
5.73,0.22,1000,"bu","13:21:33",1012800
5.72,0.21,100,"bu","13:21:15",1011800
5.72,0.21,8000,"bu","13:20:59",1011700
5.71,0.2,1700,"bu","13:20:29",1003700
5.7,0.19,2400,"sd","13:18:14",1002000
5.7,0.19,1000,"sd","13:18:13",999600
5.7,0.19,2500,"sd","13:17:55",998600
5.7,0.19,100,"sd","13:16:55",996100
5.7,0.19,100,"sd","13:16:53",996000
5.7,0.19,100,"sd","13:16:51",995900
5.7,0.19,100,"sd","13:16:49",995800
5.7,0.19,100,"sd","13:16:48",995700
5.7,0.19,100,"sd","13:15:50",995600
5.71,0.2,9000,"bu","13:15:36",995500
5.71,0.2,2500,"sd","13:14:51",986500
5.71,0.2,5000,"sd","13:13:12",984000
5.72,0.21,300,"bu","13:13:10",979000
5.72,0.21,2600,"sd","13:12:57",978700
5.73,0.22,500,"bu","13:12:51",976100
5.73,0.22,5000,"bu","13:12:42",975600
5.72,0.21,2400,"bu","13:12:19",970600
5.72,0.21,200,"bu","13:12:15",968200
5.72,0.21,3300,"bu","13:12:08",968000
5.72,0.21,300,"bu","13:11:54",964700
5.72,0.21,900,"bu","13:11:16",964400
5.71,0.2,9100,"bu","13:11:16",963500
5.71,0.2,3000,"bu","13:10:46",954400
5.7,0.19,1500,"sd","13:10:36",951400
5.71,0.2,400,"bu","13:10:35",949900
5.7,0.19,5000,"sd","13:10:31",949500
5.7,0.19,5000,"sd","13:10:19",944500
5.7,0.19,2900,"bu","13:10:08",939500
5.7,0.19,10000,"bu","13:09:15",936600
5.7,0.19,300,"bu","13:08:43",926600
5.69,0.18,2300,"bu","13:08:13",926300
5.68,0.17,300,"bu","13:08:07",924000
5.67,0.16,200,"sd","13:07:59",923700
5.67,0.16,500,"bu","13:07:25",923500
5.67,0.16,1000,"bu","13:07:08",923000
5.67,0.16,1000,"bu","13:06:46",922000
5.67,0.16,200,"bu","13:06:15",921000
5.67,0.16,1000,"bu","13:06:00",920800
5.66,0.15,200,"bu","13:05:44",919800
5.66,0.15,3000,"bu","13:05:28",919600
5.66,0.15,2800,"bu","13:05:01",916600
5.65,0.14,3400,"sd","13:03:11",913800
5.66,0.15,4100,"sd","13:00:53",910400
5.67,0.16,6300,"sd","13:00:50",906300
5.68,0.17,200,"sd","13:00:50",900000
5.69,0.18,10000,"bu","11:29:14",899800
5.69,0.18,200,"bu","11:20:56",889800
5.68,0.17,4800,"bu","11:20:56",889600
5.68,0.17,500,"bu","11:20:55",884800
5.68,0.17,500,"bu","11:18:22",884300
5.68,0.17,500,"bu","11:17:27",883800
5.68,0.17,3000,"bu","11:17:05",883300
5.68,0.17,100,"bu","11:10:04",880300
5.68,0.17,4200,"sd","11:07:17",880200
5.68,0.17,1200,"bu","11:05:50",876000
5.68,0.17,1800,"bu","11:03:37",874800
5.68,0.17,900,"sd","11:01:21",873000
5.68,0.17,9100,"bu","11:00:43",872100
5.68,0.17,1000,"bu","10:59:05",863000
5.68,0.17,15300,"sd","10:58:55",862000
5.69,0.18,5000,"sd","10:58:55",846700
5.69,0.18,5000,"bu","10:58:38",841700
5.68,0.17,2500,"sd","10:58:31",836700
5.68,0.17,5000,"sd","10:58:21",834200
5.68,0.17,15000,"sd","10:58:08",829200
5.68,0.17,5000,"sd","10:57:38",814200
5.69,0.18,1000,"bu","10:55:45",809200
5.69,0.18,500,"bu","10:55:06",808200
5.69,0.18,500,"bu","10:53:45",807700
5.68,0.17,100,"sd","10:53:43",807200
5.68,0.17,600,"bu","10:53:02",807100
5.68,0.17,200,"sd","10:52:55",806500
5.68,0.17,5300,"bu","10:52:18",806300
5.68,0.17,200,"bu","10:52:15",801000
5.68,0.17,300,"bu","10:51:15",800800
5.67,0.16,200,"bu","10:50:51",800500
