"price","change","match_qtty","side","time","total_vol"
8.14,0.04,7300,"","14:45:13",375600
8.14,0.04,100,"bu","14:29:57",368300
8.11,0.01,6300,"bu","14:29:57",368200
8.11,0.01,300,"sd","14:20:08",361900
8.11,0.01,700,"bu","14:19:30",361600
8.11,0.01,300,"bu","14:16:56",360900
8.1,0,700,"bu","14:16:56",360600
8.1,0,100,"bu","14:16:02",359900
8.1,0,100,"bu","14:09:29",359800
8.1,0,6100,"sd","14:07:26",359700
8.1,0,15000,"sd","14:06:44",353600
8.1,0,9000,"sd","14:05:19",338600
8.1,0,100,"sd","14:03:07",329600
8.1,0,10000,"sd","14:02:04",329500
8.1,0,6000,"sd","14:01:48",319500
8.1,0,1500,"sd","14:01:28",313500
8.1,0,5000,"sd","13:58:34",312000
8.1,0,1100,"sd","13:58:15",307000
8.11,0.01,5000,"sd","13:56:46",305900
8.12,0.02,6000,"sd","13:52:01",300900
8.13,0.03,600,"sd","13:49:59",294900
8.14,0.04,100,"bu","13:42:02",294300
8.13,0.03,500,"bu","13:41:43",294200
8.12,0.02,200,"bu","13:41:28",293700
8.1,0,200,"sd","13:41:04",293500
8.11,0.01,300,"bu","13:39:47",293300
8.1,0,6300,"bu","13:34:25",293000
8.05,-0.05,1500,"sd","13:31:26",286700
8.1,0,7200,"sd","13:31:07",285200
8.1,0,8000,"sd","13:27:20",278000
8.1,0,1200,"sd","13:27:02",270000
8.1,0,1000,"sd","13:26:34",268800
8.1,0,30000,"sd","13:26:02",267800
8.1,0,400,"sd","13:25:29",237800
8.1,0,5000,"sd","13:23:21",237400
8.12,0.02,500,"bu","13:22:50",232400
8.12,0.02,1000,"bu","13:21:43",231900
8.12,0.02,100,"bu","13:20:45",230900
8.1,0,100,"sd","13:19:36",230800
8.1,0,800,"bu","13:18:23",230700
8.1,0,200,"sd","13:10:31",229900
8.1,0,500,"sd","13:09:21",229700
8.1,0,300,"bu","13:08:56",229200
8.1,0,4700,"sd","13:01:17",228900
8.15,0.05,100,"bu","11:07:15",224200
8.1,0,300,"sd","11:05:33",224100
8.1,0,1000,"bu","10:46:21",223800
8.1,0,100,"bu","10:35:52",222800
8.1,0,600,"bu","10:34:55",222700
8.1,0,300,"sd","10:32:47",222100
8.1,0,50000,"sd","10:32:22",221800
8.11,0.01,8500,"sd","10:28:10",171800
8.11,0.01,200,"sd","10:26:55",163300
8.11,0.01,300,"sd","10:11:26",163100
8.15,0.05,100,"sd","10:02:06",162800
8.15,0.05,2000,"sd","10:01:18",162700
8.15,0.05,1000,"sd","10:00:51",160700
8.15,0.05,1000,"sd","09:59:04",159700
8.17,0.07,1000,"bu","09:57:12",158700
8.15,0.05,10800,"bu","09:56:23",157700
8.14,0.04,100,"bu","09:56:23",146900
8.15,0.05,1800,"bu","09:53:30",146800
8.14,0.04,3200,"bu","09:53:30",145000
8.12,0.02,100,"bu","09:53:11",141800
8.01,-0.09,100,"sd","09:49:58",141700
8.02,-0.08,400,"sd","09:49:58",141600
8.02,-0.08,12600,"sd","09:49:47",141200
8.03,-0.07,800,"sd","09:49:47",128600
8.04,-0.06,300,"sd","09:49:47",127800
8.05,-0.05,200,"sd","09:49:47",127500
8.06,-0.04,1100,"sd","09:49:47",127300
8.1,0,29000,"sd","09:47:56",126200
8.1,0,1000,"bu","09:46:31",97200
8.1,0,28200,"sd","09:45:55",96200
8.11,0.01,5800,"sd","09:45:55",68000
8.12,0.02,400,"sd","09:45:39",62200
8.12,0.02,9000,"sd","09:45:02",61800
8.13,0.03,1000,"sd","09:45:02",52800
8.15,0.05,1000,"bu","09:37:05",51800
8.15,0.05,400,"bu","09:36:33",50800
8.12,0.02,600,"bu","09:34:20",50400
8.12,0.02,300,"bu","09:33:30",49800
8.12,0.02,400,"bu","09:29:56",49500
8.12,0.02,100,"bu","09:29:24",49100
8.12,0.02,2000,"bu","09:26:58",49000
8.12,0.02,1600,"sd","09:25:41",47000
8.12,0.02,1000,"sd","09:23:55",45400
8.11,0.01,100,"bu","09:19:36",44400
8.11,0.01,1400,"sd","09:19:23",44300
8.11,0.01,3600,"sd","09:19:19",42900
8.11,0.01,5000,"sd","09:19:14",39300
8.15,0.05,1000,"bu","09:18:05",34300
8.1,0,2000,"sd","09:17:07",33300
8.12,0.02,30000,"bu","09:15:36",31300
8.1,0,1300,"","09:15:04",1300
