"price","change","match_qtty","side","time","total_vol"
19.1,0.55,548900,"","14:45:16",11444300
19.05,0.5,10000,"bu","14:30:01",10895400
19,0.45,2300,"sd","14:30:01",10885400
19,0.45,3000,"sd","14:29:59",10883100
19,0.45,1000,"sd","14:29:54",10880100
19.05,0.5,3000,"bu","14:29:53",10879100
19,0.45,50000,"sd","14:29:51",10876100
19,0.45,1000,"sd","14:29:37",10826100
19.05,0.5,50000,"bu","14:29:35",10825100
19.05,0.5,500,"bu","14:29:31",10775100
19.05,0.5,200,"bu","14:29:29",10774600
19,0.45,100,"sd","14:28:52",10774400
19,0.45,200,"sd","14:28:35",10774300
19,0.45,19900,"bu","14:28:13",10774100
19,0.45,5000,"bu","14:28:06",10754200
19,0.45,400,"bu","14:28:01",10749200
18.95,0.4,2400,"sd","14:27:59",10748800
19,0.45,30000,"bu","14:27:58",10746400
19,0.45,2400,"bu","14:27:54",10716400
18.95,0.4,2100,"sd","14:27:41",10714000
19,0.45,25000,"bu","14:27:37",10711900
19,0.45,2000,"bu","14:27:36",10686900
18.95,0.4,200,"sd","14:27:03",10684900
19,0.45,600,"bu","14:26:50",10684700
18.95,0.4,200,"sd","14:26:49",10684100
19,0.45,500,"bu","14:26:47",10683900
19,0.45,500,"bu","14:26:44",10683400
19,0.45,1000,"bu","14:26:43",10682900
19,0.45,1000,"bu","14:26:38",10681900
19,0.45,3600,"bu","14:26:33",10680900
19,0.45,300,"bu","14:26:06",10677300
19,0.45,8900,"sd","14:25:46",10677000
19,0.45,1000,"sd","14:25:42",10668100
19,0.45,50100,"sd","14:25:28",10667100
19,0.45,2000,"sd","14:25:25",10617000
19.05,0.5,50000,"bu","14:25:24",10615000
19,0.45,200,"sd","14:25:22",10565000
19.05,0.5,100,"bu","14:25:21",10564800
19,0.45,1000,"sd","14:25:20",10564700
19,0.45,22400,"sd","14:25:17",10563700
19,0.45,2000,"sd","14:24:47",10541300
19.05,0.5,600,"bu","14:24:37",10539300
19.05,0.5,300,"bu","14:24:29",10538700
19.05,0.5,500,"bu","14:24:26",10538400
19.05,0.5,800,"bu","14:24:24",10537900
19.05,0.5,2000,"bu","14:24:12",10537100
19,0.45,20000,"sd","14:24:11",10535100
19.05,0.5,1000,"bu","14:24:08",10515100
19.05,0.5,1000,"bu","14:24:06",10514100
19.05,0.5,36000,"bu","14:24:04",10513100
19,0.45,100000,"sd","14:24:01",10477100
19.05,0.5,10000,"bu","14:23:56",10377100
19,0.45,2000,"sd","14:23:51",10367100
19.05,0.5,20000,"bu","14:23:50",10365100
19.05,0.5,1000,"bu","14:23:37",10345100
19,0.45,2000,"sd","14:23:09",10344100
19.05,0.5,900,"bu","14:23:02",10342100
19,0.45,35000,"bu","14:22:33",10341200
