"price","change","match_qtty","side","time","total_vol"
14,0.1,64000,"","14:45:01",1432100
14.1,0.2,5500,"bu","14:29:26",1368100
14.1,0.2,100,"sd","14:29:18",1362600
14.1,0.2,1000,"sd","14:28:58",1362500
14.2,0.3,1200,"bu","14:28:47",1361500
14.1,0.2,4200,"sd","14:28:37",1360300
14.2,0.3,3000,"bu","14:28:13",1356100
14.2,0.3,200,"bu","14:27:53",1353100
14.1,0.2,6800,"sd","14:27:48",1352900
14.1,0.2,300,"sd","14:25:22",1346100
14.1,0.2,1200,"sd","14:24:43",1345800
14.2,0.3,1000,"bu","14:24:40",1344600
14.2,0.3,100,"bu","14:24:04",1343600
14.2,0.3,2000,"bu","14:24:00",1343500
14.2,0.3,300,"bu","14:23:47",1341500
14.2,0.3,3500,"bu","14:23:45",1341200
14.2,0.3,500,"bu","14:23:38",1337700
14.2,0.3,3500,"bu","14:23:11",1337200
14.2,0.3,10000,"bu","14:23:01",1333700
14.2,0.3,10000,"bu","14:22:52",1323700
14.1,0.2,1900,"sd","14:21:34",1313700
14.1,0.2,100,"sd","14:21:04",1311800
14.1,0.2,600,"sd","14:20:34",1311700
14.1,0.2,500,"sd","14:20:03",1311100
14.1,0.2,600,"sd","14:18:31",1310600
14.1,0.2,12800,"sd","14:18:11",1310000
14.1,0.2,2000,"bu","14:18:07",1297200
14.1,0.2,5200,"sd","14:17:55",1295200
14.1,0.2,4700,"sd","14:16:48",1290000
14.1,0.2,10000,"bu","14:16:32",1285300
14.1,0.2,1500,"bu","14:15:43",1275300
14.1,0.2,2000,"sd","14:15:36",1273800
14.1,0.2,5000,"sd","14:15:07",1271800
14.2,0.3,8000,"bu","14:14:59",1266800
14.1,0.2,500,"bu","14:14:44",1258800
14.1,0.2,700,"bu","14:14:37",1258300
14.1,0.2,2000,"bu","14:14:35",1257600
14.1,0.2,100,"bu","14:14:28",1255600
14.1,0.2,13000,"bu","14:14:06",1255500
14.1,0.2,6000,"","14:13:15",1242500
14,0.1,100,"","14:12:37",1236500
14.1,0.2,100000,"","14:12:30",1236400
14,0.1,2000,"","14:12:27",1136400
14,0.1,18000,"sd","14:11:57",1134400
13.9,0,1000,"sd","14:11:11",1116400
13.9,0,2000,"sd","14:06:41",1115400
13.9,0,700,"bu","14:05:15",1113400
13.9,0,1000,"bu","14:04:44",1112700
13.9,0,5000,"bu","14:04:43",1111700
13.9,0,100,"","14:04:24",1106700
13.9,0,300,"bu","14:03:48",1106600
13.9,0,2600,"bu","14:03:29",1106300
13.9,0,1800,"sd","14:02:40",1103700
13.9,0,5000,"bu","14:02:34",1101900
13.9,0,2000,"bu","14:02:24",1096900
13.9,0,2000,"bu","14:01:57",1094900
13.9,0,500,"bu","14:01:45",1092900
13.9,0,2000,"bu","14:01:43",1092400
13.9,0,500,"bu","14:00:53",1090400
13.9,0,100,"bu","14:00:45",1089900
13.8,0.3,2000,"sd","13:37:56",1016800
13.8,0.3,4000,"sd","13:36:38",1014800
13.8,0.3,1000,"sd","13:34:13",1010800
13.8,0.3,10000,"sd","13:33:34",1009800
13.8,0.3,100,"sd","13:32:41",999800
13.8,0.3,500,"sd","13:30:44",999700
13.9,0.4,10000,"bu","13:28:52",999200
13.8,0.3,1000,"sd","13:28:23",989200
13.8,0.3,4300,"sd","13:28:07",988200
13.8,0.3,1000,"bu","13:27:47",983900
13.8,0.3,500,"bu","13:27:00",982900
13.8,0.3,1500,"sd","13:26:53",982400
13.7,0.2,40000,"sd","13:26:45",980900
13.8,0.3,1000,"bu","13:26:31",940900
13.8,0.3,2000,"sd","13:26:25",939900
13.8,0.3,500,"sd","13:26:21",937900
13.8,0.3,5000,"sd","13:26:20",937400
13.8,0.3,1000,"sd","13:26:06",932400
13.8,0.3,200,"sd","13:25:46",931400
13.8,0.3,2000,"sd","13:25:35",931200
13.9,0,1100,"sd","13:38:23",1040700
13.9,0,1000,"sd","13:38:18",1039600
13.9,0,2000,"sd","13:37:58",1038600
13.9,0,100,"sd","13:37:14",1036600
13.9,0,100,"sd","13:36:15",1036500
13.9,0,100,"bu","13:34:12",1036400
13.9,0,500,"bu","13:34:11",1036300
13.9,0,2400,"sd","13:33:39",1035800
13.9,0,400,"sd","13:33:26",1033400
13.9,0,700,"sd","13:33:11",1033000
13.9,0,1300,"sd","13:32:57",1032300
13.9,0,4600,"sd","13:32:28",1031000
13.9,0,500,"bu","13:32:14",1026400
13.9,0,400,"bu","13:31:58",1025900
13.9,0,2000,"bu","13:31:32",1025500
13.9,0,500,"bu","13:30:52",1023500
13.9,0,2000,"bu","13:30:45",1023000
13.8,-0.1,300,"sd","13:30:40",1021000
13.9,0,900,"bu","13:30:39",1020700
13.9,0,2000,"bu","13:30:32",1019800
13.9,0,100,"bu","13:29:55",1017800
