"price","change","match_qtty","side","time","total_vol"
45,-1.1,1400,"sd","14:31:39",851800
45.05,-1.05,2100,"sd","14:31:39",850400
45.1,-1,100,"bu","14:30:50",815400
45,-1.1,1000,"sd","14:31:34",846100
45.05,-1.05,100,"sd","14:31:34",845100
45.05,-1.05,800,"sd","14:30:59",816300
45.05,-1.05,1000,"sd","14:31:42",852800
45.1,-1,100,"bu","14:31:38",848300
45.05,-1.05,1000,"sd","14:31:38",848200
45.1,-1,1400,"bu","14:31:33",845000
45.05,-1.05,2700,"bu","14:31:33",843600
45.05,-1.05,100,"sd","14:31:18",840900
45.1,-1,100,"bu","14:31:17",840800
45.05,-1.05,1100,"sd","14:31:37",847200
45.1,-1,100,"bu","14:31:16",840700
45,-1.1,4000,"sd","14:31:16",840600
45.1,-1,100,"bu","14:30:57",815500
45.05,-1.05,200,"sd","14:30:46",815300
45.1,-1,100,"bu","14:30:42",815100
45.1,-1,100,"bu","14:31:04",836400
45.1,-1,200,"bu","14:31:12",836600
45,-1.1,4900,"sd","14:31:03",836300
45,-1.1,10300,"sd","14:31:02",831400
45.05,-1.05,4800,"sd","14:31:02",821100
45.3,-0.8,3500,"sd","14:28:42",775800
45.4,-0.7,500,"sd","14:28:21",767400
45.2,-0.9,100,"bu","14:29:13",789800
45.35,-0.75,300,"sd","14:28:53",778200
45.3,-0.8,100,"bu","14:28:53",777900
45.4,-0.7,100,"sd","14:26:56",766400
45.3,-0.8,2500,"sd","14:28:40",772300
45.4,-0.7,200,"sd","14:26:50",766300
45.2,-0.9,4200,"sd","14:29:12",789700
45.3,-0.8,1000,"sd","14:28:39",769800
45.1,-1,200,"bu","14:30:10",805700
45.1,-1,300,"sd","14:29:44",801700
45.4,-0.7,400,"sd","14:27:15",766800
45.2,-0.9,5000,"sd","14:29:07",785500
45.4,-0.7,6000,"sd","14:26:36",766100
45.3,-0.8,400,"sd","14:28:34",768800
45.1,-1,800,"sd","14:29:31",798700
45.15,-0.95,200,"bu","14:29:31",797900
45.2,-0.9,5000,"bu","14:29:22",796100
45.45,-0.65,100,"bu","14:26:33",760100
45.2,-0.9,1100,"sd","14:28:52",777800
45.3,-0.8,900,"sd","14:28:52",776700
45.1,-1,1300,"sd","14:29:36",801000
45.15,-0.95,1000,"bu","14:29:36",799700
45.05,-1.05,5000,"sd","14:30:11",810700
45.1,-1,500,"sd","14:29:49",802300
45.1,-1,1000,"sd","14:29:59",805500
45.2,-0.9,100,"bu","14:29:26",796200
45.1,-1,2200,"sd","14:29:56",804500
45.1,-1,100,"sd","14:29:47",801800
45.15,-0.95,700,"sd","14:29:28",797700
45.1,-1,400,"sd","14:29:38",801400
