"price","change","match_qtty","side","time","total_vol"
3.2,0,1300,"sd","14:59:22",146100
3.2,0,6400,"sd","14:59:13",144800
3.2,0,3000,"sd","14:50:02",138400
3.3,0.1,5000,"sd","14:24:44",101800
3.3,0.1,1000,"sd","14:29:26",104700
3.3,0.1,1900,"sd","14:27:43",103700
3.3,0.1,29200,"sd","14:37:05",133900
3.3,0.1,600,"sd","14:12:16",96800
3.3,0.1,200,"sd","14:05:11",96200
3.3,0.1,1000,"sd","13:34:29",89300
3.3,0.1,1000,"sd","13:32:48",86300
3.3,0.1,1000,"sd","13:33:43",87300
3.3,0.1,1000,"sd","13:34:42",90300
3.3,0.1,1000,"sd","13:34:03",88300
3.3,0.1,15200,"sd","13:21:18",80300
3.3,0.1,1000,"sd","13:38:11",92300
3.3,0.1,5000,"sd","13:30:04",85300
3.3,0.1,1000,"sd","13:37:49",91300
3.3,0.1,10000,"bu","13:20:05",65100
3.2,0,6900,"sd","13:06:36",49900
3.2,0,200,"sd","13:15:17",54100
3.3,0.1,1200,"sd","13:42:22",93500
3.3,0.1,1000,"bu","13:19:01",55100
3.2,0,3700,"sd","13:13:32",53900
3.3,0.1,300,"bu","13:13:28",50200
3.2,0,200,"sd","11:25:07",43000
3.3,0.1,100,"bu","10:56:20",42800
3.3,0.1,500,"sd","14:01:00",94000
3.3,0.1,2000,"bu","10:09:07",42700
3.3,0.1,2000,"sd","14:03:37",96000
3.3,0.1,2000,"bu","09:42:54",40200
3.3,0.1,500,"bu","09:56:00",40700
3.3,0.1,31000,"bu","09:14:11",34000
3.3,0.1,300,"bu","09:09:06",3000
3.3,0.1,2700,"bu","09:06:53",2700
3.3,0.1,1000,"bu","14:44:04",135400
3.3,0.1,500,"bu","14:41:54",134400
3.3,0.1,600,"bu","09:19:48",38200
3.3,0.1,600,"bu","09:19:00",37600
3.3,0.1,3000,"bu","09:18:30",37000
