"price","change","match_qtty","side","time","total_vol"
65.9,-1.8,3700,"","14:45:31",121800
66.2,-1.5,200,"bu","14:31:58",118100
66,-1.7,2600,"bu","14:30:33",117900
66.2,-1.5,400,"sd","14:29:08",115300
66.2,-1.5,100,"bu","14:29:00",114900
66.2,-1.5,300,"bu","14:28:57",114800
66.2,-1.5,100,"bu","14:28:30",114500
66,-1.7,100,"sd","14:25:53",114400
66,-1.7,1700,"bu","14:25:26",114300
65.9,-1.8,1200,"bu","14:25:26",112600
65.8,-1.9,100,"bu","14:25:20",111400
65,-2.7,500,"bu","14:22:22",111300
64.9,-2.8,300,"bu","14:22:21",110800
64.9,-2.8,100,"bu","14:21:52",110500
64.9,-2.8,200,"bu","14:20:40",110400
64,-3.7,1000,"sd","14:19:21",110200
64,-3.7,100,"sd","14:19:15",109200
64.5,-3.2,1100,"sd","14:19:15",109100
64.6,-3.1,400,"sd","14:19:15",108000
65,-2.7,300,"sd","14:18:34",107600
65,-2.7,1000,"sd","14:18:28",107300
65.1,-2.6,500,"sd","14:17:46",106300
65.5,-2.2,1000,"bu","14:17:39",105800
65.5,-2.2,200,"sd","14:16:21",104800
65.5,-2.2,2800,"sd","14:16:18",104600
66,-1.7,200,"bu","14:16:13",101800
65.5,-2.2,3000,"sd","14:14:59",101600
65.6,-2.1,3700,"sd","14:14:59",98600
65.7,-2,7900,"sd","14:14:59",94900
65.8,-1.9,2400,"sd","14:14:59",87000
66,-1.7,100,"bu","14:11:35",84600
66.2,-1.5,1200,"sd","14:09:53",84500
66.5,-1.2,100,"bu","14:08:49",83300
66.3,-1.4,100,"bu","14:06:07",83200
66.3,-1.4,200,"bu","14:04:25",83100
66.2,-1.5,100,"sd","14:03:06",82900
66.2,-1.5,100,"sd","14:01:56",82800
66.2,-1.5,200,"bu","14:01:37",82700
66.1,-1.6,200,"sd","13:56:57",82500
65.8,-1.9,100,"sd","13:52:21",82300
65.8,-1.9,500,"bu","13:50:13",82200
65.8,-1.9,3000,"bu","13:49:39",81700
65.8,-1.9,1500,"sd","13:49:28",78700
65.8,-1.9,100,"sd","13:48:32",77200
65.8,-1.9,100,"sd","13:48:12",77100
65.8,-1.9,100,"sd","13:48:02",77000
65.8,-1.9,500,"sd","13:48:01",76900
65.8,-1.9,1000,"sd","13:47:46",76400
65.8,-1.9,500,"sd","13:47:41",75400
65.8,-1.9,1000,"sd","13:47:35",74900
65.8,-1.9,300,"sd","13:46:55",73900
65.8,-1.9,200,"sd","13:41:29",73600
66,-1.7,100,"bu","13:38:26",73400
65.8,-1.9,500,"bu","13:36:18",73300
65.8,-1.9,1400,"bu","13:36:03",72800
65.8,-1.9,800,"bu","13:35:51",71400
65.8,-1.9,2000,"bu","13:35:45",70600
65.8,-1.9,200,"bu","13:35:28",68600
65.8,-1.9,100,"bu","13:34:54",68400
65.8,-1.9,200,"bu","13:34:03",68300
65.8,-1.9,800,"bu","13:33:54",68100
65.8,-1.9,1000,"bu","13:33:46",67300
65.8,-1.9,900,"bu","13:33:38",66300
65.8,-1.9,2500,"sd","13:33:30",65400
65.8,-1.9,700,"bu","13:30:27",62900
65.8,-1.9,1000,"bu","13:30:24",62200
65.8,-1.9,3300,"sd","13:30:21",61200
65.8,-1.9,300,"sd","13:27:59",57900
65.9,-1.8,100,"sd","13:27:59",57600
66,-1.7,300,"sd","13:27:26",57500
66,-1.7,100,"bu","13:25:13",57200
66,-1.7,400,"bu","13:25:12",57100
65.9,-1.8,100,"sd","13:21:51",56700
65.8,-1.9,500,"sd","13:14:28",56600
65.8,-1.9,3000,"sd","13:12:50",56100
65.8,-1.9,500,"sd","13:12:38",53100
65.8,-1.9,1000,"sd","13:12:16",52600
65.8,-1.9,2500,"bu","13:07:57",51600
65.8,-1.9,500,"sd","13:07:49",49100
65.8,-1.9,1600,"bu","13:07:12",48600
65.8,-1.9,1400,"sd","13:07:08",47000
65.8,-1.9,2000,"sd","13:06:20",45600
65.8,-1.9,800,"bu","13:05:24",43600
65.8,-1.9,100,"bu","13:05:24",42800
65.8,-1.9,1100,"bu","13:05:18",42700
65.8,-1.9,1000,"sd","13:04:58",41600
65.8,-1.9,1800,"sd","13:03:06",40600
65.7,-2,200,"sd","13:00:31",38800
66.5,-1.2,100,"sd","13:00:31",38600
67.1,-0.6,100,"bu","11:26:03",38500
67.1,-0.6,100,"bu","11:21:22",38400
67.1,-0.6,100,"bu","11:16:42",38300
67.1,-0.6,100,"bu","11:12:53",38200
67,-0.7,100,"bu","11:12:53",38100
66.5,-1.2,200,"bu","11:11:01",38000
66.5,-1.2,200,"bu","11:07:22",37800
66.5,-1.2,200,"sd","11:04:16",37600
66.5,-1.2,100,"bu","10:53:21",37400
66.5,-1.2,400,"sd","10:52:29",37300
66.5,-1.2,200,"bu","10:38:34",36900
66.5,-1.2,600,"bu","10:37:38",36700
66.3,-1.4,100,"bu","10:37:38",36100
66,-1.7,100,"bu","10:36:26",36000
66,-1.7,500,"bu","10:35:10",35900
66,-1.7,500,"bu","10:34:51",35400
65.7,-2,500,"bu","10:34:51",34900
65.7,-2,100,"bu","10:34:39",34400
