"price","change","match_qtty","side","time","total_vol"
87.4,-1.6,20100,"","14:44:23",108800
88,-1,1900,"sd","14:31:46",88700
88.2,-0.8,200,"bu","14:31:43",86800
88.1,-0.9,200,"bu","14:31:43",86600
88,-1,800,"bu","14:31:43",86400
87.9,-1.1,100,"sd","14:31:41",85600
87.9,-1.1,1000,"bu","14:31:40",85500
87.9,-1.1,100,"sd","14:29:58",84500
87.9,-1.1,200,"sd","14:27:57",84400
88,-1,1800,"sd","14:27:45",84200
88,-1,200,"sd","14:27:40",82400
88,-1,500,"sd","14:27:39",82200
88,-1,100,"sd","14:26:46",81700
88,-1,200,"sd","14:25:19",81600
88,-1,200,"sd","14:25:11",81400
88.1,-0.9,500,"sd","14:24:21",81200
88.1,-0.9,100,"sd","14:18:16",80700
88.4,-0.6,100,"bu","14:16:16",80600
88.2,-0.8,200,"bu","14:15:51",80500
88.2,-0.8,300,"bu","14:14:41",80300
88.2,-0.8,100,"bu","14:13:56",80000
88.4,-0.6,100,"bu","14:13:16",79900
88.4,-0.6,100,"bu","14:11:38",79800
88.3,-0.7,200,"bu","14:10:25",79700
88.1,-0.9,500,"sd","14:09:07",79500
88.5,-0.5,100,"bu","14:09:05",79000
88.4,-0.6,100,"bu","14:08:39",78900
88.1,-0.9,200,"bu","14:05:11",78800
88,-1,4300,"bu","14:04:54",78600
88,-1,100,"bu","14:04:44",74300
87.7,-1.3,100,"bu","14:02:40",74200
87.7,-1.3,200,"bu","14:01:45",74100
87.7,-1.3,200,"sd","14:01:44",73900
87.8,-1.2,100,"bu","14:01:30",73700
87.8,-1.2,100,"sd","14:01:29",73600
87.8,-1.2,100,"bu","14:01:19",73500
87.8,-1.2,300,"bu","14:00:57",73400
87.8,-1.2,100,"bu","14:00:32",73100
87.8,-1.2,300,"bu","14:00:20",73000
87.8,-1.2,300,"bu","14:00:16",72700
87.8,-1.2,1000,"sd","13:59:14",72400
88,-1,100,"bu","13:57:18",71400
88,-1,400,"bu","13:56:40",71300
87.9,-1.1,100,"bu","13:56:40",70900
87.9,-1.1,1100,"sd","13:54:35",70800
88,-1,200,"bu","13:54:21",69700
88.1,-0.9,400,"bu","13:52:24",69500
88,-1,200,"bu","13:49:28",69100
88,-1,1700,"sd","13:49:23",68900
88.1,-0.9,100,"sd","13:47:30",67200
88.1,-0.9,200,"sd","13:47:22",67100
88.1,-0.9,500,"sd","13:45:05",66900
88.1,-0.9,100,"sd","13:42:56",66400
88.1,-0.9,100,"bu","13:35:22",66300
88.1,-0.9,100,"sd","13:35:05",66200
88.5,-0.5,100,"bu","13:34:40",66100
88.5,-0.5,100,"bu","13:34:18",66000
88.5,-0.5,100,"bu","13:34:11",65900
88,-1,500,"bu","13:33:13",65800
88,-1,400,"bu","13:32:51",65300
88,-1,200,"bu","13:32:32",64900
88,-1,100,"bu","13:30:18",64700
88,-1,100,"bu","13:26:03",64600
88,-1,100,"bu","13:20:53",64500
87.5,-1.5,300,"sd","13:18:39",64400
87.7,-1.3,100,"bu","13:18:39",64100
87.5,-1.5,600,"bu","13:15:46",64000
87.5,-1.5,100,"bu","13:15:02",63400
87.5,-1.5,3700,"sd","13:14:56",63300
87.7,-1.3,1100,"sd","13:14:56",56300
87.8,-1.2,1100,"sd","13:14:06",55200
87.8,-1.2,6400,"sd","13:13:26",54100
87.8,-1.2,100,"sd","13:12:29",47700
87.9,-1.1,100,"sd","13:12:05",47600
88,-1,700,"bu","13:11:50",47500
87.9,-1.1,2100,"bu","13:08:15",46800
87.9,-1.1,500,"sd","13:06:33",44700
87.9,-1.1,1000,"sd","13:06:01",44200
88,-1,900,"sd","13:05:43",43200
88,-1,300,"bu","13:05:00",42300
88,-1,100,"bu","13:04:35",42000
88,-1,1600,"sd","13:03:52",41900
88.1,-0.9,2600,"sd","13:01:44",40300
88.7,-0.3,500,"bu","13:01:44",37700
88.7,-0.3,500,"sd","13:00:32",37200
88.9,-0.1,500,"bu","11:29:33",36700
88.8,-0.2,500,"sd","11:28:11",36200
88.9,-0.1,500,"bu","11:27:34",35700
88.8,-0.2,1200,"bu","11:26:00",35200
88.8,-0.2,500,"bu","11:25:22",34000
88.8,-0.2,600,"bu","11:24:59",33500
88.6,-0.4,700,"bu","11:24:45",32900
88.1,-0.9,300,"sd","11:20:20",32200
88.6,-0.4,200,"bu","11:19:37",31900
88.6,-0.4,200,"bu","11:18:16",31700
88,-1,700,"sd","11:15:27",31500
88.3,-0.7,200,"bu","11:13:33",30500
88,-1,500,"bu","11:12:54",30300
88,-1,1800,"bu","11:12:44",29800
87.9,-1.1,1200,"bu","11:10:39",28000
87.9,-1.1,100,"sd","11:08:36",26800
87.9,-1.1,300,"sd","11:08:30",26700
88,-1,2700,"sd","11:05:25",26400
88,-1,200,"sd","11:05:16",23700
88.1,-0.9,2600,"sd","11:05:16",23500
88.1,-0.9,1200,"sd","11:02:42",20900
88.2,-0.8,800,"sd","11:02:42",19700
88.3,-0.7,200,"bu","10:57:04",18900
88.3,-0.7,200,"bu","10:56:32",18700
88.3,-0.7,2000,"bu","10:54:15",18500
88.2,-0.8,500,"sd","10:50:08",16500
88.2,-0.8,800,"sd","10:46:37",16000
88.2,-0.8,400,"sd","10:44:58",15200
88.2,-0.8,700,"sd","10:39:49",14800
88.3,-0.7,400,"sd","10:39:46",14100
88.3,-0.7,600,"sd","10:35:42",13700
88.4,-0.6,1300,"sd","10:35:42",13100
88.5,-0.5,200,"sd","10:35:42",11800
88.5,-0.5,100,"sd","10:27:29",11600
88.5,-0.5,200,"sd","10:23:22",11500
88.5,-0.5,2000,"sd","10:21:19",11300
88.6,-0.4,1500,"sd","10:17:59",9300
88.6,-0.4,100,"sd","10:12:41",7800
88.6,-0.4,100,"sd","10:12:07",7700
88.6,-0.4,100,"sd","10:09:52",7600
88.6,-0.4,900,"sd","10:08:53",7500
88.7,-0.3,100,"sd","10:08:43",6600
88.8,-0.2,800,"sd","10:08:14",6500
88.8,-0.2,100,"sd","10:07:57",5700
88.9,-0.1,400,"sd","10:05:18",5600
88.9,-0.1,100,"sd","10:00:11",5200
89,0,100,"sd","09:59:36",5100
89,0,200,"sd","09:57:56",5000
89.2,0.2,500,"bu","09:46:31",4800
89,0,100,"bu","09:46:01",4300
89,0,100,"sd","09:45:25",4200
89.2,0.2,100,"bu","09:42:56",4100
89.2,0.2,100,"bu","09:35:34",4000
89,0,100,"sd","09:31:29",3900
89,0,100,"sd","09:29:24",3800
89,0,100,"sd","09:29:11",3700
89,0,100,"sd","09:28:52",3600
89,0,200,"sd","09:25:34",3500
89,0,600,"bu","09:24:51",3300
89,0,300,"bu","09:24:20",2700
89,0,1200,"bu","09:21:30",2400
89,0,300,"bu","09:18:00",1200
89,0,900,"","09:15:04",900
