"price","change","match_qtty","side","time","total_vol"
49,1.4,500,"bu","14:58:34",13600
48.6,1,100,"sd","14:42:37",13100
48.9,1.3,100,"sd","14:19:51",13000
48.9,1.3,1000,"sd","14:16:51",12900
48.9,1.3,200,"bu","14:15:47",11900
48.9,1.3,2800,"bu","14:15:27",11700
48.8,1.2,400,"bu","13:56:10",8900
48.7,1.1,1000,"","13:10:32",8500
48.7,1.1,1000,"sd","13:10:10",7500
48.7,1.1,200,"sd","13:09:33",6500
48.7,1.1,2800,"bu","13:09:17",6300
48,0.4,1000,"bu","13:03:58",3500
47.5,-0.1,100,"bu","13:00:02",2500
47.5,-0.1,100,"sd","11:24:50",2400
47.5,-0.1,1000,"sd","11:04:02",2300
47.6,0,300,"","10:46:52",1300
48,0.4,200,"sd","10:12:19",1000
48.1,0.5,200,"","09:37:10",800
48.7,1.1,100,"bu","09:16:02",600
48,0.4,500,"","09:10:33",500
