"price","change","match_qtty","side","time","total_vol"
38.4,0.4,27000,"","14:45:00",764000
37.7,-0.3,1000,"sd","14:22:06",706600
38.2,0.2,500,"sd","14:14:17",694900
38,0,500,"bu","14:12:14",684300
37.9,-0.1,100,"sd","14:15:05",695000
37.65,-0.35,700,"sd","14:15:05",695900
37.8,-0.2,100,"sd","14:15:05",695200
37.85,-0.15,100,"sd","14:15:05",695100
38,0,7600,"bu","14:11:08",680900
37.85,-0.15,500,"sd","14:11:07",673300
38.1,0.1,100,"sd","14:11:27",683600
38,0,100,"bu","14:14:05",694400
37.6,-0.4,400,"sd","14:15:21",696400
37.65,-0.35,100,"sd","14:15:21",696000
38.1,0.1,2400,"sd","14:11:22",683500
38.4,0.4,500,"bu","14:13:06",694300
38.35,0.35,300,"bu","14:13:06",693800
38.3,0.3,3900,"bu","14:13:06",693500
38.25,0.25,1100,"bu","14:13:06",689600
38.2,0.2,300,"bu","14:13:06",688500
38,0,3900,"bu","14:13:06",688200
38.1,0.1,200,"sd","14:11:19",681100
38,0,6000,"sd","14:10:57",672800
38.1,0.1,700,"sd","14:10:57",666800
38.3,0.3,600,"bu","14:29:34",734600
38.3,0.3,5300,"bu","14:29:33",734000
38.35,0.35,1800,"bu","14:29:48",736400
38.3,0.3,100,"bu","14:29:19",728700
38,0,100,"sd","14:11:54",683800
38,0,100,"sd","14:11:34",683700
37.6,-0.4,400,"sd","14:00:14",619700
38.1,0.1,2000,"sd","14:10:52",666100
38.3,0.3,100,"bu","14:09:30",662700
38,0,100,"bu","14:05:39",642700
37.8,-0.2,100,"bu","14:04:36",632300
37.95,-0.05,2000,"bu","14:05:36",642600
37.7,-0.3,500,"sd","14:20:00",705100
37.9,-0.1,1000,"sd","14:05:33",640600
38,0,100,"sd","14:06:05",652300
37.8,-0.2,500,"bu","14:04:26",632200
38.2,0.2,100,"bu","14:06:29",652400
37.7,-0.3,200,"sd","14:19:41",704600
37.9,-0.1,1800,"bu","14:05:27",639600
38,0,6000,"bu","14:05:57",652200
38.2,0.2,400,"bu","14:07:05",653300
38.15,0.15,500,"bu","14:07:05",652900
38,0,1100,"bu","14:05:50",646200
37.85,-0.15,1500,"bu","14:04:49",633900
38.2,0.2,200,"bu","14:07:16",653600
38,0,2400,"bu","14:05:48",645100
37.8,-0.2,100,"bu","14:04:44",632400
38.1,0.1,100,"bu","14:07:12",653400
37.95,-0.05,100,"bu","14:26:05",719100
37.8,-0.2,800,"bu","14:26:05",719000
37.8,-0.2,1200,"sd","14:26:04",718200
38.1,0.1,300,"bu","14:28:05",724900
37.25,-0.75,500,"bu","13:35:51",513100
38.1,0.1,1600,"bu","14:28:04",724600
38.1,0.1,100,"bu","14:27:49",722700
38.3,0.3,1100,"bu","14:28:17",727600
38.25,0.25,100,"bu","14:28:17",726500
38.2,0.2,1500,"bu","14:28:17",726400
38.1,0.1,300,"bu","14:27:56",723000
37.95,-0.05,500,"bu","14:26:23",719600
37.6,-0.4,1000,"bu","14:02:49",624200
37.7,-0.3,100,"bu","14:04:04",631200
37.6,-0.4,1000,"bu","14:02:40",623200
37.6,-0.4,900,"bu","14:03:21",629100
37.65,-0.35,4000,"bu","13:39:53",536400
37.7,-0.3,1000,"bu","14:03:50",631100
37.6,-0.4,1000,"bu","14:03:00",628200
37.55,-0.45,3000,"sd","14:02:58",627200
37.7,-0.3,1000,"bu","14:03:36",630100
