"price","change","match_qtty","side","time","total_vol"
19.75,0.35,658000,"","14:45:00",16867800
19.4,0,700,"sd","14:22:19",15106200
19.4,0,5000,"sd","14:22:18",15105500
19.45,0.05,100,"bu","14:22:17",15100500
19.4,0,5000,"sd","14:22:16",15100400
19.4,0,1000,"sd","14:22:13",15095400
19.4,0,500,"sd","14:22:10",15094400
19.55,0.15,500,"bu","14:25:06",15360200
19.5,0.1,2000,"sd","14:25:06",15359700
19.55,0.15,50000,"bu","14:25:05",15357700
19.5,0.1,100,"sd","14:25:03",15307700
19.4,0,700,"sd","14:21:55",15093900
19.5,0.1,3500,"bu","14:25:01",15307600
19.4,0,1400,"sd","14:22:23",15107600
19.4,0,9200,"sd","14:16:04",14981300
19.4,0,10000,"sd","14:16:03",14972100
19.4,0,8900,"sd","14:16:02",14962100
19.4,0,5000,"sd","14:15:37",14841600
19.45,0.05,15000,"bu","14:15:36",14836600
19.4,0,5600,"sd","14:15:09",14809200
19.4,0,5100,"sd","14:14:44",14791200
19.45,0.05,2000,"bu","14:14:16",14760600
19.45,0.05,6000,"bu","14:14:15",14758600
19.45,0.05,200,"bu","14:13:50",14743800
19.45,0.05,100,"bu","14:13:48",14743600
19.45,0.05,100,"bu","14:13:47",14743500
19.45,0.05,400,"bu","14:13:21",14690500
19.45,0.05,100,"bu","14:13:20",14690100
19.45,0.05,100,"bu","14:13:18",14690000
19.45,0.05,500,"sd","14:12:14",14617900
19.45,0.05,600,"sd","14:12:14",14617400
19.45,0.05,900,"sd","14:11:53",14595300
19.5,0.1,1000,"bu","14:11:51",14594400
19.5,0.1,2000,"bu","14:11:31",14584100
19.4,0,25000,"sd","14:16:01",14953200
19.4,0,200,"sd","14:16:01",14928200
19.4,0,1700,"sd","14:16:00",14928000
19.4,0,14100,"sd","14:15:59",14926300
19.45,0.05,100,"bu","14:15:33",14821600
19.4,0,2500,"sd","14:15:07",14803600
19.4,0,2500,"sd","14:15:06",14801100
19.4,0,200,"sd","14:15:05",14798600
19.45,0.05,200,"bu","14:14:14",14752600
19.45,0.05,100,"bu","14:14:13",14752400
19.45,0.05,100,"bu","14:13:47",14743400
19.45,0.05,2000,"bu","14:13:46",14743300
19.45,0.05,1100,"bu","14:13:18",14689900
19.45,0.05,1000,"bu","14:13:17",14688800
19.4,0,400,"sd","14:13:17",14687800
19.45,0.05,100,"bu","14:13:17",14687400
19.45,0.05,3000,"bu","14:12:57",14672700
19.45,0.05,1000,"bu","14:12:55",14669700
19.45,0.05,10200,"sd","14:12:34",14658700
19.45,0.05,6300,"sd","14:12:12",14616800
19.5,0.1,10000,"sd","14:11:08",14542200
19.4,0,6100,"sd","14:15:58",14912200
19.4,0,33000,"sd","14:15:56",14906100
19.4,0,5000,"sd","14:15:31",14821500
19.4,0,1000,"sd","14:15:29",14816500
19.4,0,1200,"sd","14:15:02",14798400
19.4,0,1000,"sd","14:14:38",14786100
19.45,0.05,1100,"bu","14:14:12",14752300
19.45,0.05,300,"bu","14:14:11",14751200
19.4,0,1500,"sd","14:14:10",14750900
19.45,0.05,100,"bu","14:14:10",14749400
19.45,0.05,200,"bu","14:13:45",14741300
19.45,0.05,200,"bu","14:13:16",14687300
19.45,0.05,10200,"bu","14:13:14",14687100
19.45,0.05,2000,"bu","14:12:53",14668700
19.45,0.05,500,"sd","14:12:11",14610500
19.5,0.1,100,"bu","14:12:11",14610000
19.45,0.05,400,"sd","14:12:09",14609900
19.5,0.1,20100,"bu","14:11:30",14582100
19.5,0.1,500,"bu","14:11:29",14562000
19.4,0,1000,"sd","14:15:55",14873100
19.45,0.05,5000,"bu","14:14:37",14785100
19.4,0,6000,"sd","14:14:36",14780100
19.45,0.05,100,"bu","14:14:09",14749300
19.45,0.05,200,"bu","14:14:08",14749200
19.45,0.05,200,"bu","14:14:07",14749000
19.45,0.05,100,"bu","14:13:43",14741100
19.45,0.05,1400,"bu","14:13:42",14741000
19.45,0.05,100,"bu","14:13:41",14739600
19.4,0,300,"sd","14:13:14",14676900
19.45,0.05,100,"bu","14:13:13",14676600
19.45,0.05,100,"bu","14:13:13",14676500
19.45,0.05,100,"bu","14:13:11",14676400
19.5,0.1,4000,"bu","14:12:08",14609500
19.45,0.05,5400,"sd","14:12:07",14605500
19.5,0.1,1000,"bu","14:11:27",14561500
19.5,0.1,100,"bu","14:11:26",14560500
