"price","change","match_qtty","side","time","total_vol"
14.75,-0.45,34000,"","14:45:00",90100
14.9,-0.3,500,"sd","14:22:22",49000
15,-0.2,100,"bu","14:12:31",41200
14.9,-0.3,300,"sd","14:16:14",44500
14.9,-0.3,3000,"sd","14:16:09",44200
14.95,-0.25,3000,"sd","14:09:51",38800
14.95,-0.25,1100,"sd","14:09:50",35800
14.95,-0.25,2000,"sd","14:09:56",40800
14.9,-0.3,1800,"sd","14:21:03",48500
15,-0.2,100,"bu","14:28:46",56100
15,-0.2,200,"bu","14:28:23",56000
14.85,-0.35,800,"bu","14:05:07",25500
14.9,-0.3,100,"bu","13:37:27",23700
14.9,-0.3,5500,"bu","14:08:26",31100
14.8,-0.4,300,"sd","13:39:27",24000
14.95,-0.25,3600,"bu","14:08:50",34700
14.9,-0.3,100,"bu","14:08:14",25600
14.85,-0.35,900,"bu","13:17:25",23200
14.7,-0.5,1000,"sd","11:10:57",21100
14.7,-0.5,1000,"sd","11:10:33",20100
14.9,-0.3,100,"bu","11:13:36",21300
14.8,-0.4,100,"bu","11:13:36",21200
14.75,-0.45,600,"sd","10:34:27",13500
14.7,-0.5,400,"sd","10:34:27",13900
14.9,-0.3,100,"bu","13:44:11",24100
14.9,-0.3,100,"bu","10:28:06",12900
14.9,-0.3,200,"bu","14:19:23",46700
14.9,-0.3,1800,"sd","14:17:43",46500
14.85,-0.35,100,"sd","13:23:58",23500
14.75,-0.45,3000,"sd","09:35:47",4200
14.95,-0.25,100,"bu","09:36:39",4300
14.9,-0.3,100,"bu","13:21:12",23400
14.85,-0.35,100,"sd","13:21:12",23300
14.9,-0.3,100,"bu","10:42:49",15100
14.9,-0.3,100,"bu","11:20:11",22300
14.7,-0.5,900,"sd","11:19:57",22200
14.7,-0.5,3900,"sd","11:06:29",19100
14.75,-0.45,1000,"bu","10:12:21",12500
14.75,-0.45,1000,"sd","10:06:20",11000
14.95,-0.25,3600,"bu","14:27:46",55800
14.9,-0.3,2700,"bu","14:24:02",52100
14.95,-0.25,100,"bu","14:24:57",52200
14.95,-0.25,100,"bu","09:46:10",9900
14.85,-0.35,200,"sd","14:22:57",49200
14.85,-0.35,200,"sd","14:23:27",49400
14.95,-0.25,300,"sd","14:10:36",41100
14.9,-0.3,200,"bu","14:16:42",44700
14.85,-0.35,100,"bu","13:56:59",24700
14.85,-0.35,100,"bu","13:54:31",24200
14.8,-0.4,400,"sd","13:56:21",24600
14.85,-0.35,100,"sd","13:28:17",23600
14.7,-0.5,1000,"sd","10:37:09",14900
14.75,-0.45,300,"bu","10:23:59",12800
14.75,-0.45,500,"bu","10:08:12",11500
14.7,-0.5,100,"sd","10:38:52",15000
14.75,-0.45,100,"sd","11:00:28",15200
14.9,-0.3,100,"sd","09:48:07",10000
14.7,-0.5,5300,"sd","09:42:14",9800
14.75,-0.45,200,"sd","09:42:14",4500
15,-0.2,100,"bu","09:20:44",1200
14.75,-0.45,700,"bu","09:20:44",1100
14.75,-0.45,300,"bu","09:20:33",400
14.75,-0.45,100,"sd","09:20:19",100
