"price","change","match_qtty","side","time","total_vol"
19.3,0,395200,"","14:45:01",5124700
19.1,-0.2,300,"bu","14:22:13",4601400
19.1,-0.2,300,"bu","14:22:06",4601100
19.1,-0.2,300,"bu","14:21:55",4600800
19.2,-0.1,400,"bu","14:16:02",4442900
19.2,-0.1,100,"bu","14:15:36",4436800
19.1,-0.2,200,"sd","14:15:07",4436700
19.2,-0.1,10000,"bu","14:13:20",4388700
19.2,-0.1,100,"bu","14:12:09",4375400
19.2,-0.1,500,"sd","14:14:37",4430900
19.3,0,900,"bu","14:11:03",4364900
19.2,-0.1,1000,"sd","14:14:33",4430400
19.2,-0.1,8000,"sd","14:14:08",4413800
19.2,-0.1,3000,"bu","14:12:27",4378400
19.2,-0.1,600,"bu","14:14:55",4436500
19.2,-0.1,600,"bu","14:13:40",4399300
19.2,-0.1,2400,"sd","14:13:39",4398700
19.2,-0.1,700,"sd","14:12:03",4375300
19.2,-0.1,3500,"bu","14:14:30",4429400
19.2,-0.1,200,"sd","14:12:01",4374600
19.2,-0.1,5000,"sd","14:14:00",4405800
19.2,-0.1,200,"bu","14:12:42",4378600
19.2,-0.1,4000,"sd","14:12:00",4374400
19.1,-0.2,5700,"sd","14:15:44",4442500
19.2,-0.1,5000,"bu","14:14:48",4435900
19.2,-0.1,8500,"sd","14:14:22",4425900
19.2,-0.1,300,"sd","14:14:21",4417400
19.2,-0.1,5000,"sd","14:11:35",4370400
19.5,0.2,400,"bu","14:29:24",4715300
19.5,0.2,1500,"bu","14:29:33",4718000
19.5,0.2,1500,"bu","14:29:23",4714900
19.4,0.1,1200,"sd","14:29:31",4716500
19.4,0.1,3000,"sd","14:29:40",4724000
19.4,0.1,3000,"sd","14:29:38",4721000
19.1,-0.2,38000,"sd","14:16:04",4480900
19.2,-0.1,1300,"sd","14:14:19",4417100
19.2,-0.1,2000,"sd","14:14:18",4415800
19.2,-0.1,1500,"sd","14:13:51",4400800
19.2,-0.1,100,"bu","14:12:59",4378700
19.3,0,500,"bu","14:11:33",4365400
19.3,0,4000,"bu","14:09:27",4337000
19.3,0,15400,"sd","14:09:26",4333000
19.1,-0.2,500,"sd","14:00:30",3984500
19.3,0,100,"sd","14:09:22",4317600
19.1,-0.2,100,"sd","14:00:25",3984000
19.1,-0.2,500,"sd","14:00:23",3983900
19.1,-0.2,1100,"bu","14:00:48",3988200
19.1,-0.2,2600,"bu","14:00:47",3987100
19.1,-0.2,2000,"","14:00:06",3983400
19.3,0,3000,"sd","14:09:50",4344200
19.3,0,1100,"bu","14:10:48",4364000
19.3,0,200,"bu","14:10:47",4362900
