"price","change","match_qtty","side","time","total_vol"
3.2,0.1,100,"bu","14:59:59",1328000
3.1,0,200,"","14:59:36",1327900
3.2,0.1,100,"bu","14:49:29",1327700
3.1,0,6000,"sd","14:47:23",1327600
3.2,0.1,100,"bu","14:45:54",1321600
3.1,0,8000,"","14:39:36",1321500
3.1,0,7500,"","14:38:10",1313500
3.1,0,200,"sd","14:32:03",1306000
3.1,0,900,"bu","14:29:52",1305800
3.1,0,100,"bu","14:29:41",1304900
3.1,0,200,"","14:29:01",1304800
3.1,0,19700,"sd","14:28:01",1304600
3.1,0,300,"sd","14:27:47",1284900
3.1,0,2400,"sd","14:26:31",1284600
3.2,0.1,100,"bu","14:24:00",1282200
3.1,0,4000,"","14:23:41",1282100
3.1,0,35500,"sd","14:23:31",1278100
3.1,0,21100,"","14:20:55",1242600
3.1,0,200,"sd","14:16:26",1221500
3.1,0,1600,"bu","14:16:18",1221300
3.1,0,200,"sd","14:16:16",1219700
3.1,0,4100,"sd","14:16:09",1219500
3.1,0,4000,"sd","14:15:06",1215400
3.1,0,1900,"sd","14:14:00",1211400
3.1,0,3200,"sd","14:13:52",1209500
3.1,0,3000,"sd","14:13:35",1206300
3.1,0,300,"bu","14:12:13",1203300
3.1,0,200,"bu","14:11:51",1203000
3.1,0,1000,"bu","14:11:35",1202800
3.1,0,25500,"bu","14:11:03",1201800
3.1,0,1500,"sd","14:10:01",1176300
3.2,0.1,100,"bu","14:09:36",1174800
3.1,0,100,"sd","14:03:34",1174700
3.1,0,56200,"","14:01:22",1174600
3.2,0.1,100,"bu","13:59:53",1118400
3.1,0,4400,"sd","13:54:48",1118300
3.2,0.1,100,"bu","13:54:47",1113900
3.1,0,20000,"sd","13:53:12",1113800
3.2,0.1,100,"bu","13:28:10",1093800
3.1,0,55600,"sd","13:27:34",1093700
3.1,0,200,"sd","13:23:56",1038100
3.1,0,1000,"sd","13:23:48",1037900
3.1,0,110200,"sd","13:23:26",1036900
3.1,0,3000,"sd","13:22:46",926700
3.1,0,1000,"sd","13:22:23",923700
3.1,0,17000,"sd","13:20:57",922700
3.1,0,1000,"sd","13:17:57",905700
3.2,0.1,100,"bu","13:17:06",904700
3.1,0,2300,"sd","13:15:57",904600
3.1,0,1000,"sd","13:15:19",902300
3.1,0,10000,"sd","13:10:47",901300
3.1,0,100,"sd","13:08:43",891300
3.2,0.1,100,"bu","13:05:06",891200
3.1,0,5000,"sd","13:04:59",891100
3.1,0,100,"sd","13:03:03",886100
3.1,0,1000,"sd","13:00:03",886000
3.1,0,8100,"sd","11:29:23",885000
3.1,0,48900,"","11:28:35",876900
3.1,0,5900,"sd","11:26:41",828000
3.2,0.1,100,"bu","11:13:03",822100
3.1,0,1000,"sd","11:12:36",822000
3.1,0,15000,"sd","11:09:35",821000
3.1,0,3700,"sd","11:07:05",806000
3.2,0.1,1500,"bu","10:57:55",802300
3.2,0.1,100,"bu","10:44:12",800800
3.2,0.1,100,"bu","10:14:20",800700
3.2,0.1,10000,"bu","10:05:31",800600
3.2,0.1,200,"bu","09:56:12",790600
3.1,0,2000,"sd","09:55:58",790400
3.1,0,200,"sd","09:54:16",788400
3.1,0,188600,"sd","09:52:53",788200
3.1,0,2000,"sd","09:52:39",599600
3.1,0,50000,"sd","09:50:16",597600
3.2,0.1,100,"bu","09:42:37",547600
3.2,0.1,500,"bu","09:39:02",547500
3.2,0.1,1100,"bu","09:38:34",547000
3.2,0.1,11000,"bu","09:38:00",545900
3.2,0.1,5000,"bu","09:29:47",534900
3.2,0.1,100,"bu","09:28:09",529900
3.2,0.1,300,"bu","09:27:55",529800
3.2,0.1,100,"bu","09:23:35",529500
3.2,0.1,5000,"bu","09:20:18",529400
3.2,0.1,10000,"bu","09:20:00",524400
3.2,0.1,400,"bu","09:17:59",514400
3.2,0.1,2000,"bu","09:17:47",514000
3.2,0.1,3000,"bu","09:17:31",512000
3.2,0.1,5000,"bu","09:16:48",509000
3.2,0.1,900,"bu","09:11:35",504000
3.2,0.1,3000,"bu","09:02:19",503100
3.2,0.1,100,"bu","09:01:48",500100
3,-0.1,500000,"bu","09:00:01",500000
