"price","change","match_qtty","side","time","total_vol"
77.8,0.8,19700,"","14:45:01",596100
77.8,0.8,700,"bu","14:29:48",576400
77.8,0.8,100,"bu","14:29:38",575700
77.6,0.6,100,"sd","14:29:30",575600
77.7,0.7,100,"sd","14:29:30",575500
77.7,0.7,100,"bu","14:29:30",575400
77.7,0.7,100,"sd","14:29:20",575300
77.7,0.7,500,"sd","14:29:08",575200
77.7,0.7,1200,"sd","14:28:47",574700
77.8,0.8,200,"bu","14:27:59",573500
77.8,0.8,100,"bu","14:27:39",573300
77.8,0.8,100,"bu","14:27:20",573200
77.8,0.8,100,"bu","14:27:02",573100
77.8,0.8,300,"sd","14:26:38",573000
77.8,0.8,500,"bu","14:26:21",572700
77.8,0.8,200,"sd","14:26:03",572200
77.8,0.8,500,"sd","14:25:59",572000
77.8,0.8,900,"bu","14:25:43",571500
77.8,0.8,100,"bu","14:25:37",570600
77.8,0.8,100,"sd","14:25:20",570500
77.8,0.8,300,"sd","14:25:13",570400
77.8,0.8,300,"sd","14:24:53",570100
77.8,0.8,900,"sd","14:24:48",569800
77.8,0.8,100,"sd","14:24:42",568900
77.8,0.8,200,"sd","14:24:36",568800
77.8,0.8,300,"sd","14:24:36",568600
77.8,0.8,4700,"sd","14:24:34",568300
77.8,0.8,400,"sd","14:24:34",563600
77.8,0.8,100,"sd","14:24:25",563200
77.8,0.8,3000,"sd","14:24:09",563100
77.8,0.8,500,"sd","14:24:03",560100
77.8,0.8,3800,"sd","14:23:36",559600
77.8,0.8,500,"sd","14:23:30",555800
77.8,0.8,100,"sd","14:23:08",555300
77.8,0.8,500,"sd","14:22:58",555200
77.8,0.8,500,"sd","14:22:24",554700
77.9,0.9,500,"bu","14:22:16",554200
77.9,0.9,100,"bu","14:22:09",553700
77.9,0.9,100,"bu","14:21:58",553600
77.8,0.8,500,"sd","14:21:51",553500
77.9,0.9,100,"bu","14:21:49",553000
77.9,0.9,200,"bu","14:21:35",552900
77.8,0.8,500,"sd","14:21:19",552700
77.9,0.9,500,"bu","14:21:18",552200
77.9,0.9,2000,"bu","14:21:09",551700
77.8,0.8,400,"sd","14:20:46",549700
77.8,0.8,100,"sd","14:20:16",549300
77.8,0.8,400,"sd","14:20:13",549200
77.8,0.8,3100,"sd","14:20:06",548800
77.9,0.9,100,"bu","14:19:42",545700
77.8,0.8,400,"sd","14:19:41",545600
77.8,0.8,100,"sd","14:19:38",545200
77.9,0.9,100,"bu","14:19:22",545100
77.9,0.9,2800,"bu","14:19:15",545000
77.8,0.8,100,"sd","14:19:09",542200
77.8,0.8,400,"sd","14:19:08",542100
77.8,0.8,400,"sd","14:18:35",541700
77.9,0.9,600,"bu","14:18:30",541300
77.8,0.8,100,"sd","14:18:26",540700
77.8,0.8,400,"sd","14:18:04",540600
77.9,0.9,100,"bu","14:17:59",540200
77.9,0.9,1000,"bu","14:17:39",540100
77.8,0.8,400,"sd","14:17:29",539100
77.9,0.9,1200,"bu","14:17:23",538700
77.9,0.9,100,"bu","14:17:17",537500
77.9,0.9,400,"bu","14:17:13",537400
77.8,0.8,400,"sd","14:16:56",537000
77.8,0.8,400,"sd","14:16:49",536600
77.9,0.9,100,"bu","14:16:36",536200
77.9,0.9,100,"bu","14:16:32",536100
77.8,0.8,100,"sd","14:16:24",536000
77.8,0.8,400,"sd","14:16:23",535900
77.9,0.9,100,"bu","14:16:14",535500
77.8,0.8,500,"sd","14:15:50",535400
77.8,0.8,100,"sd","14:15:46",534900
77.8,0.8,100,"sd","14:15:38",534800
77.8,0.8,500,"sd","14:15:28",534700
77.8,0.8,300,"sd","14:15:16",534200
77.8,0.8,400,"sd","14:15:12",533900
77.8,0.8,100,"sd","14:15:10",533500
77.8,0.8,100,"sd","14:14:57",533400
77.8,0.8,400,"sd","14:14:39",533300
77.8,0.8,200,"sd","14:14:27",532900
77.9,0.9,400,"sd","14:14:18",532700
77.9,0.9,1000,"sd","14:14:07",532300
77.9,0.9,400,"sd","14:14:06",531300
77.9,0.9,400,"sd","14:13:34",530900
77.9,0.9,200,"bu","14:13:29",530500
77.9,0.9,200,"bu","14:13:13",530300
77.9,0.9,200,"bu","14:13:12",530100
77.9,0.9,200,"bu","14:13:09",529900
77.9,0.9,4200,"bu","14:13:05",529700
77.8,0.8,400,"sd","14:13:00",525500
77.9,0.9,300,"bu","14:12:59",525100
77.8,0.8,100,"sd","14:12:30",524800
77.8,0.8,400,"sd","14:12:27",524700
77.8,0.8,500,"sd","14:12:21",524300
77.8,0.8,400,"sd","14:11:55",523800
77.8,0.8,400,"sd","14:11:22",523400
77.9,0.9,100,"bu","14:11:02",523000
77.9,0.9,1000,"bu","14:10:50",522900
77.8,0.8,400,"sd","14:10:49",521900
77.8,0.8,100,"sd","14:10:24",521500
77.8,0.8,400,"sd","14:10:15",521400
77.9,0.9,200,"bu","14:10:01",521000
77.9,0.9,600,"bu","14:09:48",520800
77.8,0.8,400,"sd","14:09:43",520200
77.9,0.9,100,"bu","14:09:24",519800
77.9,0.9,1000,"bu","14:09:16",519700
77.8,0.8,300,"sd","14:09:10",518700
77.8,0.8,900,"sd","14:09:03",518400
77.8,0.8,300,"sd","14:08:36",517500
77.8,0.8,500,"sd","14:08:19",517200
78,1,1000,"bu","14:08:14",516700
77.8,0.8,300,"sd","14:08:04",515700
77.9,0.9,100,"sd","14:07:49",515400
78,1,400,"bu","14:07:35",515300
77.9,0.9,100,"bu","14:07:35",514900
77.9,0.9,2900,"sd","14:07:33",514800
77.9,0.9,300,"sd","14:07:31",511900
77.9,0.9,300,"sd","14:07:29",511600
77.9,0.9,3000,"sd","14:07:10",511300
77.9,0.9,300,"sd","14:06:58",508300
78,1,1000,"bu","14:06:47",508000
77.9,0.9,800,"sd","14:06:43",507000
