"price","change","match_qtty","side","time","total_vol"
90.7,-1.3,10600,"","14:45:00",263000
91.4,-0.6,200,"bu","14:29:30",252400
91.4,-0.6,800,"sd","14:29:21",252200
91.5,-0.5,200,"sd","14:28:16",251400
91.5,-0.5,800,"bu","14:28:07",251200
91.4,-0.6,2000,"sd","14:28:06",250400
91.4,-0.6,2000,"sd","14:27:56",248400
91.5,-0.5,3100,"bu","14:27:52",246400
91.4,-0.6,400,"bu","14:27:47",243300
91.4,-0.6,100,"bu","14:26:13",242900
91.5,-0.5,200,"bu","14:26:07",242800
91.4,-0.6,100,"bu","14:26:01",242600
91,-1,300,"bu","14:25:36",242500
91,-1,1700,"sd","14:25:14",242200
91,-1,1800,"sd","14:25:07",240500
91,-1,1800,"sd","14:24:57",238700
91,-1,1800,"sd","14:22:56",236900
91.5,-0.5,400,"bu","14:22:46",235100
91.4,-0.6,100,"bu","14:22:46",234700
91.5,-0.5,100,"bu","14:22:24",234600
91.4,-0.6,100,"bu","14:22:21",234500
91,-1,700,"sd","14:22:16",234400
91.3,-0.7,200,"sd","14:22:16",233700
91.5,-0.5,300,"bu","14:21:29",233500
91.5,-0.5,2800,"sd","14:20:33",233200
91.7,-0.3,100,"bu","14:19:56",230400
91.5,-0.5,300,"sd","14:19:37",230300
91.5,-0.5,2000,"bu","14:19:32",230000
91.5,-0.5,500,"bu","14:18:40",228000
91.5,-0.5,100,"bu","14:18:14",227500
91.5,-0.5,100,"sd","14:18:10",227400
91.5,-0.5,100,"bu","14:17:53",227300
91.5,-0.5,1500,"bu","14:17:33",227200
91.4,-0.6,1500,"bu","14:17:33",225700
91.3,-0.7,100,"sd","14:17:28",224200
91.3,-0.7,1000,"bu","14:16:33",224100
91.2,-0.8,3200,"bu","14:16:19",223100
91,-1,2800,"sd","14:16:01",219900
91.1,-0.9,200,"sd","14:16:01",217100
91.1,-0.9,200,"bu","14:15:57",216900
91.1,-0.9,100,"bu","14:15:13",216700
91.1,-0.9,100,"bu","14:14:54",216600
91,-1,300,"bu","14:14:49",216500
90.9,-1.1,100,"sd","14:14:07",216200
91,-1,100,"bu","14:13:51",216100
90.9,-1.1,500,"sd","14:13:47",216000
90.9,-1.1,500,"sd","14:13:11",215500
90.9,-1.1,1000,"sd","14:13:07",215000
91,-1,10800,"sd","14:12:52",214000
91.1,-0.9,100,"bu","14:12:15",203200
91.1,-0.9,300,"bu","14:11:05",203100
91.1,-0.9,500,"bu","14:10:37",202800
91.1,-0.9,400,"bu","14:10:33",202300
91.1,-0.9,100,"bu","14:10:05",201900
91,-1,1000,"sd","14:09:50",201800
