"price","change","match_qtty","side","time","total_vol"
7.58,0.01,53400,"","14:45:00",377200
7.57,0,3600,"bu","14:29:56",323800
7.57,0,900,"sd","14:29:30",320200
7.58,0.01,100,"bu","14:29:29",319300
7.57,0,1000,"sd","14:29:23",319200
7.57,0,21100,"bu","14:29:20",318200
7.57,0,2600,"bu","14:29:06",297100
7.57,0,100,"bu","14:29:00",293500
7.56,-0.01,4900,"bu","14:29:00",293400
7.55,-0.02,600,"sd","14:28:56",288500
7.56,-0.01,100,"bu","14:28:46",287900
7.55,-0.02,3900,"bu","14:28:37",287800
7.55,-0.02,200,"bu","14:28:31",283900
7.55,-0.02,300,"bu","14:28:22",283700
7.55,-0.02,600,"bu","14:28:09",283400
7.5,-0.07,4400,"bu","14:28:02",282400
7.5,-0.07,100,"bu","14:27:49",278000
7.5,-0.07,500,"bu","14:26:26",277900
7.54,-0.03,1000,"bu","14:24:39",277400
7.5,-0.07,1000,"sd","14:23:44",276400
7.57,0,100,"bu","14:22:01",275400
7.5,-0.07,1800,"sd","14:21:04",275300
7.51,-0.06,100,"sd","14:21:04",273500
7.57,0,100,"bu","14:19:47",273400
7.51,-0.06,2200,"sd","14:19:43",273300
7.57,0,100,"bu","14:19:14",271100
7.5,-0.07,600,"sd","14:18:51",271000
7.55,-0.02,400,"sd","14:18:51",270400
7.55,-0.02,1000,"sd","14:18:49",270000
7.57,0,300,"bu","14:18:43",269000
7.55,-0.02,200,"sd","14:18:40",268700
7.57,0,200,"bu","14:18:28",268500
7.56,-0.01,2800,"bu","14:18:28",268300
7.55,-0.02,13400,"bu","14:18:19",265500
7.55,-0.02,1300,"bu","14:18:07",252100
7.54,-0.03,4700,"bu","14:18:07",250800
7.54,-0.03,300,"bu","14:17:39",246100
7.5,-0.07,3100,"bu","14:17:32",245800
7.5,-0.07,2000,"bu","14:16:25",242700
7.5,-0.07,2000,"bu","14:14:29",240700
7.5,-0.07,200,"bu","14:12:38",238700
7.5,-0.07,1000,"bu","14:10:12",238500
7.5,-0.07,1200,"sd","14:09:34",237500
7.55,-0.02,100,"bu","14:06:29",236300
7.5,-0.07,5700,"bu","14:06:21",236200
7.46,-0.11,1000,"sd","14:06:21",230500
7.5,-0.07,200,"bu","14:05:47",229500
7.48,-0.09,3800,"bu","14:05:47",229300
7.48,-0.09,2000,"bu","14:05:36",225500
7.48,-0.09,100,"bu","14:05:06",223500
7.47,-0.1,1400,"bu","14:04:56",223400
7.45,-0.12,100,"bu","14:04:56",222000
7.45,-0.12,2000,"bu","14:03:52",221900
7.45,-0.12,1500,"bu","14:03:42",219900
7.45,-0.12,1400,"sd","14:03:34",218400
7.45,-0.12,100,"sd","14:02:55",217000
7.45,-0.12,3000,"bu","14:02:30",216900
7.41,-0.16,4300,"sd","14:02:16",213900
7.45,-0.12,100,"bu","14:02:08",209600
7.45,-0.12,200,"bu","13:59:33",209500
7.45,-0.12,100,"bu","13:58:49",209300
7.4,-0.17,4700,"bu","13:54:37",209200
7.4,-0.17,100,"bu","13:54:26",204500
7.4,-0.17,200,"sd","13:53:08",204400
7.4,-0.17,3300,"sd","13:52:51",204200
7.41,-0.16,2700,"sd","13:52:51",200900
7.45,-0.12,100,"bu","13:51:40",198200
7.45,-0.12,100,"bu","13:46:29",198100
7.45,-0.12,100,"bu","13:42:26",198000
7.42,-0.15,700,"sd","13:42:23",197900
7.43,-0.14,300,"sd","13:42:23",197200
7.45,-0.12,200,"bu","13:41:14",196900
7.45,-0.12,1100,"sd","13:41:11",196700
7.47,-0.1,100,"bu","13:40:51",195600
7.45,-0.12,3200,"bu","13:40:40",195500
7.43,-0.14,500,"bu","13:40:40",192300
7.43,-0.14,200,"bu","13:38:20",191800
7.43,-0.14,100,"bu","13:37:09",191600
7.43,-0.14,500,"bu","13:37:05",191500
7.43,-0.14,100,"bu","13:36:29",191000
7.43,-0.14,300,"bu","13:35:25",190900
7.43,-0.14,300,"sd","13:35:09",190600
7.43,-0.14,500,"sd","13:34:56",190300
7.45,-0.12,100,"bu","13:32:34",189800
7.42,-0.15,4000,"sd","13:32:26",189700
7.45,-0.12,100,"bu","13:29:22",185700
7.45,-0.12,100,"bu","13:24:22",185600
7.41,-0.16,3000,"sd","13:23:00",185500
7.48,-0.09,100,"bu","13:20:55",182500
7.48,-0.09,100,"bu","13:20:38",182400
7.47,-0.1,100,"bu","13:20:38",182300
7.48,-0.09,900,"bu","13:20:35",182200
7.48,-0.09,3000,"bu","13:20:32",181300
7.48,-0.09,4000,"bu","13:20:29",178300
7.46,-0.11,3800,"bu","13:20:29",174300
7.45,-0.12,2200,"bu","13:20:29",170500
7.45,-0.12,100,"bu","13:20:16",168300
7.41,-0.16,1300,"sd","13:20:12",168200
7.4,-0.17,4700,"sd","13:19:40",166900
7.45,-0.12,300,"sd","13:19:40",162200
7.45,-0.12,1000,"bu","13:19:00",161900
7.4,-0.17,9500,"bu","13:17:46",160900
7.4,-0.17,100,"bu","13:17:43",151400
7.4,-0.17,100,"bu","13:17:38",151300
7.4,-0.17,500,"bu","13:17:35",151200
7.4,-0.17,1800,"sd","13:17:33",150700
7.4,-0.17,4900,"bu","13:16:56",148900
7.4,-0.17,300,"bu","13:16:44",144000
7.4,-0.17,1000,"bu","13:16:42",143700
7.4,-0.17,100,"bu","13:16:38",142700
7.4,-0.17,200,"bu","13:16:36",142600
7.4,-0.17,200,"bu","13:16:35",142400
7.4,-0.17,700,"bu","13:16:32",142200
7.4,-0.17,2600,"sd","13:16:30",141500
7.4,-0.17,400,"sd","13:16:16",138900
7.4,-0.17,4200,"bu","13:15:47",138500
7.4,-0.17,800,"sd","13:15:37",134300
7.4,-0.17,2900,"bu","13:15:11",133500
7.4,-0.17,11700,"sd","13:15:10",130600
7.41,-0.16,400,"sd","13:15:10",118900
7.4,-0.17,2500,"bu","13:11:05",118500
7.4,-0.17,900,"sd","13:11:04",116000
7.4,-0.17,14900,"sd","13:11:03",115100
7.41,-0.16,6100,"sd","13:11:03",100200
7.42,-0.15,4000,"sd","13:11:03",94100
7.42,-0.15,300,"sd","13:06:06",90100
7.45,-0.12,100,"sd","13:05:39",89800
7.45,-0.12,600,"bu","13:02:18",89700
7.45,-0.12,4200,"sd","13:02:06",89100
7.46,-0.11,1200,"sd","13:00:27",84900
7.46,-0.11,100,"sd","13:00:07",83700
7.49,-0.08,200,"sd","11:25:51",83600
7.5,-0.07,100,"bu","11:07:28",83400
7.48,-0.09,200,"sd","11:07:23",83300
7.5,-0.07,1000,"bu","11:07:07",83100
7.5,-0.07,200,"bu","11:04:03",82100
7.5,-0.07,100,"bu","10:53:15",81900
7.5,-0.07,100,"bu","10:41:20",81800
7.5,-0.07,200,"bu","10:35:29",81700
7.5,-0.07,200,"bu","10:35:10",81500
7.5,-0.07,100,"bu","10:34:34",81300
7.5,-0.07,1000,"bu","10:17:24",81200
7.5,-0.07,100,"bu","10:16:00",80200
7.5,-0.07,100,"bu","10:13:31",80100
7.5,-0.07,100,"bu","10:13:11",80000
7.45,-0.12,5800,"sd","10:13:08",79900
7.46,-0.11,4100,"sd","10:13:08",74100
7.5,-0.07,3200,"sd","10:12:55",69900
7.53,-0.04,1000,"sd","10:12:55",66700
7.55,-0.02,100,"bu","10:09:30",65700
7.55,-0.02,100,"bu","10:04:37",65600
7.57,0,100,"bu","09:53:42",65500
7.55,-0.02,400,"sd","09:52:38",65400
7.57,0,100,"sd","09:52:01",65000
7.58,0.01,100,"bu","09:51:09",64900
7.57,0,2900,"bu","09:51:04",64800
7.57,0,100,"bu","09:49:49",61900
7.55,-0.02,4900,"sd","09:48:12",61800
7.57,0,2000,"sd","09:47:22",56800
7.58,0.01,100,"bu","09:46:57",54800
7.57,0,100,"sd","09:46:01",54700
7.58,0.01,600,"sd","09:44:35",54600
7.59,0.02,200,"bu","09:44:29",54000
7.58,0.01,2400,"bu","09:44:14",53800
7.58,0.01,1200,"bu","09:44:05",51400
7.57,0,1000,"sd","09:43:46",50200
7.58,0.01,600,"bu","09:43:39",49200
7.58,0.01,200,"bu","09:43:30",48600
7.57,0,700,"sd","09:43:13",48400
7.58,0.01,200,"bu","09:42:49",47700
7.58,0.01,100,"bu","09:42:21",47500
7.57,0,4200,"bu","09:42:15",47400
7.55,-0.02,4000,"bu","09:42:09",43200
7.55,-0.02,1000,"sd","09:42:01",39200
7.55,-0.02,2300,"bu","09:41:58",38200
7.55,-0.02,3500,"bu","09:41:47",35900
7.55,-0.02,200,"bu","09:41:36",32400
7.55,-0.02,2300,"bu","09:41:31",32200
7.55,-0.02,1300,"bu","09:41:11",29900
7.53,-0.04,1200,"bu","09:41:11",28600
7.55,-0.02,100,"bu","09:39:15",27400
7.55,-0.02,200,"bu","09:38:45",27300
7.55,-0.02,100,"bu","09:35:26",27100
7.5,-0.07,2100,"bu","09:35:17",27000
7.5,-0.07,100,"bu","09:35:11",24900
7.46,-0.11,2500,"sd","09:35:09",24800
7.5,-0.07,100,"bu","09:33:25",22300
7.46,-0.11,2000,"sd","09:33:22",22200
7.5,-0.07,1200,"sd","09:32:39",20200
7.5,-0.07,200,"sd","09:32:17",19000
7.55,-0.02,1000,"bu","09:31:47",18800
7.55,-0.02,100,"bu","09:30:46",17800
7.5,-0.07,1100,"bu","09:30:41",17700
7.5,-0.07,1500,"bu","09:30:21",16600
7.5,-0.07,100,"bu","09:29:54",15100
7.5,-0.07,300,"bu","09:28:39",15000
7.5,-0.07,2000,"sd","09:28:18",14700
7.5,-0.07,3500,"sd","09:27:22",12700
7.52,-0.05,1200,"sd","09:27:22",9200
7.53,-0.04,300,"sd","09:27:22",8000
7.55,-0.02,100,"bu","09:25:26",7700
7.57,0,100,"bu","09:22:56",7600
7.55,-0.02,300,"sd","09:22:23",7500
7.57,0,100,"sd","09:21:27",7200
7.57,0,100,"sd","09:20:45",7100
7.57,0,1800,"bu","09:20:01",7000
7.57,0,100,"bu","09:16:59",5200
7.52,-0.05,3000,"sd","09:16:53",5100
7.57,0,100,"bu","09:16:08",2100
7.52,-0.05,2000,"","09:15:01",2000
