"price","change","match_qtty","side","time","total_vol"
6.44,0.2,500,"sd","14:16:22",7384900
6.41,0.17,500,"sd","14:25:32",7836000
6.41,0.17,1000,"sd","13:56:43",6573400
6.41,0.17,1000,"sd","13:55:50",6570400
6.41,0.17,5000,"sd","13:57:04",6578400
6.42,0.18,200,"bu","13:57:16",6578600
6.41,0.17,100,"sd","13:55:14",6569200
6.41,0.17,200,"sd","13:55:32",6569400
6.42,0.18,3000,"bu","13:57:29",6581600
6.43,0.19,9500,"sd","14:10:18",6976400
6.42,0.18,4000,"bu","13:59:21",6682500
6.39,0.15,30100,"sd","13:58:48",6678400
6.4,0.16,27800,"sd","13:58:48",6648300
6.41,0.17,28100,"sd","13:58:48",6620500
6.41,0.17,800,"sd","13:58:41",6592400
6.41,0.17,100,"sd","13:59:41",6682600
6.42,0.18,10000,"bu","13:58:33",6591600
6.41,0.17,2000,"sd","13:56:33",6572400
6.39,0.15,1000,"sd","14:29:09",7955800
6.39,0.15,200,"sd","14:28:47",7952500
6.39,0.15,1000,"bu","13:49:35",6489800
6.39,0.15,300,"sd","14:28:57",7954800
6.39,0.15,100,"sd","13:48:52",6479100
6.39,0.15,2000,"bu","14:28:55",7954500
6.38,0.14,3000,"sd","14:28:42",7952300
6.39,0.15,8000,"sd","14:28:42",7949300
6.39,0.15,1500,"sd","13:50:20",6501100
6.39,0.15,5300,"bu","13:50:20",6499600
6.39,0.15,9200,"sd","13:49:29",6488800
6.39,0.15,500,"sd","13:48:46",6479000
6.4,0.16,20300,"bu","13:51:00",6524400
6.39,0.15,800,"sd","14:30:00",8073100
6.39,0.15,700,"bu","14:29:55",8072300
6.38,0.14,9700,"sd","14:29:55",8071600
6.39,0.15,500,"bu","14:29:55",8061900
6.39,0.15,500,"bu","14:29:41",8011400
6.39,0.15,3000,"bu","13:49:58",6494300
6.39,0.15,50000,"bu","14:29:47",8061400
6.39,0.15,500,"bu","14:29:40",8010900
6.39,0.15,1000,"bu","13:49:55",6491300
6.38,0.14,3000,"sd","14:29:34",8010400
6.39,0.15,500,"bu","14:29:14",7957400
6.4,0.16,3000,"bu","13:50:37",6504100
6.42,0.18,9200,"bu","14:29:23",8007400
6.41,0.17,1500,"bu","14:29:23",7998200
6.4,0.16,20900,"bu","14:29:23",7996700
6.39,0.15,18400,"bu","14:29:23",7975800
6.39,0.15,1100,"bu","14:29:12",7956900
6.39,0.15,500,"bu","13:49:42",6490300
6.39,0.15,500,"sd","13:49:00",6479600
6.44,0.2,700,"bu","13:15:34",5360000
6.44,0.2,5000,"sd","14:20:12",7545800
6.44,0.2,200,"sd","14:20:11",7540800
6.37,0.13,2100,"sd","13:35:31",6135600
6.43,0.19,3000,"bu","13:16:29",5451900
6.44,0.2,5200,"sd","13:16:11",5404200
6.43,0.19,7800,"sd","13:15:53",5379700
6.45,0.21,5000,"bu","13:15:32",5359300
6.43,0.19,3000,"sd","14:22:36",7711500
6.37,0.13,200,"sd","13:35:28",6133500
6.37,0.13,2000,"sd","13:34:26",6128300
6.44,0.2,100,"sd","13:16:09",5399000
6.44,0.2,500,"sd","13:15:50",5371900
6.45,0.21,10000,"bu","13:15:30",5354300
6.45,0.21,5000,"bu","13:15:29",5344300
6.41,0.17,500,"sd","13:18:14",5579500
6.42,0.18,21300,"sd","13:17:53",5537300
6.43,0.19,32800,"sd","13:16:25",5448900
6.44,0.2,100,"sd","13:15:49",5371400
6.45,0.21,1100,"bu","13:15:48",5371300
6.45,0.21,300,"bu","13:15:28",5339300
6.44,0.2,5000,"sd","14:20:06",7540600
6.41,0.17,3700,"sd","13:18:13",5579000
6.42,0.18,1300,"sd","13:18:13",5575300
6.43,0.19,10000,"bu","13:16:42",5461900
6.44,0.2,100,"sd","13:16:24",5416100
6.44,0.2,500,"sd","13:16:23",5416000
6.44,0.2,1000,"sd","13:16:23",5415500
6.44,0.2,7000,"bu","13:16:05",5398900
6.43,0.19,7500,"bu","13:16:04",5391900
6.44,0.2,5000,"sd","13:15:46",5370200
6.44,0.2,200,"sd","13:15:45",5365200
6.44,0.2,2500,"sd","14:20:05",7535600
6.44,0.2,2000,"bu","14:22:59",7724500
6.42,0.18,28700,"bu","13:18:11",5574000
6.44,0.2,10300,"sd","13:16:20",5414500
6.43,0.19,4700,"bu","13:16:02",5384400
6.42,0.18,35000,"sd","14:23:59",7783800
6.44,0.2,500,"sd","13:15:41",5365000
6.45,0.21,5000,"bu","13:15:23",5339000
6.45,0.21,17300,"bu","13:15:22",5334000
6.44,0.2,2700,"bu","13:15:22",5316700
6.44,0.2,3000,"bu","14:20:29",7559800
6.44,0.2,3000,"sd","14:20:01",7533100
6.43,0.19,300,"bu","14:24:26",7820100
6.41,0.17,5000,"sd","13:18:07",5545300
6.44,0.2,4500,"bu","13:15:40",5364500
6.43,0.19,300,"bu","13:15:21",5314000
6.42,0.18,300,"sd","13:15:21",5313700
6.45,0.21,7000,"bu","14:20:29",7566800
6.43,0.19,6400,"sd","14:23:25",7743800
6.44,0.2,1000,"bu","14:23:24",7737400
6.43,0.19,500,"sd","14:23:24",7736400
6.41,0.17,3000,"sd","13:18:05",5540300
6.42,0.18,200,"sd","13:15:20",5313400
6.43,0.19,5000,"bu","14:23:51",7748800
6.43,0.19,1000,"sd","14:22:52",7722500
6.41,0.17,400,"sd","14:24:45",7820500
6.41,0.17,23400,"sd","14:24:19",7819800
6.42,0.18,11600,"sd","14:24:19",7796400
6.43,0.19,2000,"sd","14:21:49",7708500
6.45,0.21,82100,"bu","14:21:32",7678500
6.44,0.2,17900,"bu","14:21:32",7596400
6.44,0.2,500,"bu","14:21:18",7578500
6.43,0.19,5300,"sd","14:23:19",7735900
6.43,0.19,1000,"bu","14:24:16",7784800
6.43,0.19,2600,"sd","14:23:16",7730600
6.44,0.2,3000,"bu","14:23:16",7728000
6.44,0.2,10000,"bu","14:22:46",7721500
6.37,0.13,1000,"bu","13:34:15",6126300
6.37,0.13,200,"sd","13:33:53",6123100
6.44,0.2,1000,"bu","14:21:45",7706500
6.43,0.19,10000,"sd","14:21:15",7578000
6.43,0.19,1000,"sd","14:20:53",7568000
6.44,0.2,200,"bu","14:20:51",7567000
6.37,0.13,4000,"sd","13:34:43",6132300
6.37,0.13,2200,"sd","13:34:06",6125300
6.38,0.14,5000,"bu","13:33:47",6122900
6.43,0.19,500,"sd","14:23:10",7725000
6.37,0.13,1700,"sd","13:35:36",6137300
6.43,0.19,27000,"sd","14:21:37",7705500
6.43,0.19,1500,"sd","14:20:14",7556800
6.44,0.2,8500,"sd","14:20:14",7555300
6.44,0.2,1000,"sd","14:20:13",7546800
6.35,0.11,50000,"bu","13:07:12",4303900
6.41,0.17,5000,"sd","14:25:30",7835500
6.35,0.11,5000,"sd","13:07:33",4317500
