"price","change","match_qtty","side","time","total_vol"
12,0,1000,"bu","14:25:35",12000
12,0,1000,"bu","14:28:42",13000
12,0,200,"bu","14:36:09",14000
12,0,300,"bu","14:37:11",14300
11.8,-0.2,300,"bu","13:15:27",8500
12,0,1000,"bu","14:23:08",11000
12,0,500,"bu","14:02:50",9000
12,0,300,"","14:46:41",17300
12,0,1000,"bu","14:46:13",17000
12,0,700,"bu","14:46:00",16000
12,0,200,"sd","14:39:46",14500
12,0,1000,"bu","14:13:47",10000
12,0,800,"sd","14:40:01",15300
12,0,800,"bu","14:31:02",13800
12.1,0.1,1200,"bu","10:47:17",6500
11.8,-0.2,1700,"bu","13:15:03",8200
12,0,2300,"bu","10:39:18",5300
12,0,500,"","09:15:03",500
11.9,-0.1,2500,"sd","10:03:38",3000
