"price","change","match_qtty","side","time","total_vol"
23.95,1.05,10000,"bu","13:57:08",10862300
23.95,1.05,1500,"bu","13:57:07",10852300
23.95,1.05,1000,"bu","13:56:46",10822600
23.9,1,18800,"bu","13:55:54",10735100
23.9,1,10000,"bu","13:55:51",10716300
23.85,0.95,10000,"bu","13:55:24",10625100
23.8,0.9,17000,"bu","13:55:23",10615100
24,1.1,20000,"bu","13:57:41",10988100
23.95,1.05,1800,"sd","13:57:41",10968100
23.95,1.05,20000,"bu","13:57:25",10897100
23.95,1.05,4000,"bu","13:57:23",10877100
23.9,1,100,"sd","13:56:45",10821600
23.8,0.9,20700,"bu","13:55:22",10598100
23.8,0.9,5000,"bu","13:55:22",10577400
23.8,0.9,10000,"bu","13:55:21",10572400
24,1.1,400,"bu","13:58:01",11039600
24,1.1,1000,"bu","13:58:00",11039200
24,1.1,20000,"bu","13:57:40",10966300
23.95,1.05,2000,"sd","13:57:39",10946300
23.95,1.05,1000,"bu","13:57:21",10873100
23.95,1.05,800,"bu","13:57:04",10850800
23.95,1.05,1000,"bu","13:57:02",10850000
23.95,1.05,5000,"bu","13:56:43",10821500
23.95,1.05,500,"bu","13:56:41",10816500
23.9,1,1000,"bu","13:55:45",10706300
23.9,1,600,"bu","13:55:44",10705300
23.95,1.05,200,"sd","13:57:59",11038200
24,1.1,20000,"bu","13:57:38",10944300
23.9,1,700,"sd","13:57:20",10872100
23.95,1.05,1500,"bu","13:57:19",10871400
23.95,1.05,500,"bu","13:57:01",10849000
23.9,1,9400,"bu","13:55:44",10704700
23.8,0.9,3000,"bu","13:55:18",10562400
24,1.1,7000,"bu","13:57:56",11038000
23.95,1.05,100,"sd","13:57:35",10924300
23.9,1,4300,"sd","13:57:17",10869900
23.95,1.05,300,"bu","13:57:16",10865600
23.95,1.05,400,"bu","13:56:59",10848500
23.9,1,1000,"sd","13:56:59",10848100
23.8,0.9,44000,"bu","13:55:16",10559400
23.8,0.9,1500,"bu","13:55:15",10515400
24,1.1,1900,"bu","13:57:54",11031000
23.95,1.05,100,"sd","13:57:33",10924200
23.95,1.05,20000,"bu","13:56:57",10847100
23.9,1,100,"sd","13:56:35",10816000
23.9,1,500,"sd","13:56:02",10796800
23.85,0.95,200,"bu","13:55:37",10695300
23.8,0.9,1000,"bu","13:55:13",10513900
23.95,1.05,1900,"bu","13:57:32",10924100
23.95,1.05,3600,"bu","13:57:31",10922200
23.95,1.05,20000,"bu","13:57:31",10918600
23.95,1.05,2000,"bu","13:57:14",10865300
23.9,1,1800,"sd","13:56:54",10827100
23.9,1,200,"sd","13:56:00",10796300
23.9,1,28800,"bu","13:55:35",10695100
23.85,0.95,31200,"bu","13:55:35",10666300
23.95,1.05,30000,"sd","13:57:49",11029100
23.95,1.05,1500,"bu","13:57:30",10898600
23.95,1.05,1000,"bu","13:57:12",10863300
23.95,1.05,600,"bu","13:56:51",10825300
23.95,1.05,2100,"bu","13:56:50",10824700
23.9,1,54100,"bu","13:55:58",10796100
23.9,1,2500,"bu","13:55:56",10742000
23.95,1.05,10000,"sd","13:57:47",10999100
24,1.1,1000,"bu","13:57:47",10989100
23.9,1,300,"bu","13:55:55",10739500
23.9,1,4100,"bu","13:55:54",10739200
23.85,0.95,10000,"bu","13:55:27",10635100
24,1.1,300,"bu","13:59:27",11421400
24,1.1,20000,"bu","13:59:26",11421100
24.05,1.15,1600,"bu","14:00:14",11681200
24.05,1.15,300,"bu","14:00:13",11679600
24.05,1.15,13000,"bu","14:00:13",11679300
24,1.1,1300,"bu","13:59:25",11401100
24,1.1,10000,"bu","13:58:22",11091600
24,1.1,5000,"bu","13:58:22",11081600
24,1.1,800,"sd","13:59:58",11655500
24,1.1,800,"bu","13:59:22",11399800
23.95,1.05,3000,"sd","13:58:20",11076600
24,1.1,3500,"bu","13:58:19",11073600
24,1.1,500,"bu","13:59:21",11399000
24,1.1,2000,"bu","13:59:19",11398500
24,1.1,3000,"bu","13:58:47",11152800
24,1.1,1000,"bu","13:58:17",11070100
24,1.1,1000,"bu","13:58:15",11069100
24,1.1,1000,"bu","13:58:15",11068100
24.05,1.15,1000,"bu","13:59:51",11654700
24,1.1,10000,"bu","13:58:46",11149800
24,1.1,7000,"bu","13:58:12",11067100
24,1.1,9500,"bu","13:58:44",11139800
24,1.1,1400,"sd","13:59:48",11653700
24.05,1.15,400,"bu","13:59:47",11652300
24.05,1.15,1000,"bu","13:59:46",11651900
24,1.1,1500,"bu","13:59:45",11650900
24,1.1,42000,"bu","13:59:45",11649400
24,1.1,400,"bu","13:59:44",11607400
24,1.1,10000,"bu","13:59:44",11607000
24,1.1,4700,"bu","13:58:41",11130300
24,1.1,300,"bu","13:58:40",11125600
24,1.1,500,"bu","13:58:08",11060100
