"price","change","match_qtty","side","time","total_vol"
22.75,-0.1,300,"","14:45:03",20100
22.7,-0.15,500,"sd","14:29:36",19800
22.7,-0.15,1000,"sd","14:28:53",19300
22.75,-0.1,300,"bu","14:25:05",18300
22.75,-0.1,100,"bu","14:24:06",18000
22.7,-0.15,500,"sd","14:22:51",17900
22.75,-0.1,500,"sd","14:17:09",17400
22.75,-0.1,3000,"sd","14:10:29",16900
22.75,-0.1,300,"sd","14:09:18",13900
22.8,-0.05,500,"bu","14:08:08",13600
22.75,-0.1,300,"sd","14:05:31",13100
22.75,-0.1,300,"sd","14:03:30",12800
22.75,-0.1,100,"sd","13:45:44",12500
22.75,-0.1,100,"sd","13:41:48",12400
22.75,-0.1,800,"bu","13:28:51",12300
22.7,-0.15,100,"sd","13:20:55",11500
22.75,-0.1,100,"bu","13:17:33",11400
22.75,-0.1,1600,"bu","13:10:40",11300
22.75,-0.1,500,"sd","13:09:48",9700
22.75,-0.1,2000,"sd","13:03:14",9200
22.75,-0.1,200,"sd","13:00:30",7200
22.75,-0.1,200,"sd","13:00:29",7000
22.8,-0.05,200,"bu","11:24:55",6800
22.8,-0.05,100,"bu","11:17:00",6600
22.8,-0.05,200,"sd","10:33:10",6500
22.8,-0.05,200,"sd","10:29:52",6300
22.8,-0.05,100,"sd","10:28:41",6100
22.85,0,600,"bu","10:22:36",6000
22.85,0,1800,"sd","10:14:26",5400
22.85,0,1000,"sd","10:11:43",3600
22.85,0,100,"sd","10:11:19",2600
22.85,0,1000,"sd","10:09:35",2500
22.85,0,100,"sd","10:06:50",1500
22.85,0,300,"sd","10:06:10",1400
22.85,0,500,"sd","09:58:48",1100
22.85,0,200,"sd","09:53:10",600
22.85,0,300,"bu","09:30:10",400
22.85,0,100,"","09:15:01",100
