"price","change","match_qtty","side","time","total_vol"
30.05,-0.15,39600,"","14:45:01",3093500
29.9,-0.3,6800,"sd","14:29:53",3053900
29.95,-0.25,300,"sd","14:29:53",3047100
30,-0.2,100,"sd","14:29:53",3046800
30,-0.2,100,"bu","14:29:44",3046700
29.9,-0.3,7000,"sd","14:29:39",3046600
29.95,-0.25,200,"sd","14:29:39",3039600
29.9,-0.3,7200,"sd","14:29:26",3039400
29.9,-0.3,6300,"sd","14:29:21",3032200
29.95,-0.25,200,"sd","14:29:21",3025900
29.9,-0.3,7200,"sd","14:29:13",3025700
29.9,-0.3,900,"sd","14:29:01",3018500
29.95,-0.25,5000,"sd","14:29:01",3017600
29.9,-0.3,10000,"sd","14:28:59",3012600
29.9,-0.3,500,"sd","14:28:57",3002600
29.95,-0.25,6700,"sd","14:28:57",3002100
30.05,-0.15,3000,"bu","14:28:45",2995400
29.95,-0.25,7200,"sd","14:28:40",2992400
29.95,-0.25,12000,"sd","14:28:36",2985200
30,-0.2,400,"bu","14:28:34",2973200
29.95,-0.25,5000,"sd","14:28:32",2972800
30,-0.2,400,"bu","14:28:32",2967800
30,-0.2,1000,"bu","14:28:31",2967400
29.95,-0.25,5900,"sd","14:28:28",2966400
30,-0.2,500,"bu","14:28:27",2960500
29.95,-0.25,7200,"sd","14:28:24",2960000
29.95,-0.25,7200,"sd","14:28:08",2952800
30,-0.2,2800,"sd","14:28:05",2945600
30,-0.2,11800,"sd","14:28:01",2942800
30,-0.2,1000,"sd","14:27:59",2931000
30,-0.2,11800,"sd","14:27:57",2930000
30,-0.2,11800,"sd","14:27:56",2918200
30,-0.2,6100,"sd","14:27:54",2906400
30,-0.2,1100,"sd","14:27:53",2900300
30,-0.2,200,"sd","14:27:37",2899200
30,-0.2,7100,"sd","14:27:36",2899000
30.05,-0.15,100,"sd","14:27:36",2891900
30,-0.2,9200,"sd","14:27:25",2891800
30,-0.2,7000,"sd","14:27:12",2882600
30.05,-0.15,200,"sd","14:27:12",2875600
30,-0.2,5900,"sd","14:26:59",2875400
30,-0.2,5200,"sd","14:26:52",2869500
30.05,-0.15,2000,"sd","14:26:52",2864300
30.05,-0.15,1000,"sd","14:26:49",2862300
30.1,-0.1,100,"bu","14:26:49",2861300
30.05,-0.15,11800,"sd","14:26:36",2861200
30.05,-0.15,7200,"sd","14:26:34",2849400
30.05,-0.15,100,"sd","14:26:25",2842200
30.05,-0.15,8200,"sd","14:26:18",2842100
30.05,-0.15,1300,"sd","14:25:59",2833900
30.05,-0.15,7200,"sd","14:25:56",2832600
30.05,-0.15,1200,"bu","14:25:49",2825400
30.05,-0.15,11600,"sd","14:25:46",2824200
30.05,-0.15,7200,"sd","14:25:38",2812600
30.05,-0.15,100,"sd","14:25:32",2805400
30.05,-0.15,1100,"bu","14:25:25",2805300
30,-0.2,7200,"sd","14:25:23",2804200
30.05,-0.15,100,"sd","14:25:21",2797000
30,-0.2,7200,"sd","14:25:01",2796900
30,-0.2,6700,"sd","14:24:42",2789700
30.05,-0.15,500,"sd","14:24:42",2783000
30.05,-0.15,500,"bu","14:24:30",2782500
30,-0.2,7200,"sd","14:24:28",2782000
30.05,-0.15,10000,"bu","14:24:20",2774800
30.05,-0.15,400,"bu","14:24:11",2764800
30,-0.2,7200,"sd","14:24:10",2764400
30,-0.2,7200,"sd","14:23:57",2757200
30.05,-0.15,1000,"bu","14:23:56",2750000
30,-0.2,7000,"sd","14:23:51",2749000
30,-0.2,400,"sd","14:23:42",2742000
30,-0.2,1000,"sd","14:23:41",2741600
30,-0.2,7200,"sd","14:23:18",2740600
30,-0.2,400,"sd","14:22:49",2733400
30,-0.2,8000,"sd","14:22:45",2733000
30,-0.2,7200,"sd","14:22:44",2725000
30,-0.2,7000,"sd","14:22:24",2717800
30,-0.2,7200,"sd","14:22:18",2710800
30,-0.2,800,"sd","14:22:12",2703600
30.05,-0.15,100,"sd","14:22:12",2702800
30,-0.2,3700,"sd","14:21:53",2702700
30.05,-0.15,3500,"sd","14:21:53",2699000
30.05,-0.15,200,"sd","14:21:36",2695500
30.05,-0.15,7200,"sd","14:21:35",2695300
30.05,-0.15,100,"bu","14:21:29",2688100
30,-0.2,11400,"sd","14:21:27",2688000
30,-0.2,2700,"sd","14:21:22",2676600
30.05,-0.15,4500,"sd","14:21:22",2673900
30.05,-0.15,5500,"bu","14:21:20",2669400
30,-0.2,7200,"sd","14:21:12",2663900
30.05,-0.15,10000,"bu","14:21:10",2656700
30,-0.2,7200,"sd","14:20:55",2646700
30,-0.2,2000,"sd","14:20:49",2639500
30.05,-0.15,16500,"sd","14:20:48",2637500
30.05,-0.15,5000,"sd","14:20:36",2621000
30.05,-0.15,7200,"sd","14:20:30",2616000
30.05,-0.15,1300,"bu","14:20:16",2608800
30,-0.2,11400,"sd","14:20:11",2607500
30,-0.2,7200,"sd","14:20:09",2596100
30.05,-0.15,10500,"sd","14:20:07",2588900
30.05,-0.15,4500,"sd","14:20:04",2578400
30.05,-0.15,7200,"sd","14:19:55",2573900
30.05,-0.15,1000,"sd","14:19:42",2566700
30.05,-0.15,11800,"sd","14:19:38",2565700
30,-0.2,5800,"sd","14:19:24",2553900
30.05,-0.15,8600,"sd","14:19:24",2548100
30.05,-0.15,14400,"sd","14:19:02",2539500
30,-0.2,9300,"sd","14:18:41",2525100
30.05,-0.15,5100,"sd","14:18:41",2515800
30.05,-0.15,14400,"sd","14:18:25",2510700
30.05,-0.15,200,"sd","14:18:21",2496300
30.05,-0.15,1000,"sd","14:18:16",2496100
30.05,-0.15,100,"sd","14:18:15",2495100
30.05,-0.15,1000,"sd","14:18:13",2495000
30.05,-0.15,1000,"sd","14:18:10",2494000
30.05,-0.15,200,"sd","14:17:40",2493000
30.05,-0.15,14400,"sd","14:17:16",2492800
30.05,-0.15,500,"sd","14:17:06",2478400
30.05,-0.15,200,"sd","14:16:59",2477900
30.05,-0.15,4000,"sd","14:16:56",2477700
30,-0.2,5000,"sd","14:16:39",2473700
30,-0.2,400,"sd","14:16:33",2468700
30,-0.2,4400,"sd","14:16:29",2468300
30.05,-0.15,10000,"sd","14:16:29",2463900
30,-0.2,14400,"sd","14:16:15",2453900
30,-0.2,4000,"sd","14:16:06",2439500
30,-0.2,3200,"sd","14:16:05",2435500
30,-0.2,13300,"sd","14:16:00",2432300
30.05,-0.15,1100,"sd","14:16:00",2419000
30.1,-0.1,100,"bu","14:15:56",2417900
30.1,-0.1,4700,"bu","14:15:48",2417800
30.05,-0.15,6700,"bu","14:15:48",2413100
30,-0.2,14400,"sd","14:15:48",2406400
30.05,-0.15,500,"sd","14:15:46",2392000
30.05,-0.15,14400,"sd","14:15:36",2391500
30.05,-0.15,14400,"sd","14:15:29",2377100
30.05,-0.15,14400,"sd","14:15:21",2362700
30.05,-0.15,5000,"sd","14:15:18",2348300
30.1,-0.1,700,"bu","14:15:15",2343300
30.05,-0.15,14400,"sd","14:15:03",2342600
30.1,-0.1,100,"bu","14:14:55",2328200
30.05,-0.15,500,"sd","14:14:51",2328100
30.05,-0.15,300,"sd","14:14:40",2327600
30.05,-0.15,500,"sd","14:14:38",2327300
30.05,-0.15,500,"sd","14:14:35",2326800
30.05,-0.15,500,"sd","14:14:31",2326300
30.05,-0.15,7200,"sd","14:14:27",2325800
30.05,-0.15,500,"sd","14:14:26",2318600
30.05,-0.15,500,"sd","14:14:18",2318100
30.05,-0.15,500,"sd","14:14:12",2317600
30.05,-0.15,500,"sd","14:13:59",2317100
30.05,-0.15,11800,"sd","14:13:44",2316600
30.05,-0.15,300,"sd","14:13:43",2304800
30.05,-0.15,200,"sd","14:13:42",2304500
30.05,-0.15,500,"sd","14:13:41",2304300
30.05,-0.15,100,"sd","14:13:39",2303800
30.05,-0.15,500,"sd","14:13:37",2303700
30.05,-0.15,500,"sd","14:13:33",2303200
30.05,-0.15,4900,"sd","14:13:29",2302700
30.05,-0.15,500,"sd","14:13:28",2297800
30.05,-0.15,500,"sd","14:13:20",2297300
30.05,-0.15,500,"sd","14:13:14",2296800
30.05,-0.15,5000,"sd","14:13:12",2296300
30.05,-0.15,500,"sd","14:13:00",2291300
30.05,-0.15,700,"sd","14:12:59",2290800
30.05,-0.15,300,"sd","14:12:40",2290100
30.05,-0.15,500,"sd","14:12:39",2289800
30.05,-0.15,500,"sd","14:12:35",2289300
30.05,-0.15,500,"sd","14:12:31",2288800
30.05,-0.15,500,"sd","14:12:26",2288300
30.05,-0.15,500,"sd","14:12:18",2287800
30.05,-0.15,500,"sd","14:12:12",2287300
30.05,-0.15,500,"sd","14:11:59",2286800
30.05,-0.15,200,"sd","14:11:49",2286300
30.05,-0.15,500,"sd","14:11:43",2286100
30.05,-0.15,300,"sd","14:11:41",2285600
30.05,-0.15,500,"sd","14:11:39",2285300
30.05,-0.15,500,"sd","14:11:35",2284800
30.05,-0.15,500,"sd","14:11:32",2284300
30.05,-0.15,500,"sd","14:11:27",2283800
30.05,-0.15,6000,"sd","14:11:25",2283300
30.1,-0.1,500,"bu","14:11:23",2277300
30.05,-0.15,500,"sd","14:11:18",2276800
30.05,-0.15,500,"sd","14:11:12",2276300
30.05,-0.15,500,"sd","14:10:59",2275800
30.1,-0.1,200,"bu","14:10:48",2275300
30.05,-0.15,300,"sd","14:10:44",2275100
30.05,-0.15,500,"sd","14:10:42",2274800
30.05,-0.15,10000,"sd","14:10:38",2274300
30.05,-0.15,500,"sd","14:10:37",2264300
30.05,-0.15,11800,"sd","14:10:35",2263800
30.05,-0.15,500,"sd","14:10:34",2252000
