"price","change","match_qtty","side","time","total_vol"
39,0.75,20300,"","14:45:00",151000
38.8,0.55,500,"bu","14:25:31",130700
38.9,0.65,100,"bu","14:21:27",130200
38.7,0.45,100,"sd","14:20:53",130100
38.8,0.55,1000,"bu","14:18:16",130000
38.75,0.5,1000,"bu","14:18:16",129000
38.7,0.45,300,"bu","14:17:55",128000
38.6,0.35,100,"bu","14:17:55",127700
38.55,0.3,1500,"bu","14:17:55",127600
38.55,0.3,500,"sd","14:04:20",126100
38.55,0.3,800,"bu","13:54:56",125600
38.55,0.3,600,"sd","13:54:06",124800
38.55,0.3,2100,"sd","13:51:04",124200
38.55,0.3,100,"sd","13:49:11",122100
38.55,0.3,100,"sd","13:45:51",122000
38.55,0.3,500,"sd","13:45:22",121900
38.55,0.3,300,"sd","13:37:46",121400
38.6,0.35,100,"sd","13:37:46",121100
38.55,0.3,100,"sd","13:31:53",121000
38.6,0.35,200,"sd","13:31:38",120900
38.6,0.35,7000,"bu","13:24:44",120700
38.6,0.35,200,"bu","13:24:20",113700
38.5,0.25,1100,"sd","13:23:35",113500
38.6,0.35,100,"bu","13:21:45",112400
38.6,0.35,700,"sd","13:21:27",112300
38.65,0.4,500,"sd","13:20:13",111600
38.75,0.5,500,"bu","13:13:14",111100
38.6,0.35,500,"bu","13:06:53",110600
38.5,0.25,100,"sd","13:05:54",110100
38.5,0.25,200,"bu","13:05:40",110000
38.5,0.25,100,"bu","13:05:19",109800
38.5,0.25,200,"sd","13:04:31",109700
38.5,0.25,1500,"sd","13:04:10",109500
38.5,0.25,200,"sd","13:00:05",108000
38.55,0.3,500,"sd","13:00:05",107800
38.55,0.3,100,"sd","13:00:00",107300
38.75,0.5,400,"bu","13:00:00",107200
38.55,0.3,200,"sd","11:21:31",106800
38.6,0.35,100,"sd","11:21:31",106600
38.5,0.25,1200,"sd","11:05:22",106500
38.6,0.35,300,"sd","11:05:22",105300
38.7,0.45,500,"sd","11:05:22",105000
38.75,0.5,1000,"bu","10:59:17",104500
38.7,0.45,500,"sd","10:57:41",103500
38.7,0.45,100,"sd","10:56:38",103000
38.7,0.45,100,"sd","10:48:58",102900
38.75,0.5,100,"bu","10:43:17",102800
38.75,0.5,1000,"bu","10:43:10",102700
38.75,0.5,100,"bu","10:43:09",101700
38.75,0.5,100,"bu","10:41:21",101600
38.75,0.5,100,"bu","10:40:57",101500
38.75,0.5,100,"bu","10:40:27",101400
38.75,0.5,1000,"bu","10:38:25",101300
38.75,0.5,100,"bu","10:36:41",100300
38.75,0.5,200,"bu","10:36:34",100200
38.7,0.45,3800,"sd","10:35:46",100000
38.85,0.6,1900,"sd","10:35:29",96200
39,0.75,100,"bu","10:34:39",94300
39,0.75,100,"sd","10:33:55",94200
39,0.75,500,"sd","10:33:38",94100
39.1,0.85,400,"bu","10:32:14",93600
39.1,0.85,100,"bu","10:30:56",93200
39.1,0.85,200,"sd","10:30:51",93100
39.15,0.9,3400,"bu","10:30:43",92900
39.1,0.85,1000,"sd","10:30:20",89500
39.1,0.85,3000,"sd","10:30:04",88500
39.1,0.85,11500,"bu","10:29:34",85500
39,0.75,3700,"bu","10:29:34",74000
38.95,0.7,400,"bu","10:29:34",70300
38.95,0.7,500,"bu","10:29:26",69900
38.95,0.7,100,"sd","10:29:14",69400
39,0.75,10000,"bu","10:28:43",69300
38.9,0.65,200,"bu","10:28:31",59300
38.95,0.7,100,"bu","10:27:12",59100
38.85,0.6,100,"sd","10:26:16",59000
39,0.75,100,"bu","10:22:08",58900
39,0.75,100,"bu","10:21:08",58800
39,0.75,200,"sd","10:20:05",58700
39,0.75,9100,"bu","10:19:25",58500
38.95,0.7,4100,"bu","10:19:25",49400
38.7,0.45,500,"sd","10:18:03",45300
38.7,0.45,100,"sd","10:14:01",44800
39,0.75,1600,"bu","10:13:24",44700
39,0.75,9600,"bu","10:13:13",43100
38.9,0.65,8500,"bu","10:13:13",33500
38.85,0.6,1900,"bu","10:13:13",25000
38.7,0.45,100,"bu","10:13:04",23100
38.6,0.35,2000,"bu","10:13:04",23000
38.5,0.25,400,"bu","10:13:04",21000
38.5,0.25,200,"bu","10:12:19",20600
38.5,0.25,300,"bu","10:11:38",20400
38.5,0.25,200,"bu","10:10:20",20100
38.5,0.25,100,"bu","10:01:03",19900
38.3,0.05,800,"sd","09:54:28",19800
38.4,0.15,300,"sd","09:53:53",19000
38.5,0.25,100,"bu","09:44:24",18700
38.5,0.25,100,"bu","09:44:24",18600
38.5,0.25,1000,"bu","09:41:41",18500
38.5,0.25,100,"sd","09:39:23",17500
38.3,0.05,1000,"sd","09:38:30",17400
38.3,0.05,1000,"sd","09:37:11",16400
38.5,0.25,500,"bu","09:34:50",15400
38.5,0.25,300,"sd","09:33:14",14900
38.55,0.3,1300,"sd","09:31:14",14600
38.55,0.3,500,"sd","09:29:44",13300
39,0.75,1500,"bu","09:21:17",12800
38.5,0.25,2000,"bu","09:21:17",11300
38.45,0.2,2500,"bu","09:21:17",9300
38.35,0.1,900,"bu","09:19:35",6800
39,0.75,500,"bu","09:18:14",5900
38.35,0.1,100,"bu","09:18:14",5400
38.25,0,600,"bu","09:16:42",5300
38.25,0,4700,"","09:15:00",4700
