"price","change","match_qtty","side","time","total_vol"
2.2,0,20100,"sd","14:54:50",327700
2.2,0,1600,"sd","14:54:31",307600
2.2,0,900,"sd","14:54:04",306000
2.3,0.1,500,"bu","14:39:18",305100
2.3,0.1,1700,"bu","14:29:03",304600
2.3,0.1,3000,"bu","14:26:22",302900
2.3,0.1,10000,"bu","14:26:06",299900
2.2,0,1600,"sd","14:24:18",289900
2.2,0,100,"sd","14:22:01",288300
2.2,0,100000,"sd","14:20:52",288200
2.2,0,700,"sd","14:03:59",188200
2.2,0,1300,"sd","13:55:01",187500
2.2,0,100,"sd","13:53:14",186200
2.2,0,4000,"sd","13:46:35",186100
2.3,0.1,300,"bu","13:10:03",182100
2.2,0,200,"sd","13:09:07",181800
2.2,0,1000,"sd","13:06:47",181600
2.2,0,1000,"sd","13:05:45",180600
2.2,0,31800,"sd","13:03:12",179600
2.2,0,20000,"bu","13:02:45",147800
2.2,0,600,"bu","13:00:07",127800
2.2,0,1400,"bu","13:00:03",127200
2.2,0,40900,"bu","13:00:02",125800
2.3,0.1,100,"bu","11:27:17",84900
2.2,0,8000,"sd","11:25:24",84800
2.2,0,20100,"sd","11:23:22",76800
2.2,0,1000,"sd","11:23:21",56700
2.2,0,5600,"sd","10:54:42",55700
2.2,0,500,"sd","10:50:05",50100
2.2,0,200,"sd","10:47:20",49600
2.2,0,9800,"sd","10:44:38",49400
2.2,0,100,"sd","10:42:38",39600
2.2,0,700,"sd","10:41:19",39500
2.2,0,100,"sd","10:33:16",38800
2.2,0,300,"sd","10:25:01",38700
2.2,0,2500,"sd","10:24:56",38400
2.2,0,200,"sd","10:22:43",35900
2.2,0,500,"sd","10:18:58",35700
2.3,0.1,200,"bu","10:14:14",35200
2.2,0,1700,"sd","10:11:07",35000
2.2,0,100,"sd","10:02:58",33300
2.2,0,100,"sd","09:57:13",33200
2.2,0,200,"sd","09:48:20",33100
2.2,0,4700,"sd","09:43:22",32900
2.2,0,5000,"sd","09:38:23",28200
2.2,0,1000,"sd","09:07:29",23200
2.2,0,20000,"sd","09:05:38",22200
2.2,0,2200,"sd","09:00:06",2200
