"symbol","time","price","change","vol","total","side"
"C47","14:45:00",7.14,-0.16,5500,131100,
"C47","14:26:25",7.14,-0.16,5000,125600,"S"
"C47","14:21:39",7.14,-0.16,100,120600,"S"
"C47","14:18:31",7.1,-0.2,700,120500,"B"
"C47","14:13:10",7.1,-0.2,1000,119800,"B"
"C47","14:10:20",7.1,-0.2,4700,118800,"B"
"C47","14:10:20",7.13,-0.17,300,114100,"B"
"C47","14:08:46",7.13,-0.17,200,113800,"B"
"C47","14:00:23",7.13,-0.17,1500,113600,"S"
"C47","13:56:31",7.1,-0.2,3100,112100,"B"
"C47","13:53:55",7.14,-0.16,1800,109000,"S"
"C47","13:49:51",7.14,-0.16,5000,107200,"B"
"C47","13:46:38",7.14,-0.16,3000,102200,"S"
"C47","13:46:10",7.14,-0.16,1000,99200,"S"
"C47","13:46:08",7.14,-0.16,1000,98200,"B"
"C47","13:45:00",7.14,-0.16,2000,97200,"S"
"C47","13:43:54",7.14,-0.16,3000,95200,"B"
"C47","13:43:32",7.14,-0.16,5000,92200,"S"
"C47","13:42:03",7.1,-0.2,300,87200,"S"
"C47","13:38:54",7.05,-0.25,4600,86900,"B"
"C47","13:38:54",7.06,-0.24,400,82300,"B"
"C47","13:37:15",7.1,-0.2,100,81900,"S"
"C47","13:32:53",7.15,-0.15,100,81800,"S"
"C47","13:32:53",7.14,-0.16,600,81700,"S"
"C47","13:32:32",7.05,-0.25,3500,81100,"B"
"C47","13:32:32",7.07,-0.23,200,75300,"B"
"C47","13:31:14",7.14,-0.16,1400,75100,"S"
"C47","13:24:49",7.14,-0.16,1000,73700,"S"
"C47","13:24:36",7.14,-0.16,2000,72700,"S"
"C47","13:11:53",7.14,-0.16,100,70700,"S"
"C47","13:11:38",7.13,-0.17,100,70600,"S"
"C47","13:09:30",7.05,-0.25,1600,70500,"B"
"C47","13:09:30",7.06,-0.24,200,68900,"B"
"C47","13:06:51",7.12,-0.18,100,68500,"S"
"C47","13:06:51",7.11,-0.19,100,68400,"S"
"C47","13:00:01",7.15,-0.15,300,68300,"S"
