"symbol","time","price","change","vol","total","side"
"ANV","14:45:00",29.9,-1.2,118700,2684300,
"ANV","14:29:56",30,-1.1,3000,2565600,"S"
"ANV","14:29:50",29.95,-1.15,20000,2562600,"B"
"ANV","14:29:49",29.95,-1.15,1000,2542600,"B"
"ANV","14:29:46",30,-1.1,100,2541600,"S"
"ANV","14:29:43",29.95,-1.15,400,2541500,"B"
"ANV","14:29:42",30,-1.1,500,2541100,"S"
"ANV","14:29:37",30,-1.1,100,2540600,"S"
"ANV","14:29:29",30,-1.1,500,2540500,"S"
"ANV","14:29:25",29.95,-1.15,3000,2540000,"B"
"ANV","14:29:22",29.95,-1.15,300,2537000,"B"
"ANV","14:29:18",30,-1.1,1000,2536700,"S"
"ANV","14:29:17",29.95,-1.15,100,2535700,"B"
"ANV","14:29:09",29.95,-1.15,500,2535600,"B"
"ANV","14:29:08",30,-1.1,1000,2535100,"S"
"ANV","14:29:05",29.95,-1.15,1000,2534100,"B"
"ANV","14:29:01",30,-1.1,500,2533100,"S"
"ANV","14:29:00",30,-1.1,900,2532600,"S"
"ANV","14:28:59",30,-1.1,11100,2531700,"B"
"ANV","14:28:58",30.05,-1.05,2000,2520600,"S"
"ANV","14:28:53",30.05,-1.05,100,2518600,"S"
"ANV","14:28:53",30,-1.1,1500,2518500,"B"
"ANV","14:28:52",30.05,-1.05,100,2517000,"S"
"ANV","14:28:51",30.05,-1.05,2800,2516900,"B"
"ANV","14:28:48",30.05,-1.05,3200,2514100,"B"
"ANV","14:28:19",30.05,-1.05,24200,2510900,"B"
"ANV","14:28:19",30.1,-1,4500,2486700,"B"
"ANV","14:28:19",30.15,-0.95,1000,2482200,"B"
"ANV","14:28:19",30.2,-0.9,300,2481200,"B"
"ANV","14:28:18",30.2,-0.9,200,2480900,"B"
"ANV","14:28:16",30.2,-0.9,100,2480700,"B"
"ANV","14:28:14",30.2,-0.9,200,2480600,"B"
"ANV","14:28:11",30.25,-0.85,1000,2480400,"S"
"ANV","14:28:09",30.2,-0.9,600,2479400,"B"
"ANV","14:28:04",30.25,-0.85,1300,2478800,"B"
"ANV","14:28:02",30.25,-0.85,500,2477500,"B"
"ANV","14:28:01",30.25,-0.85,900,2477000,"B"
"ANV","14:28:00",30.25,-0.85,200,2476100,"B"
"ANV","14:27:55",30.25,-0.85,1900,2475900,"B"
"ANV","14:27:45",30.25,-0.85,200,2474000,"B"
"ANV","14:27:33",30.25,-0.85,1600,2473800,"B"
"ANV","14:27:27",30.3,-0.8,300,2472200,"S"
"ANV","14:27:24",30.25,-0.85,2000,2471900,"B"
"ANV","14:27:23",30.3,-0.8,2000,2469900,"S"
"ANV","14:27:20",30.3,-0.8,200,2467900,"S"
"ANV","14:27:06",30.3,-0.8,30800,2467700,"B"
"ANV","14:27:06",30.4,-0.7,1100,2436400,"B"
"ANV","14:27:05",30.45,-0.65,3000,2435300,"S"
"ANV","14:26:47",30.45,-0.65,2200,2432300,"S"
"ANV","14:26:45",30.45,-0.65,100,2430100,"S"
"ANV","14:26:42",30.4,-0.7,300,2430000,"B"
"ANV","14:26:40",30.45,-0.65,400,2429700,"B"
"ANV","14:26:34",30.5,-0.6,100,2429300,"S"
"ANV","14:26:30",30.5,-0.6,400,2429200,"B"
"ANV","14:26:29",30.5,-0.6,2600,2428800,"S"
"ANV","14:26:20",30.5,-0.6,7100,2426200,"S"
"ANV","14:26:16",30.5,-0.6,2000,2419100,"S"
"ANV","14:26:13",30.4,-0.7,11900,2417100,"B"
"ANV","14:26:13",30.45,-0.65,3100,2405200,"B"
"ANV","14:26:04",30.45,-0.65,1000,2401200,"B"
"ANV","14:25:51",30.45,-0.65,500,2400200,"S"
"ANV","14:25:47",30.45,-0.65,9500,2399700,"B"
"ANV","14:25:41",30.45,-0.65,1000,2390200,"B"
"ANV","14:25:35",30.45,-0.65,500,2389200,"B"
"ANV","14:25:32",30.45,-0.65,3400,2388700,"S"
"ANV","14:25:31",30.45,-0.65,200,2385300,"S"
"ANV","14:25:27",30.45,-0.65,300,2385100,"S"
"ANV","14:25:22",30.45,-0.65,1000,2384800,"S"
"ANV","14:25:22",30.45,-0.65,2000,2383800,"S"
"ANV","14:25:21",30.45,-0.65,900,2381800,"S"
"ANV","14:25:20",30.45,-0.65,1100,2380900,"S"
"ANV","14:25:14",30.45,-0.65,100,2379800,"S"
"ANV","14:25:11",30.45,-0.65,100,2379700,"S"
"ANV","14:25:08",30.45,-0.65,500,2379600,"S"
"ANV","14:25:00",30.45,-0.65,1000,2379100,"S"
"ANV","14:24:49",30.4,-0.7,9700,2378100,"S"
"ANV","14:24:46",30.4,-0.7,2300,2368400,"S"
"ANV","14:24:45",30.4,-0.7,400,2366100,"S"
"ANV","14:24:44",30.4,-0.7,600,2365700,"S"
"ANV","14:24:37",30.4,-0.7,3500,2365100,"S"
"ANV","14:24:32",30.4,-0.7,500,2361600,"S"
"ANV","14:24:19",30.4,-0.7,1000,2361100,"S"
"ANV","14:24:19",30.35,-0.75,400,2360100,"S"
"ANV","14:24:17",30.35,-0.75,500,2359700,"S"
"ANV","14:24:16",30.35,-0.75,5100,2359200,"B"
"ANV","14:24:00",30.35,-0.75,1000,2354100,"S"
"ANV","14:23:51",30.3,-0.8,200,2353100,"S"
"ANV","14:23:44",30.3,-0.8,100,2352900,"S"
"ANV","14:23:42",30.3,-0.8,100,2352800,"S"
"ANV","14:23:40",30.3,-0.8,100,2352700,"B"
"ANV","14:23:39",30.3,-0.8,200,2352600,"S"
"ANV","14:23:35",30.3,-0.8,200,2352400,"S"
"ANV","14:23:27",30.3,-0.8,100,2352200,"S"
"ANV","14:23:19",30.3,-0.8,500,2352100,"S"
"ANV","14:23:15",30.3,-0.8,12900,2351600,"S"
"ANV","14:23:13",30.2,-0.9,5000,2338700,"B"
"ANV","14:23:06",30.2,-0.9,5000,2333700,"B"
"ANV","14:23:02",30.3,-0.8,900,2328700,"S"
"ANV","14:22:47",30.3,-0.8,500,2327800,"S"
"ANV","14:22:15",30.3,-0.8,200,2327300,"S"
"ANV","14:22:07",30.2,-0.9,300,2327000,"S"
"ANV","14:22:07",30.2,-0.9,400,2326700,"S"
"ANV","14:21:57",30.2,-0.9,2000,2326300,"S"
"ANV","14:21:52",30.2,-0.9,1000,2324300,"S"
"ANV","14:21:32",30.2,-0.9,500,2323300,"S"
"ANV","14:21:30",30.3,-0.8,9000,2322800,"S"
"ANV","14:21:30",30.2,-0.9,1000,2313800,"S"
"ANV","14:21:20",30.2,-0.9,100,2312800,"B"
"ANV","14:21:16",30.3,-0.8,800,2312700,"S"
"ANV","14:21:16",30.25,-0.85,200,2311900,"S"
"ANV","14:21:14",30.1,-1,1500,2311700,"B"
"ANV","14:21:09",30.2,-0.9,1500,2309700,"S"
"ANV","14:21:08",30.2,-0.9,1000,2308200,"S"
"ANV","14:20:57",30.2,-0.9,4300,2307200,"S"
"ANV","14:20:57",30.15,-0.95,2700,2302900,"S"
"ANV","14:20:54",30.1,-1,500,2300200,"S"
"ANV","14:20:44",30.1,-1,200,2299700,"S"
"ANV","14:20:30",30.05,-1.05,10000,2299500,"B"
"ANV","14:19:49",30.05,-1.05,300,2289500,"B"
"ANV","14:19:42",30.05,-1.05,200,2289200,"S"
"ANV","14:19:41",30,-1.1,800,2289000,"B"
"ANV","14:19:39",30.05,-1.05,5000,2288200,"S"
"ANV","14:19:37",30.05,-1.05,100,2283200,"S"
"ANV","14:19:35",30.05,-1.05,1000,2283100,"S"
"ANV","14:19:23",30.05,-1.05,1000,2282100,"S"
"ANV","14:19:21",30.05,-1.05,1300,2281100,"S"
"ANV","14:19:04",30.05,-1.05,1000,2279800,"S"
"ANV","14:18:46",30.05,-1.05,100,2278800,"S"
"ANV","14:18:12",30,-1.1,800,2278700,"S"
"ANV","14:17:59",30,-1.1,1000,2277900,"S"
"ANV","14:17:40",30,-1.1,1600,2276900,"S"
"ANV","14:17:38",30,-1.1,100,2275300,"S"
"ANV","14:17:29",30,-1.1,6000,2275200,"S"
"ANV","14:17:25",30,-1.1,10000,2269200,"S"
"ANV","14:17:22",29.95,-1.15,1000,2259200,"B"
"ANV","14:17:19",29.95,-1.15,300,2258200,"B"
"ANV","14:17:14",29.95,-1.15,300,2257900,"B"
"ANV","14:17:06",29.95,-1.15,500,2257600,"B"
"ANV","14:16:54",30,-1.1,300,2257100,"S"
"ANV","14:16:52",30,-1.1,100,2256800,"S"
"ANV","14:16:48",30,-1.1,100,2256700,"S"
"ANV","14:16:46",30,-1.1,1700,2256600,"S"
"ANV","14:16:44",30,-1.1,200,2254900,"S"
"ANV","14:16:14",30,-1.1,1400,2254700,"S"
"ANV","14:16:04",30,-1.1,1400,2253300,"S"
"ANV","14:15:36",29.95,-1.15,5000,2251900,"B"
"ANV","14:15:31",29.95,-1.15,100,2246900,"B"
"ANV","14:15:29",29.95,-1.15,11000,2246800,"S"
"ANV","14:15:26",29.95,-1.15,100,2235800,"S"
"ANV","14:15:23",29.95,-1.15,400,2235700,"S"
