"symbol","time","price","change","vol","total","side"
"AAA","14:45:00",9.03,-0.04,109500,1208000,
"AAA","14:29:46",9.05,-0.02,5100,1098500,"B"
"AAA","14:29:46",9.06,-0.01,2100,1093400,"B"
"AAA","14:29:46",9.07,0,11800,1091300,"B"
"AAA","14:29:46",9.08,0.01,2000,1079500,"B"
"AAA","14:29:45",9.08,0.01,2000,1077500,"B"
"AAA","14:29:41",9.08,0.01,700,1075500,"S"
"AAA","14:29:20",9.08,0.01,300,1074800,"S"
"AAA","14:29:19",9.08,0.01,100,1074500,"S"
"AAA","14:29:15",9.08,0.01,1200,1074400,"S"
"AAA","14:28:58",9.08,0.01,200,1073200,"B"
"AAA","14:28:51",9.08,0.01,4800,1073000,"S"
"AAA","14:28:42",9.08,0.01,1300,1068200,"S"
"AAA","14:28:19",9.08,0.01,100,1066900,"S"
"AAA","14:28:12",9.08,0.01,200,1066800,"S"
"AAA","14:27:53",9.08,0.01,1000,1066600,"B"
"AAA","14:26:55",9.13,0.06,100,1065600,"S"
"AAA","14:26:55",9.11,0.04,100,1065500,"S"
"AAA","14:26:55",9.08,0.01,200,1065300,"S"
"AAA","14:26:44",9.08,0.01,200,1065100,"S"
"AAA","14:26:36",9.08,0.01,100,1064900,"S"
"AAA","14:26:14",9.07,0,4200,1064800,"S"
"AAA","14:26:02",9.07,0,8700,1060600,"S"
"AAA","14:25:59",9.06,-0.01,2000,1047000,"S"
"AAA","14:25:41",9.03,-0.04,10000,1045000,"B"
"AAA","14:25:30",9.03,-0.04,5000,1035000,"B"
"AAA","14:25:05",9.03,-0.04,300,1030000,"S"
"AAA","14:24:54",9.03,-0.04,100,1029700,"S"
"AAA","14:24:52",9.02,-0.05,100,1029600,"B"
"AAA","14:24:52",9.03,-0.04,600,1029500,"S"
"AAA","14:24:36",9.02,-0.05,4100,1028900,"B"
"AAA","14:24:32",9.03,-0.04,4000,1024800,"B"
"AAA","14:24:22",9.03,-0.04,400,1020800,"B"
"AAA","14:23:36",9.03,-0.04,6900,1020400,"B"
"AAA","14:23:36",9.04,-0.03,3000,1013500,"B"
"AAA","14:23:36",9.05,-0.02,19300,1010500,"B"
"AAA","14:23:36",9.06,-0.01,10800,991200,"B"
"AAA","14:22:44",9.06,-0.01,9000,980400,"B"
"AAA","14:22:37",9.06,-0.01,100,971400,"B"
"AAA","14:22:27",9.07,0,3000,971300,"S"
"AAA","14:22:11",9.07,0,400,968300,"B"
"AAA","14:21:49",9.08,0.01,1000,967900,"S"
"AAA","14:21:43",9.07,0,600,966900,"S"
"AAA","14:21:37",9.07,0,12400,966300,"B"
"AAA","14:21:32",9.08,0.01,200,953900,"S"
"AAA","14:21:25",9.07,0,1000,953700,"B"
"AAA","14:20:46",9.08,0.01,8600,952700,"B"
"AAA","14:20:46",9.09,0.02,700,944100,"B"
"AAA","14:20:43",9.1,0.03,100,943300,"B"
"AAA","14:20:19",9.1,0.03,1000,943200,"S"
"AAA","14:19:24",9.1,0.03,500,942200,"S"
"AAA","14:19:15",9.1,0.03,1000,941700,"S"
"AAA","14:18:48",9.1,0.03,1500,940700,"S"
"AAA","14:18:45",9.1,0.03,2000,939200,"B"
"AAA","14:18:18",9.1,0.03,4000,937200,"S"
"AAA","14:16:16",9.09,0.02,100,933200,"S"
"AAA","14:15:27",9.08,0.01,100,933100,"B"
"AAA","14:15:08",9.09,0.02,400,933000,"B"
"AAA","14:14:22",9.09,0.02,200,932600,"B"
"AAA","14:12:42",9.09,0.02,1000,932400,"B"
"AAA","14:11:45",9.09,0.02,300,931400,"B"
"AAA","14:10:49",9.09,0.02,200,931100,"B"
"AAA","14:09:48",9.09,0.02,500,930900,"B"
"AAA","14:09:10",9.09,0.02,1900,930400,"B"
"AAA","14:09:10",9.1,0.03,100,928500,"B"
"AAA","14:08:02",9.09,0.02,3400,928400,"B"
"AAA","14:08:02",9.1,0.03,20300,925000,"B"
"AAA","14:08:02",9.11,0.04,4000,904700,"B"
"AAA","14:08:02",9.12,0.05,6300,900700,"B"
"AAA","14:07:42",9.14,0.07,400,894400,"S"
"AAA","14:07:24",9.14,0.07,400,894000,"B"
"AAA","14:07:09",9.18,0.11,100,893600,"S"
"AAA","14:07:09",9.17,0.1,100,893500,"S"
"AAA","14:07:09",9.16,0.09,100,893400,"S"
"AAA","14:06:55",9.16,0.09,400,893300,"S"
"AAA","14:06:55",9.15,0.08,3600,892900,"S"
"AAA","14:06:49",9.15,0.08,100,889300,"S"
"AAA","14:06:44",9.14,0.07,300,889200,"B"
"AAA","14:06:21",9.14,0.07,500,888900,"B"
"AAA","14:06:16",9.14,0.07,4600,888400,"B"
"AAA","14:06:08",9.14,0.07,100,883800,"B"
"AAA","14:06:00",9.15,0.08,4100,883700,"S"
"AAA","14:05:50",9.14,0.07,3000,879600,"B"
"AAA","14:05:32",9.14,0.07,15100,876600,"S"
"AAA","14:05:32",9.13,0.06,6000,861500,"S"
"AAA","14:05:26",9.12,0.05,2000,855500,"B"
"AAA","14:05:14",9.13,0.06,100,853500,"S"
"AAA","14:05:01",9.12,0.05,200,853400,"B"
"AAA","14:04:09",9.12,0.05,200,853200,"B"
"AAA","14:03:46",9.13,0.06,1100,853000,"S"
"AAA","14:02:51",9.13,0.06,200,851900,"S"
"AAA","14:02:28",9.13,0.06,100,851700,"S"
"AAA","14:02:07",9.13,0.06,4000,851600,"S"
"AAA","14:02:03",9.12,0.05,300,847600,"S"
"AAA","14:01:54",9.12,0.05,5000,847300,"S"
"AAA","14:00:32",9.11,0.04,600,842300,"S"
"AAA","14:00:26",9.1,0.03,300,841700,"B"
"AAA","13:59:52",9.1,0.03,1900,841400,"S"
"AAA","13:59:44",9.1,0.03,5000,839500,"S"
"AAA","13:59:39",9.1,0.03,100,834500,"S"
"AAA","13:59:38",9.1,0.03,1000,834400,"S"
"AAA","13:59:27",9.1,0.03,500,833400,"S"
"AAA","13:59:24",9.1,0.03,1000,832900,"S"
"AAA","13:59:23",9.1,0.03,1000,831900,"S"
"AAA","13:58:22",9.09,0.02,600,830900,"B"
"AAA","13:57:42",9.09,0.02,1400,830300,"B"
"AAA","13:56:54",9.09,0.02,100,828900,"B"
"AAA","13:55:38",9.09,0.02,500,828800,"S"
"AAA","13:55:33",9.09,0.02,1000,828300,"S"
"AAA","13:55:28",9.09,0.02,2000,827300,"S"
"AAA","13:55:04",9.08,0.01,2900,825300,"B"
"AAA","13:54:49",9.09,0.02,100,822400,"S"
"AAA","13:53:48",9.08,0.01,300,822300,"B"
"AAA","13:53:44",9.08,0.01,300,822000,"B"
"AAA","13:53:10",9.09,0.02,100,821700,"S"
"AAA","13:53:02",9.09,0.02,100,821600,"S"
"AAA","13:51:57",9.08,0.01,12700,821500,"B"
"AAA","13:51:52",9.09,0.02,500,808800,"S"
"AAA","13:51:49",9.09,0.02,400,808300,"S"
"AAA","13:51:23",9.09,0.02,2300,807900,"B"
"AAA","13:51:22",9.1,0.03,300,805600,"S"
"AAA","13:51:10",9.09,0.02,2000,805300,"B"
"AAA","13:50:58",9.09,0.02,200,803300,"B"
"AAA","13:50:57",9.09,0.02,1700,803100,"B"
"AAA","13:50:24",9.09,0.02,1000,801400,"B"
"AAA","13:50:11",9.09,0.02,100,800400,"B"
"AAA","13:48:02",9.1,0.03,100,800300,"S"
"AAA","13:47:32",9.09,0.02,700,800200,"B"
"AAA","13:46:42",9.09,0.02,2300,799500,"B"
"AAA","13:46:18",9.1,0.03,5000,797200,"S"
"AAA","13:45:45",9.09,0.02,100,792200,"B"
"AAA","13:44:54",9.09,0.02,10000,792100,"B"
"AAA","13:44:10",9.09,0.02,10000,782100,"B"
"AAA","13:44:08",9.09,0.02,600,772100,"B"
"AAA","13:43:18",9.09,0.02,100,771500,"B"
"AAA","13:42:46",9.1,0.03,1900,771400,"S"
"AAA","13:42:37",9.1,0.03,300,769500,"S"
"AAA","13:42:24",9.1,0.03,1000,769200,"B"
"AAA","13:41:55",9.11,0.04,900,768200,"B"
"AAA","13:41:54",9.11,0.04,3000,767300,"B"
"AAA","13:41:50",9.11,0.04,1000,764300,"B"
"AAA","13:41:48",9.12,0.05,500,763300,"S"
"AAA","13:40:05",9.11,0.04,100,762800,"S"
"AAA","13:39:09",9.11,0.04,400,762700,"B"
"AAA","13:38:07",9.12,0.05,400,762300,"S"
"AAA","13:37:47",9.12,0.05,300,761900,"S"
"AAA","13:36:09",9.12,0.05,3700,761600,"S"
"AAA","13:36:03",9.11,0.04,5000,757900,"B"
"AAA","13:36:00",9.11,0.04,200,752900,"B"
"AAA","13:34:18",9.11,0.04,300,752700,"S"
"AAA","13:34:11",9.1,0.03,2500,752400,"S"
"AAA","13:34:04",9.1,0.03,1200,749900,"S"
"AAA","13:34:04",9.1,0.03,700,748700,"S"
"AAA","13:33:21",9.1,0.03,100,748000,"S"
"AAA","13:32:32",9.1,0.03,800,747900,"S"
"AAA","13:32:07",9.09,0.02,7000,747100,"B"
"AAA","13:32:00",9.1,0.03,200,740100,"S"
"AAA","13:31:23",9.09,0.02,700,739900,"B"
"AAA","13:31:07",9.1,0.03,200,739200,"S"
"AAA","13:30:49",9.1,0.03,200,739000,"S"
"AAA","13:30:36",9.09,0.02,1300,738800,"S"
"AAA","13:29:31",9.09,0.02,100,737500,"B"
"AAA","13:29:00",9.09,0.02,5000,737400,"B"
"AAA","13:28:15",9.09,0.02,4900,732400,"S"
"AAA","13:28:05",9.06,-0.01,1000,727500,"B"
"AAA","13:27:32",9.06,-0.01,10000,726500,"B"
"AAA","13:26:21",9.06,-0.01,2000,716500,"B"
"AAA","13:26:13",9.06,-0.01,1100,714500,"B"
"AAA","13:25:37",9.06,-0.01,10000,713400,"B"
"AAA","13:25:22",9.07,0,500,703400,"B"
"AAA","13:24:02",9.08,0.01,200,702900,"S"
"AAA","13:23:02",9.08,0.01,6000,702700,"S"
"AAA","13:23:02",9.07,0,9000,696700,"S"
"AAA","13:22:58",9.07,0,1000,687700,"B"
"AAA","13:22:23",9.08,0.01,4200,686700,"B"
"AAA","13:21:25",9.09,0.02,100,682500,"B"
"AAA","13:20:58",9.09,0.02,100,682400,"B"
"AAA","13:20:16",9.09,0.02,1000,682300,"B"
"AAA","13:20:02",9.09,0.02,5000,681300,"B"
"AAA","13:20:00",9.09,0.02,1000,676300,"B"
"AAA","13:19:34",9.1,0.03,300,675300,"S"
"AAA","13:19:33",9.1,0.03,200,675000,"S"
"AAA","13:18:32",9.1,0.03,10000,674800,"S"
"AAA","13:18:30",9.1,0.03,100,664800,"S"
"AAA","13:18:15",9.09,0.02,2800,664700,"S"
"AAA","13:17:58",9.08,0.01,900,661900,"S"
"AAA","13:16:02",9.08,0.01,600,661000,"B"
"AAA","13:16:01",9.08,0.01,1000,660400,"B"
"AAA","13:15:30",9.08,0.01,400,659400,"S"
"AAA","13:15:20",9.08,0.01,600,659000,"B"
"AAA","13:14:36",9.08,0.01,200,658400,"S"
"AAA","13:13:46",9.08,0.01,300,658200,"S"
"AAA","13:13:46",9.07,0,200,657900,"S"
"AAA","13:13:38",9.07,0,500,657700,"B"
"AAA","13:13:00",9.07,0,1500,657200,"S"
"AAA","13:12:44",9.05,-0.02,4700,655700,"B"
"AAA","13:12:44",9.06,-0.01,300,651000,"B"
"AAA","13:12:02",9.07,0,100,650700,"S"
