"symbol","time","price","change","vol","total","side"
"DGC","14:45:00",94.2,-1.3,45100,795100,
"DGC","14:29:52",94.7,-0.8,200,750000,"S"
"DGC","14:29:46",94.7,-0.8,500,749800,"S"
"DGC","14:29:37",94.7,-0.8,500,749300,"S"
"DGC","14:29:32",94.6,-0.9,100,748800,"S"
"DGC","14:29:27",94.5,-1,200,748700,"B"
"DGC","14:29:27",94.6,-0.9,100,748500,"B"
"DGC","14:29:16",94.3,-1.2,1300,748400,"B"
"DGC","14:29:16",94.4,-1.1,2900,747100,"B"
"DGC","14:29:16",94.6,-0.9,800,744200,"B"
"DGC","14:29:08",94.6,-0.9,700,743400,"S"
"DGC","14:29:04",94.4,-1.1,2400,742700,"B"
"DGC","14:28:51",94.5,-1,1300,740300,"B"
"DGC","14:28:51",94.6,-0.9,3300,739000,"B"
"DGC","14:28:37",94.6,-0.9,7500,735700,"B"
"DGC","14:28:24",94.6,-0.9,100,728200,"B"
"DGC","14:27:34",94.6,-0.9,2000,728100,"B"
"DGC","14:27:28",94.6,-0.9,800,726100,"S"
"DGC","14:27:27",94.6,-0.9,300,725300,"S"
"DGC","14:27:08",94.6,-0.9,100,725000,"S"
"DGC","14:27:07",94.6,-0.9,400,724900,"S"
"DGC","14:27:05",94.6,-0.9,2200,724500,"B"
"DGC","14:27:05",94.7,-0.8,200,722300,"B"
"DGC","14:27:04",94.8,-0.7,700,722100,"S"
"DGC","14:27:04",94.7,-0.8,200,721400,"S"
"DGC","14:27:00",94.7,-0.8,300,721200,"S"
"DGC","14:26:58",94.7,-0.8,500,720900,"S"
"DGC","14:26:33",94.6,-0.9,800,720400,"S"
"DGC","14:26:29",94.6,-0.9,200,719600,"S"
"DGC","14:26:26",94.6,-0.9,100,719400,"S"
"DGC","14:26:16",94.5,-1,3400,719300,"S"
"DGC","14:26:14",94.4,-1.1,100,715900,"S"
"DGC","14:26:04",94.3,-1.2,100,715800,"S"
"DGC","14:25:50",94.3,-1.2,100,715700,"S"
"DGC","14:25:49",94.3,-1.2,100,715600,"S"
"DGC","14:25:47",94.3,-1.2,100,715500,"S"
"DGC","14:25:24",94.3,-1.2,100,715400,"S"
"DGC","14:25:13",94.2,-1.3,100,715300,"B"
"DGC","14:25:11",94.2,-1.3,100,715200,"B"
"DGC","14:25:01",94.2,-1.3,100,715100,"B"
"DGC","14:24:57",94.2,-1.3,200,715000,"B"
"DGC","14:24:52",94.2,-1.3,300,714800,"B"
"DGC","14:24:46",94.2,-1.3,100,714500,"S"
"DGC","14:24:41",94.2,-1.3,100,714400,"S"
"DGC","14:24:40",94.2,-1.3,100,714300,"S"
"DGC","14:24:36",94.2,-1.3,100,714200,"S"
"DGC","14:24:28",94.2,-1.3,100,714100,"S"
"DGC","14:24:21",94.1,-1.4,100,714000,"S"
"DGC","14:24:17",94,-1.5,100,713900,"B"
"DGC","14:24:16",94.1,-1.4,100,713800,"S"
"DGC","14:24:07",94.1,-1.4,100,713700,"S"
"DGC","14:24:06",94,-1.5,1500,713600,"B"
"DGC","14:24:03",94,-1.5,200,712100,"B"
"DGC","14:23:59",94,-1.5,100,711900,"B"
"DGC","14:23:57",94,-1.5,500,711800,"B"
"DGC","14:23:55",94,-1.5,2000,711300,"S"
"DGC","14:23:51",94,-1.5,8100,709300,"B"
"DGC","14:23:47",94,-1.5,500,701200,"B"
"DGC","14:23:46",94,-1.5,300,700700,"B"
"DGC","14:23:46",94,-1.5,12000,700400,"B"
"DGC","14:23:42",94,-1.5,1400,688400,"B"
"DGC","14:23:42",94.1,-1.4,100,687000,"B"
"DGC","14:23:41",94.2,-1.3,2000,686900,"S"
"DGC","14:23:35",94,-1.5,2500,684900,"B"
"DGC","14:23:35",94.1,-1.4,1500,682400,"B"
"DGC","14:23:27",94.1,-1.4,300,680900,"B"
"DGC","14:23:23",94.1,-1.4,2500,680600,"B"
"DGC","14:23:18",94.2,-1.3,1500,678100,"B"
"DGC","14:23:10",94.2,-1.3,1600,676600,"B"
"DGC","14:22:59",94.3,-1.2,500,675000,"B"
"DGC","14:22:52",94.3,-1.2,500,674500,"B"
"DGC","14:22:30",94.5,-1,400,674000,"S"
