"symbol","time","price","change","vol","total","side"
"MSB","14:45:00",12.8,0,224600,1611700,
"MSB","14:29:52",12.7,-0.1,2100,1387100,"B"
"MSB","14:29:46",12.75,-0.05,5000,1385000,"S"
"MSB","14:29:40",12.75,-0.05,500,1380000,"S"
"MSB","14:29:29",12.7,-0.1,1000,1379500,"B"
"MSB","14:29:18",12.75,-0.05,5000,1378500,"S"
"MSB","14:29:16",12.75,-0.05,3000,1373500,"S"
"MSB","14:28:51",12.75,-0.05,14000,1370500,"S"
"MSB","14:28:50",12.7,-0.1,600,1356500,"B"
"MSB","14:28:46",12.7,-0.1,500,1355900,"B"
"MSB","14:28:45",12.7,-0.1,400,1355400,"B"
"MSB","14:28:22",12.7,-0.1,5400,1355000,"B"
"MSB","14:28:20",12.7,-0.1,5400,1349600,"B"
"MSB","14:27:49",12.7,-0.1,500,1344200,"B"
"MSB","14:27:37",12.7,-0.1,100,1343700,"B"
"MSB","14:27:26",12.7,-0.1,3400,1343600,"B"
"MSB","14:27:02",12.7,-0.1,400,1340200,"B"
"MSB","14:26:29",12.7,-0.1,100,1339800,"B"
"MSB","14:26:19",12.7,-0.1,500,1339700,"B"
"MSB","14:26:05",12.7,-0.1,1000,1339200,"B"
"MSB","14:26:00",12.75,-0.05,1000,1338200,"S"
"MSB","14:25:43",12.7,-0.1,1000,1337200,"B"
"MSB","14:25:29",12.7,-0.1,600,1336200,"B"
"MSB","14:25:27",12.7,-0.1,2200,1335600,"B"
"MSB","14:25:18",12.75,-0.05,1100,1333400,"S"
"MSB","14:25:10",12.75,-0.05,400,1332300,"S"
"MSB","14:24:44",12.75,-0.05,4100,1331900,"B"
"MSB","14:24:20",12.75,-0.05,600,1327800,"B"
"MSB","14:24:00",12.75,-0.05,26600,1327200,"S"
"MSB","14:23:27",12.75,-0.05,100,1300600,"S"
"MSB","14:23:22",12.75,-0.05,500,1300500,"S"
"MSB","14:23:22",12.7,-0.1,400,1300000,"B"
"MSB","14:23:07",12.75,-0.05,200,1299600,"S"
"MSB","14:23:03",12.75,-0.05,200,1299400,"S"
"MSB","14:22:50",12.75,-0.05,500,1299200,"S"
"MSB","14:22:47",12.75,-0.05,5000,1298700,"S"
"MSB","14:22:42",12.75,-0.05,100,1293700,"S"
"MSB","14:22:37",12.7,-0.1,600,1293600,"B"
"MSB","14:22:26",12.75,-0.05,500,1293000,"S"
"MSB","14:22:24",12.75,-0.05,100,1292500,"S"
"MSB","14:22:20",12.75,-0.05,200,1292400,"S"
"MSB","14:21:52",12.75,-0.05,5000,1292200,"S"
"MSB","14:21:35",12.7,-0.1,400,1287200,"B"
