"symbol","time","price","change","vol","total","side"
"TNI","14:45:01",2.74,0.01,3500,65900,
"TNI","14:27:46",2.74,0.01,1500,62400,"S"
"TNI","14:19:04",2.74,0.01,1300,60900,"S"
"TNI","14:16:19",2.74,0.01,300,59600,"S"
"TNI","14:15:49",2.74,0.01,500,59300,"S"
"TNI","14:15:33",2.74,0.01,200,58800,"S"
"TNI","14:13:23",2.73,0,100,58600,"B"
"TNI","14:04:48",2.74,0.01,100,58500,"S"
"TNI","14:04:02",2.72,-0.01,1000,58400,"B"
"TNI","14:03:33",2.72,-0.01,1000,57400,"B"
"TNI","13:56:54",2.74,0.01,100,56400,"S"
"TNI","13:56:07",2.72,-0.01,1000,56300,"B"
"TNI","13:48:23",2.74,0.01,100,55300,"S"
"TNI","13:48:05",2.72,-0.01,1000,55200,"B"
"TNI","13:47:07",2.74,0.01,100,54200,"S"
"TNI","13:45:14",2.72,-0.01,1000,54100,"B"
"TNI","13:41:58",2.74,0.01,100,53100,"S"
"TNI","13:35:37",2.72,-0.01,1000,53000,"B"
"TNI","13:28:53",2.75,0.02,100,52000,"S"
"TNI","13:28:28",2.72,-0.01,1000,51900,"B"
"TNI","13:28:16",2.72,-0.01,900,50900,"B"
"TNI","13:27:22",2.74,0.01,100,50000,"S"
"TNI","13:22:09",2.75,0.02,300,49900,"S"
"TNI","13:22:09",2.74,0.01,700,49600,"S"
"TNI","13:21:16",2.72,-0.01,1000,48900,"B"
"TNI","13:21:08",2.74,0.01,100,47900,"S"
"TNI","13:20:51",2.72,-0.01,200,47800,"B"
"TNI","13:20:43",2.74,0.01,100,47600,"S"
"TNI","13:13:49",2.72,-0.01,100,47500,"B"
"TNI","13:12:00",2.74,0.01,100,47400,"S"
"TNI","13:12:00",2.73,0,100,47300,"S"
"TNI","13:10:21",2.72,-0.01,100,47200,"B"
"TNI","11:25:41",2.74,0.01,100,47100,"S"
"TNI","11:25:31",2.73,0,100,47000,"S"
"TNI","11:25:09",2.72,-0.01,100,46900,"B"
"TNI","11:13:41",2.73,0,2300,46800,"B"
"TNI","11:10:10",2.73,0,2300,44500,"S"
"TNI","11:08:02",2.73,0,3000,42200,"S"
"TNI","10:59:44",2.73,0,700,39200,"S"
"TNI","10:34:30",2.73,0,200,38500,"S"
"TNI","10:34:22",2.73,0,4600,38300,"B"
"TNI","10:19:42",2.74,0.01,800,33700,"S"
"TNI","10:19:15",2.74,0.01,500,32900,"B"
"TNI","10:18:44",2.74,0.01,1000,32400,"B"
"TNI","10:08:07",2.74,0.01,200,31400,"B"
"TNI","10:04:34",2.74,0.01,400,31200,"B"
"TNI","09:56:04",2.74,0.01,1000,30800,"B"
"TNI","09:52:13",2.76,0.03,100,29800,"S"
"TNI","09:52:13",2.75,0.02,500,29700,"S"
"TNI","09:50:31",2.74,0.01,500,29200,"S"
"TNI","09:43:49",2.73,0,3000,28700,"B"
"TNI","09:38:09",2.73,0,1200,25700,"B"
"TNI","09:37:34",2.73,0,300,24500,"B"
"TNI","09:36:24",2.73,0,2000,24200,"B"
"TNI","09:34:38",2.73,0,1000,22200,"B"
"TNI","09:34:10",2.73,0,9600,21200,"S"
"TNI","09:31:37",2.73,0,100,11600,"S"
"TNI","09:31:17",2.72,-0.01,3000,11500,"B"
"TNI","09:29:19",2.73,0,100,8500,"S"
"TNI","09:27:06",2.73,0,2000,8400,"B"
"TNI","09:25:08",2.73,0,2000,6400,"B"
"TNI","09:21:28",2.73,0,1000,4400,"B"
"TNI","09:17:03",2.76,0.03,500,3400,"S"
"TNI","09:15:02",2.73,0,100,2900,"B"
"TNI","09:15:01",2.73,0,2800,2800,
