"symbol","time","price","change","vol","total","side"
"KHP","14:45:01",9.2,0.03,3000,75000,
"KHP","14:24:54",9.19,0.02,700,72000,"S"
"KHP","14:20:26",9.19,0.02,100,71300,"S"
"KHP","14:09:31",9.16,-0.01,600,71200,"S"
"KHP","14:09:11",9.16,-0.01,4000,70600,"S"
"KHP","14:07:55",9.16,-0.01,2100,66600,"S"
"KHP","14:06:56",9.16,-0.01,100,64500,"S"
"KHP","14:06:26",9.16,-0.01,13200,64400,"B"
"KHP","14:00:57",9.16,-0.01,100,51200,"B"
"KHP","13:54:06",9.16,-0.01,1900,51000,"B"
"KHP","13:53:52",9.17,0,3100,49100,"B"
"KHP","13:53:38",9.17,0,200,46000,"B"
"KHP","13:52:17",9.17,0,100,45800,"B"
"KHP","13:49:32",9.17,0,400,45700,"B"
"KHP","13:49:30",9.17,0,700,45300,"B"
"KHP","13:48:47",9.17,0,2500,44600,"B"
"KHP","13:47:09",9.19,0.02,300,42100,"S"
"KHP","13:38:03",9.17,0,400,41800,"B"
"KHP","13:33:08",9.17,0,3000,41400,"B"
"KHP","13:31:44",9.17,0,1100,38400,"B"
"KHP","13:30:42",9.17,0,600,37300,"B"
"KHP","13:26:01",9.18,0.01,400,36700,"S"
"KHP","13:12:29",9.18,0.01,200,36300,"S"
"KHP","13:07:03",9.17,0,100,36100,"B"
"KHP","11:29:32",9.2,0.03,5100,36000,"S"
"KHP","11:27:00",9.16,-0.01,18500,30900,"B"
"KHP","11:26:09",9.18,0.01,200,12400,"B"
"KHP","11:20:22",9.2,0.03,100,12200,"S"
"KHP","11:12:58",9.17,0,300,12100,"B"
"KHP","11:11:51",9.17,0,3000,11800,"B"
"KHP","10:28:58",9.2,0.03,300,8800,"S"
"KHP","10:18:52",9.2,0.03,1000,8500,"S"
"KHP","09:45:30",9.2,0.03,2500,7500,"S"
"KHP","09:44:13",9.17,0,100,5000,"B"
"KHP","09:43:29",9.19,0.02,700,4900,"S"
"KHP","09:35:55",9.17,0,100,4200,"S"
"KHP","09:35:29",9.17,0,2400,4100,"S"
"KHP","09:30:49",9.17,0,500,1700,"S"
"KHP","09:30:44",9.15,-0.02,1000,1200,"B"
"KHP","09:17:15",9.17,0,100,200,"S"
"KHP","09:16:15",9.17,0,100,100,"S"
