"symbol","time","price","change","vol","total","side"
"NO1","14:45:00",10,0.6,10800,650900,
"NO1","14:29:40",9.98,0.58,3000,640100,"S"
"NO1","14:29:12",9.98,0.58,3000,637100,"B"
"NO1","14:28:25",10,0.6,5000,634100,"S"
"NO1","14:28:10",10,0.6,3200,629100,"B"
"NO1","14:27:45",10.05,0.65,3000,625900,"S"
"NO1","14:27:28",10,0.6,2000,622900,"B"
"NO1","14:27:04",10.05,0.65,3000,620900,"S"
"NO1","14:26:45",10.05,0.65,10000,617900,"S"
"NO1","14:26:20",10.05,0.65,3100,607900,"S"
"NO1","14:25:48",10.05,0.65,5000,604800,"S"
"NO1","14:25:39",10.05,0.65,2900,599800,"S"
"NO1","14:24:27",10.05,0.65,3300,596900,"S"
"NO1","14:23:57",10.05,0.65,1900,593600,"S"
"NO1","14:23:28",10.05,0.65,5000,591700,"S"
"NO1","14:22:37",10.05,0.65,3300,586700,"S"
"NO1","14:22:14",10.05,0.65,3000,583400,"S"
"NO1","14:22:07",10.05,0.65,10000,580400,"S"
"NO1","14:21:49",10.05,0.65,1900,570400,"S"
"NO1","14:21:23",10.05,0.65,3800,568500,"S"
"NO1","14:20:54",10.05,0.65,2900,564700,"S"
"NO1","14:20:44",10.05,0.65,2000,561800,"S"
"NO1","14:19:54",10.05,0.65,3000,559800,"S"
"NO1","14:19:15",10.05,0.65,5000,556800,"S"
"NO1","14:18:24",10.05,0.65,3100,551800,"S"
"NO1","14:18:01",10.05,0.65,2200,548700,"S"
"NO1","14:17:09",10.05,0.65,3900,546500,"S"
"NO1","14:16:16",10.05,0.65,3300,542600,"S"
"NO1","14:16:08",10.05,0.65,2900,539300,"S"
"NO1","14:15:32",10.05,0.65,6000,536400,"S"
"NO1","14:14:57",10.05,0.65,3900,530400,"S"
"NO1","14:14:28",10.05,0.65,5100,526500,"S"
"NO1","14:14:00",10.05,0.65,3300,521400,"S"
"NO1","14:13:18",10.05,0.65,10000,518100,"S"
"NO1","14:13:09",10.05,0.65,7100,508100,"S"
"NO1","14:12:59",10.05,0.65,6200,501000,"S"
"NO1","14:12:08",10.05,0.65,5700,494800,"S"
"NO1","14:11:53",10.05,0.65,3900,489100,"S"
"NO1","14:11:30",10.05,0.65,1900,485200,"S"
"NO1","14:11:20",10.05,0.65,10000,483300,"S"
"NO1","14:10:55",10.05,0.65,8000,473300,"S"
"NO1","14:10:25",10,0.6,200,465300,"B"
"NO1","14:09:39",10.05,0.65,15000,465100,"S"
"NO1","14:08:21",10.05,0.65,5800,450100,"S"
"NO1","14:08:07",10.05,0.65,10000,444300,"S"
"NO1","14:07:50",10.05,0.65,5800,434300,"S"
"NO1","14:07:16",10.05,0.65,1200,428500,"S"
"NO1","14:07:15",10.05,0.65,5500,427300,"S"
"NO1","14:06:59",10,0.6,4600,421800,"S"
"NO1","14:06:37",10,0.6,10000,417200,"S"
"NO1","14:06:12",10,0.6,1800,407200,"S"
"NO1","14:04:40",10,0.6,10000,405400,"S"
"NO1","14:03:32",10,0.6,2000,395400,"S"
"NO1","14:02:22",10,0.6,1800,393400,"S"
"NO1","14:02:02",9.9,0.5,2500,391600,"S"
"NO1","14:01:46",9.9,0.5,2200,389100,"S"
"NO1","14:01:23",9.9,0.5,2000,386900,"S"
"NO1","14:01:16",9.9,0.5,1900,384900,"S"
"NO1","14:00:52",9.9,0.5,2200,383000,"S"
"NO1","14:00:39",9.9,0.5,3300,380800,"S"
"NO1","14:00:38",9.88,0.48,2000,377500,"B"
"NO1","13:59:55",9.9,0.5,1800,375500,"S"
"NO1","13:59:20",9.9,0.5,10000,373700,"S"
"NO1","13:58:44",9.9,0.5,5000,363700,"S"
"NO1","13:58:04",9.9,0.5,1100,358700,"S"
"NO1","13:58:04",9.88,0.48,2000,357600,"S"
"NO1","13:57:56",9.85,0.45,2400,355600,"S"
"NO1","13:57:42",9.85,0.45,2600,353200,"B"
"NO1","13:57:35",9.85,0.45,2400,350600,"S"
"NO1","13:56:48",9.85,0.45,1100,348200,"S"
"NO1","13:56:20",9.85,0.45,3100,347100,"S"
"NO1","13:55:27",9.85,0.45,2100,344000,"S"
"NO1","13:54:53",9.85,0.45,1300,341900,"S"
"NO1","13:54:42",9.8,0.4,3100,340600,"S"
"NO1","13:54:26",9.8,0.4,2200,337500,"S"
"NO1","13:53:34",9.8,0.4,700,335300,"S"
"NO1","13:53:34",9.8,0.4,1000,334600,"S"
"NO1","13:53:09",9.8,0.4,1300,333600,"S"
"NO1","13:52:57",9.8,0.4,2200,332300,"S"
"NO1","13:52:31",9.8,0.4,2000,330100,"S"
"NO1","13:51:45",9.8,0.4,1500,328100,"S"
"NO1","13:50:51",9.8,0.4,1900,326600,"S"
"NO1","13:49:30",9.8,0.4,100,324700,"S"
"NO1","13:49:16",9.75,0.35,2800,324600,"S"
"NO1","13:49:01",9.75,0.35,1100,321800,"S"
"NO1","13:42:32",9.73,0.33,1000,320700,"B"
"NO1","13:42:24",9.75,0.35,1100,319700,"S"
"NO1","13:39:29",9.7,0.3,8000,318600,"S"
"NO1","13:36:43",9.7,0.3,100,310600,"S"
"NO1","13:36:39",9.7,0.3,10000,310500,"S"
"NO1","13:36:20",9.7,0.3,9000,300500,"S"
"NO1","13:33:42",9.65,0.25,3000,291500,"B"
"NO1","13:33:10",9.7,0.3,3700,288500,"S"
"NO1","13:32:51",9.7,0.3,700,284800,"S"
"NO1","13:32:51",9.68,0.28,8200,284100,"S"
"NO1","13:32:42",9.68,0.28,1800,275900,"B"
"NO1","13:32:37",9.7,0.3,10000,274100,"S"
"NO1","13:32:35",9.7,0.3,100,264100,"S"
"NO1","13:32:35",9.69,0.29,29900,264000,"S"
"NO1","13:31:40",9.69,0.29,100,234100,"S"
"NO1","13:30:39",9.7,0.3,200,234000,"S"
"NO1","13:30:24",9.69,0.29,1000,232000,"S"
"NO1","13:30:20",9.69,0.29,7200,231000,"S"
"NO1","13:29:59",9.69,0.29,5000,223800,"S"
"NO1","13:28:54",9.7,0.3,1500,218800,"S"
"NO1","13:27:15",9.7,0.3,1000,217300,"S"
"NO1","13:27:15",9.69,0.29,1000,216300,"S"
"NO1","13:25:11",9.68,0.28,1600,215300,"B"
"NO1","13:24:48",9.68,0.28,2200,213700,"S"
"NO1","13:24:25",9.65,0.25,3100,211500,"S"
"NO1","13:24:25",9.64,0.24,300,208400,"S"
"NO1","13:18:53",9.57,0.17,1000,208100,"B"
"NO1","13:08:20",9.55,0.15,2400,207100,"S"
"NO1","13:07:37",9.55,0.15,2600,204700,"B"
"NO1","13:00:10",9.55,0.15,2800,202100,"B"
"NO1","13:00:10",9.57,0.17,2200,199300,"B"
"NO1","11:29:40",9.6,0.2,2200,197100,"S"
"NO1","11:29:20",9.6,0.2,1300,194900,"S"
"NO1","11:29:01",9.6,0.2,5000,193600,"S"
"NO1","11:28:46",9.6,0.2,1500,188600,"B"
"NO1","11:27:30",9.6,0.2,1500,187100,"B"
"NO1","11:22:56",9.6,0.2,1000,185600,"B"
"NO1","11:22:25",9.7,0.3,300,184600,"S"
"NO1","11:22:25",9.65,0.25,1000,184300,"S"
"NO1","11:19:53",9.62,0.22,500,180600,"S"
"NO1","11:19:53",9.6,0.2,11500,180100,"S"
"NO1","11:19:33",9.6,0.2,8000,168600,"S"
"NO1","11:16:42",9.6,0.2,8000,160600,"S"
"NO1","11:16:27",9.6,0.2,7000,152600,"S"
"NO1","11:16:17",9.6,0.2,200,145600,"S"
"NO1","11:15:46",9.6,0.2,8000,145400,"S"
"NO1","11:15:30",9.6,0.2,5000,137400,"S"
"NO1","11:13:26",9.6,0.2,7000,132400,"S"
"NO1","11:13:07",9.6,0.2,1800,125400,"S"
"NO1","11:13:07",9.57,0.17,3200,123600,"S"
"NO1","11:11:27",9.55,0.15,2000,120400,"B"
"NO1","11:06:34",9.55,0.15,4000,118400,"B"
"NO1","11:04:09",9.57,0.17,1800,114400,"B"
"NO1","11:02:49",9.57,0.17,2300,112600,"S"
"NO1","11:02:49",9.56,0.16,1200,110300,"S"
"NO1","11:01:16",9.55,0.15,3100,109100,"S"
"NO1","11:01:16",9.53,0.13,700,106000,"S"
"NO1","10:58:31",9.53,0.13,300,105300,"S"
"NO1","10:58:31",9.49,0.09,3700,105000,"S"
"NO1","10:58:06",9.49,0.09,5000,101300,"S"
"NO1","10:57:53",9.5,0.1,1300,96300,"B"
"NO1","10:57:48",9.5,0.1,4900,95000,"S"
"NO1","10:57:33",9.5,0.1,1400,90100,"S"
"NO1","10:57:33",9.49,0.09,1600,88700,"S"
"NO1","10:57:15",9.49,0.09,7800,87100,"S"
"NO1","10:57:01",9.49,0.09,5600,79300,"S"
"NO1","10:49:15",9.5,0.1,200,73700,"S"
"NO1","10:49:15",9.49,0.09,5000,73500,"S"
"NO1","10:49:03",9.49,0.09,5000,68500,"S"
"NO1","10:45:40",9.5,0.1,600,63500,"S"
"NO1","10:45:40",9.49,0.09,7400,62900,"S"
"NO1","10:44:45",9.49,0.09,11200,55500,"S"
"NO1","10:44:24",9.49,0.09,3400,44300,"S"
"NO1","10:44:24",9.48,0.08,3800,40900,"S"
"NO1","10:44:12",9.48,0.08,1200,37100,"B"
"NO1","10:43:37",9.49,0.09,10000,35900,"S"
"NO1","10:43:24",9.49,0.09,8000,25900,"S"
"NO1","10:42:37",9.49,0.09,7000,17900,"S"
"NO1","10:42:00",9.49,0.09,3000,10900,"S"
"NO1","10:39:13",9.5,0.1,2000,7900,"S"
"NO1","10:28:02",9.48,0.08,2100,5900,"S"
"NO1","10:25:05",9.45,0.05,200,3800,"S"
"NO1","10:25:05",9.43,0.03,500,3600,"S"
"NO1","10:18:03",9.4,0,200,3100,"S"
"NO1","09:35:50",9.4,0,1800,2900,"B"
"NO1","09:15:03",9.45,0.05,1100,1100,
