"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
150091179,"FIT","1700207092","unknown","116800","4540","8109000","2023-11-17T07:45:06.504Z","2023-11-17T07:45:06.504Z"
150089316,"FIT","1700206178","s","1000","4540","8108000","2023-11-17T07:29:51.487Z","2023-11-17T07:29:51.487Z"
150089066,"FIT","1700206174","s","800","4540","8107200","2023-11-17T07:29:48.500Z","2023-11-17T07:29:48.500Z"
150088987,"FIT","1700206173","s","1000","4540","8106200","2023-11-17T07:29:47.504Z","2023-11-17T07:29:47.504Z"
150086633,"FIT","1700206145","s","1000","4540","8105200","2023-11-17T07:29:18.550Z","2023-11-17T07:29:18.550Z"
150086024,"FIT","1700206137","s","1000","4540","8104200","2023-11-17T07:29:11.478Z","2023-11-17T07:29:11.478Z"
150085846,"FIT","1700206134","s","1000","4540","8104200","2023-11-17T07:29:08.539Z","2023-11-17T07:29:08.539Z"
150085532,"FIT","1700206131","s","1000","4540","8102200","2023-11-17T07:29:05.516Z","2023-11-17T07:29:05.516Z"
150085394,"FIT","1700206129","s","1000","4540","8101200","2023-11-17T07:29:03.499Z","2023-11-17T07:29:03.499Z"
150085266,"FIT","1700206128","s","100","4540","8101100","2023-11-17T07:29:02.604Z","2023-11-17T07:29:02.604Z"
150084910,"FIT","1700206123","b","2000","4540","8099000","2023-11-17T07:28:57.499Z","2023-11-17T07:28:57.499Z"
150084909,"FIT","1700206123","b","100","4540","8099000","2023-11-17T07:28:57.499Z","2023-11-17T07:28:57.499Z"
150084707,"FIT","1700206120","b","1000","4540","8096000","2023-11-17T07:28:55.515Z","2023-11-17T07:28:55.515Z"
150084706,"FIT","1700206120","b","100","4540","8096000","2023-11-17T07:28:55.515Z","2023-11-17T07:28:55.515Z"
150084705,"FIT","1700206120","b","1000","4540","8096000","2023-11-17T07:28:55.515Z","2023-11-17T07:28:55.515Z"
150084704,"FIT","1700206120","b","900","4540","8096000","2023-11-17T07:28:55.515Z","2023-11-17T07:28:55.515Z"
150083976,"FIT","1700206112","s","100","4530","8095900","2023-11-17T07:28:46.535Z","2023-11-17T07:28:46.535Z"
150083302,"FIT","1700206105","s","1000","4530","8095900","2023-11-17T07:28:39.560Z","2023-11-17T07:28:39.560Z"
