"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
150091261,"SMC","1700207093","unknown","127000","10250","863000","2023-11-17T07:45:07.491Z","2023-11-17T07:45:07.491Z"
150087611,"SMC","1700206155","b","100","10400","735900","2023-11-17T07:29:30.540Z","2023-11-17T07:29:30.540Z"
150084056,"SMC","1700206113","s","1400","10300","735900","2023-11-17T07:28:47.498Z","2023-11-17T07:28:47.498Z"
150084055,"SMC","1700206113","s","100","10300","735900","2023-11-17T07:28:47.498Z","2023-11-17T07:28:47.498Z"
150083446,"SMC","1700206106","s","5000","10300","734400","2023-11-17T07:28:40.509Z","2023-11-17T07:28:40.509Z"
150082536,"SMC","1700206094","s","6900","10300","729400","2023-11-17T07:28:28.514Z","2023-11-17T07:28:28.514Z"
150082535,"SMC","1700206094","s","100","10300","729400","2023-11-17T07:28:28.514Z","2023-11-17T07:28:28.514Z"
150081900,"SMC","1700206088","s","100","10300","722400","2023-11-17T07:28:22.522Z","2023-11-17T07:28:22.522Z"
150081899,"SMC","1700206088","s","500","10300","722400","2023-11-17T07:28:22.522Z","2023-11-17T07:28:22.522Z"
150081898,"SMC","1700206088","s","1400","10300","722400","2023-11-17T07:28:22.522Z","2023-11-17T07:28:22.522Z"
150078394,"SMC","1700206048","s","600","10300","720400","2023-11-17T07:27:42.513Z","2023-11-17T07:27:42.513Z"
150078393,"SMC","1700206048","s","1000","10300","720400","2023-11-17T07:27:42.513Z","2023-11-17T07:27:42.513Z"
150078392,"SMC","1700206048","s","1100","10300","720400","2023-11-17T07:27:42.513Z","2023-11-17T07:27:42.513Z"
150077269,"SMC","1700206033","s","500","10400","717200","2023-11-17T07:27:26.532Z","2023-11-17T07:27:26.532Z"
150076533,"SMC","1700206025","s","500","10400","716200","2023-11-17T07:27:19.593Z","2023-11-17T07:27:19.593Z"
150076532,"SMC","1700206025","s","500","10400","716200","2023-11-17T07:27:19.593Z","2023-11-17T07:27:19.593Z"
150072467,"SMC","1700205972","s","500","10400","716200","2023-11-17T07:26:26.493Z","2023-11-17T07:26:26.493Z"
150070393,"SMC","1700205942","s","100","10400","715700","2023-11-17T07:25:56.510Z","2023-11-17T07:25:56.510Z"
150067170,"SMC","1700205902","b","400","10400","715600","2023-11-17T07:25:16.513Z","2023-11-17T07:25:16.513Z"
