"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
150847827,"CMG","1700552691","unknown","8200","49500","358600","2023-11-21T07:45:04.075Z","2023-11-21T07:45:04.075Z"
150842704,"CMG","1700551714","b","1000","49400","357600","2023-11-21T07:28:47.076Z","2023-11-21T07:28:47.076Z"
150839229,"CMG","1700551652","b","200","49400","357600","2023-11-21T07:27:45.062Z","2023-11-21T07:27:45.062Z"
150839228,"CMG","1700551652","b","200","49400","357600","2023-11-21T07:27:45.062Z","2023-11-21T07:27:45.062Z"
150836830,"CMG","1700551603","b","100","49300","357100","2023-11-21T07:26:56.047Z","2023-11-21T07:26:56.047Z"
150836690,"CMG","1700551599","b","500","49300","356600","2023-11-21T07:26:52.077Z","2023-11-21T07:26:52.077Z"
150836055,"CMG","1700551583","b","200","49300","356400","2023-11-21T07:26:35.088Z","2023-11-21T07:26:35.088Z"
150835236,"CMG","1700551563","b","300","49300","356100","2023-11-21T07:26:16.054Z","2023-11-21T07:26:16.054Z"
150834277,"CMG","1700551538","b","200","49300","355900","2023-11-21T07:25:51.050Z","2023-11-21T07:25:51.050Z"
150833269,"CMG","1700551519","b","700","49300","354900","2023-11-21T07:25:32.143Z","2023-11-21T07:25:32.143Z"
150833268,"CMG","1700551519","b","100","49300","354900","2023-11-21T07:25:32.143Z","2023-11-21T07:25:32.143Z"
150833267,"CMG","1700551519","b","200","49300","354900","2023-11-21T07:25:32.143Z","2023-11-21T07:25:32.143Z"
150833200,"CMG","1700551517","b","200","49300","354700","2023-11-21T07:25:29.046Z","2023-11-21T07:25:29.046Z"
150832221,"CMG","1700551496","b","2000","49300","352700","2023-11-21T07:25:09.107Z","2023-11-21T07:25:09.107Z"
150832103,"CMG","1700551493","b","200","49300","352500","2023-11-21T07:25:06.057Z","2023-11-21T07:25:06.057Z"
150830619,"CMG","1700551450","b","200","49300","352300","2023-11-21T07:24:23.092Z","2023-11-21T07:24:23.092Z"
