"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
151300072,"EIC","1700639572","b","600","23100","6100","2023-11-22T07:52:53.018Z","2023-11-22T07:52:53.018Z"
151299959,"EIC","1700639447","b","600","23100","5500","2023-11-22T07:50:49.018Z","2023-11-22T07:50:49.018Z"
151299943,"EIC","1700639434","b","600","23100","4900","2023-11-22T07:50:36.022Z","2023-11-22T07:50:36.022Z"
151299937,"EIC","1700639427","b","600","23100","4300","2023-11-22T07:50:29.019Z","2023-11-22T07:50:29.019Z"
151299926,"EIC","1700639415","b","600","23100","3700","2023-11-22T07:50:17.018Z","2023-11-22T07:50:17.018Z"
151299913,"EIC","1700639405","b","500","23100","3100","2023-11-22T07:50:07.035Z","2023-11-22T07:50:07.035Z"
151299899,"EIC","1700639390","b","500","23100","2600","2023-11-22T07:49:52.017Z","2023-11-22T07:49:52.017Z"
151299882,"EIC","1700639360","b","500","23100","2100","2023-11-22T07:49:22.020Z","2023-11-22T07:49:22.020Z"
151299062,"EIC","1700639068","b","100","23100","1600","2023-11-22T07:44:29.019Z","2023-11-22T07:44:29.019Z"
151195042,"EIC","1700636095","unknown","1000","22800","1500","2023-11-22T06:54:57.073Z","2023-11-22T06:54:57.073Z"
151187051,"EIC","1700636014","s","200","22900","500","2023-11-22T06:53:36.093Z","2023-11-22T06:53:36.093Z"
150999589,"EIC","1700623909","b","300","23000","300","2023-11-22T03:31:50.806Z","2023-11-22T03:31:50.806Z"
